Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
allview,Allview P10 Life,https://cdn2.gsmarena.com/vv/bigpic/allview-p10-life.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Available. Released 2019, January",149.4 x 71.9 x 9.4 mm (5.88 x 2.83 x 0.37 in),177.6 g (6.28 oz),"Dual SIM (Micro-SIM, dual stand-by)",Li-Po 2500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~68.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Blue,,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800), 38(2600)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,"LED flash, HDR",,,,,,,,,,,,,0.80 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview A10 Lite 2019,https://cdn2.gsmarena.com/vv/bigpic/allview-10-lite-2019.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",145.5 x 71.8 x 9.9 mm (5.73 x 2.83 x 0.39 in),152 g (5.36 oz),"Dual SIM (Micro-SIM, dual stand-by)",Li-Ion 2150 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~70.4% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB","8 GB, 1 GB RAM","8 MP, AF",720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Black, Gold",,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, HDR",,LED flash,,,,,,,,,,,0.97 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview Allwatch Hybrid T,https://cdn2.gsmarena.com/vv/bigpic/allview-hybrid-t.jpg,No cellular connectivity,N/A,No,No,"2018, December","Available. Released 2018, December",50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in),88 g (3.10 oz),No,No,LCD touchscreen,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~278 ppi density)",,,,No,,,,,,No,No,No,"4.2, A2DP, LE",No,No,No,"Accelerometer, heart rate",Non-removable Li-Po 200 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,"SMS, Email, IM",No,No,,,,
allview,Allview Allwatch Hybrid S,https://cdn2.gsmarena.com/vv/bigpic/allview-hybrid-s.jpg,No cellular connectivity,N/A,No,No,"2018, December","Available. Released 2018, December",50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in),88 g (3.10 oz),No,No,LCD touchscreen,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~278 ppi density)",,,,No,,,,,,No,No,No,"4.2, A2DP, LE",No,No,No,"Accelerometer, heart rate",Non-removable Li-Po 200 mAh battery,,Dark Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,"SMS, Email, IM",No,No,,,,
allview,Allview A10 Plus,https://cdn2.gsmarena.com/vv/bigpic/allview-a10-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, November","Available. Released 2018, November",151 x 71.8 x 9.6 mm (5.94 x 2.83 x 0.38 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Li-Ion 2200 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~67.9% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB","8 GB, 1 GB RAM","8 MP, AF",720p,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,Gray,,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, HDR",,LED flash,,,,,,,,,,,0.99 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview Soul X5 Style,https://cdn2.gsmarena.com/vv/bigpic/allview-soul-x5-style.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, November","Available. Released 2018, November",157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in),168 g (5.93 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Non-removable Li-Po 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~80.7% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","32 GB, 3 GB RAM","8 MP, f/2.2",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"Blue, Gold",About 220 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps",PowerVR GE8320,"LED flash, HDR",,LED flash,,,,,,,,Corning Gorilla Glass 3,,,1.21 W/kg (head),,,,,"13 MP, AF 2 MP, depth sensor",,,,,,,,,,,
allview,Allview Allwatch V,https://cdn2.gsmarena.com/vv/bigpic/allview-allwatch-v.jpg,No cellular connectivity,N/A,No,No,"2018, June","Available. Released 2018, June",42 x 40 x 9.4 mm (1.65 x 1.57 x 0.37 in),39 g (1.38 oz),No,IP54,LCD touchscreen,"1.3 inches, 5.5 cm2 (~32.5% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~261 ppi density)",,,,No,,,,,,No,No,No,"4.0, A2DP, LE",No,No,No,"Accelerometer, heart rate",No,,Black,,,,,,,Non-removable Li-Po 130 mAh battery,,,,,,,,,,,,,,,,,,,,Yes,Yes,"SMS, Email, IM",No,No,,,,
allview,Allview Soul X5 Mini,https://cdn2.gsmarena.com/vv/bigpic/allview-soul-x5-mini.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, August","Available. Released 2018, August",149.4 x 70.2 x 8.8 mm (5.88 x 2.76 x 0.35 in),156 g (5.50 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Non-removable Li-Po 3050 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.67 inches, 81.0 cm2 (~77.2% screen-to-body ratio)",720 x 1498 pixels (~293 ppi density),Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB (uses SIM 2 slot)","16 GB, 2 GB RAM",5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Black, Gold",,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800), 38(2600)","HSPA 21.1/5.76 Mbps, LTE",PowerVR GE8100,"LED flash, HDR",,,,,,,,,,Asahi Glass,,,0.66 W/kg (head),,,,,"13 MP, AF 0.3 MP, depth sensor",,,,,,,,,,,
allview,Allview P10 Style,https://cdn2.gsmarena.com/vv/bigpic/allview-p10-style.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",145.8 x 70 x 8.8 mm (5.74 x 2.76 x 0.35 in),140 g (4.94 oz),Hybrid Dual SIM (Micro-SIM/Nano SIM),Non-removable Li-Po 2300 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~72.1% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6739M (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,8 MP,,Yes,Yes,Wi-Fi 802.11 a/b/g/n,"4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Black, Gold",,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,,,,,,,,,,,,1.26 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview X5 Soul,https://cdn2.gsmarena.com/vv/bigpic/allview-soul-x5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, August","Available. Released 2018, August",149 x 72 x 7.9 mm (5.87 x 2.83 x 0.31 in),185 g (6.53 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Non-removable Li-Po 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.86 inches, 85.7 cm2 (~79.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~287 ppi density)",Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","32 GB, 4 GB RAM","16 MP, f/2.0",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,Black,,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps",PowerVR GE8320,"LED flash, HDR, panorama",,,,,,,,,,,,,0.89 W/kg (head),,,,,"16 MP, f/2.0, PDAF 5 MP, depth sensor",,,,,,,,,,,
