Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
amoi,Amoi E860,https://cdn2.gsmarena.com/vv/bigpic/amoi-e860.gif,GSM,GSM 900 / 1800,Yes,,2007,Discontinued,112 x 60.5 x 15.8 mm (4.41 x 2.38 x 0.62 in),,Mini-SIM,No,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 5.0 Phone Edition,,,microSD (dedicated slot),50 MB,2 MP,Yes,,,No,No,No,"1.2, A2DP","Yes, SiRF Star III chipset",No,No,,File transfer  Organizer Task synchronizing,,Black,,,,,,,Removable Li-Ion 1150 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML(IE)",,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi E78,https://cdn2.gsmarena.com/vv/bigpic/amoi-e78.gif,GSM,GSM 850 / 900 / 1800 / 1900,Yes,Yes,2007,Discontinued,115 x 61 x 12.7 mm (4.53 x 2.40 x 0.5 in),,Mini-SIM,No,"TFT resistive touchscreen, 65K colors","2.46 inches, 18.7 cm2 (~26.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~163 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,,,microSD (dedicated slot),64 MB,2 MP,Yes,,,No,No,No,"1.2, A2DP",No,No,No,,File transfer  Organizer Task synchronizing  Pocket Office,,Black,,,,,,,Removable Li-Ion 1100 mAh battery,,,,,,,,,,,,,,,WAP 2.0 / HTML (PocketIE),,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi E76,https://cdn2.gsmarena.com/vv/bigpic/amoi-e76.gif,GSM,GSM 900 / 1800,Yes,,2007,Discontinued,100 x 51 x 16.8 mm (3.94 x 2.01 x 0.66 in),,Mini-SIM,No,"TFT, 65K colors","2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Microsoft Windows Mobile 5.0 Phone Edition,,,microSD (dedicated slot),64 MB,2 MP,Yes,,,No,No,No,"1.2, A2DP",No,No,No,,File transfer  Contact Organizer Task synchronizing,,Black,,,,,,,Removable Li-Ion 1100 mAh battery,,,,,,,,,,,,,,,MS IE,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi E72,https://cdn2.gsmarena.com/vv/bigpic/amoi-e72.gif,GSM,GSM 900 / 1900,Yes,,2007,Discontinued,100 x 44.8 x 14.8 mm (3.94 x 1.76 x 0.58 in),,Mini-SIM,No,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~28.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),Microsoft Windows Mobile 5.0 Phone Edition,,,microSD (dedicated slot),64 MB,1.3 MP,Yes,,,No,No,No,"1.2, A2DP",No,No,No,,File transfer  Organizer,,Black,,,,HSPA,,,Removable Li-Ion 1100 mAh battery,,,,,,,,,,,,,,,WAP 2.0 / HTML (PocketIE),,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi WMA8701A,https://cdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif,GSM / UMTS,GSM 900 / 1800,No,No,2007,Discontinued,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,Mini-SIM,Audio/ player P2P Video Support PC Sync Organizer,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",,,,microSD (dedicated slot),200 MB,2 MP,Yes,VGA videocall camera,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 820 mAh battery,,Black,,UMTS 2100,,HSPA,,,,,,,,,,,,,,,,,,WAP 2.0,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones",,,
amoi,Amoi WMA8703,https://cdn2.gsmarena.com/vv/bigpic/amoi-8703.gif,GSM / UMTS,GSM 900 / 1800,No,No,2007,Discontinued,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,Mini-SIM,Audio/ player P2P Video Support PC Sync Organizer,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",,,,microSD (dedicated slot),200 MB,3.15 MP,Yes,VGA videocall camera,,No,No,No,"1.2, A2DP",No,No,No,,Removable Li-Ion 920 mAh battery,,Black,,UMTS 2100,,HSPA,,,,,,,,,,,,,,,,,,WAP 2.0,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones",,,
amoi,Amoi WMA8508,https://cdn2.gsmarena.com/vv/bigpic/amoi-8508.gif,GSM / UMTS,GSM 900 / 1800,No,No,"2007, August",Cancelled,95 x 48 x 15.9 mm (3.74 x 1.89 x 0.63 in),,Mini-SIM,"- Second external OLED display,  128 x 36 pixels","TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.6% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,microSD,16 MB,1.3 MP,No,,,No,No,No,"1.2, A2DP",No,No,No,,No,,Black,,UMTS 2100,,"Yes, 384 kbps",,rotating lens,Removable Li-Ion 780 mAh battery,,,,,,,,,,,,,,,WAP 2.0,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, midi, wav ringtones",,,
amoi,Amoi CMA8170,https://cdn2.gsmarena.com/vv/bigpic/amoi-8170.gif,GSM,GSM 900 / 1800 / CDMA2000 1x EV-DO,No,No,2007,Discontinued,92.5 x 49.5 x 18.7 mm (3.64 x 1.95 x 0.74 in),,Mini-SIM,"- Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches","TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.5% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,microSD (dedicated slot),90 MB,1.3 MP,No,,,No,No,No,1.1,No,No,No,,No,,Black,,,,,,,Removable Li-Ion 860 mAh battery,,,,,,,,,,,,,,,WAP 2.0,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes (optional),"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones",,,
amoi,Amoi M33,https://cdn2.gsmarena.com/vv/bigpic/amoi-m33.gif,GSM,GSM 900 / 1800,No,No,"2007, Q3",Cancelled,106 x 45 x 10.5 mm (4.17 x 1.77 x 0.41 in),,Mini-SIM,No,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,microSD,30 MB,VGA,No,,,No,No,No,No,No,FM radio,No,,"MP3, MP4 Player PC Sync Organizer",,Silver,,,,,,,Removable Li-Ion 700 mAh battery,,,,,,,,,,,,,,,No,,,,,500 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
amoi,Amoi A203,https://cdn2.gsmarena.com/vv/bigpic/amoi-a203.gif,GSM,GSM 900 / 1800,No,No,2007,Discontinued,101 x 46 x 13.4 mm (3.98 x 1.81 x 0.53 in),,Mini-SIM,No,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.6% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,No,5 MB,VGA,No,,,No,No,No,No,No,FM radio,No,,PC Sync Organizer,,Black,,,,,,,Removable Li-Ion 750 mAh battery,,,,,,,,,,,,,,,No,,,,,500 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,
