Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
apple,Apple iPad Air (2019),https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-air3-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2019, March","Available. Released 2019, March",250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in),456 g (Wi-Fi) / 464 g (3G/LTE) (1.01 lb),"Nano-SIM, Electronic SIM card (eSIM)",Stylus support,"IPS LCD capacitive touchscreen, 16M colors","10.5 inches, 341.4 cm2 (~78.3% screen-to-body ratio)","1668 x 2224 pixels, 4:3 ratio (~265 ppi density)",iOS 12.1.3,Apple A12 Bionic (7 nm),Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),No,"64/256 GB, 3 GB RAM","8 MP, f/2.4, 31mm (standard), 1.12µm, AF",1080p@30fps,"7 MP, f/2.2, 31mm (standard)",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, EDR","Yes, with A-GPS, GLONASS (3G/LTE model only)",No,"2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",DCI-P3 wide color gamut True-tone,Up to 10 h (multimedia),"Space Gray, Silver, Gold",About 550 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600)","HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat16 1024/150 Mbps",Apple GPU (4-core graphics),HDR,Non-removable Li-Po battery (30.2 Wh),HDR,,,,,,,,"Scratch-resistant glass, oleophobic coating",,,,,,,,,,,,,,,,,,,
apple,Apple iPad mini (2019),https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-mini-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2019, March","Available. Released 2019, March",203.2 x 134.8 x 6.1 mm (8.0 x 5.31 x 0.24 in),300.5 g (Wi-Fi) / 308.2 g (3G/LTE) (10.86 oz),"Nano-SIM, Electronic SIM card (eSIM)",Stylus support,"IPS LCD capacitive touchscreen, 16M colors","7.9 inches, 193.3 cm2 (~70.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)",iOS 12.1.3,Apple A12 Bionic (7 nm),Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),No,"64/256 GB, 3 GB RAM","8 MP, f/2.4, 32mm (standard), 1.12µm, AF",1080p@30fps,"7 MP, f/2.2, 31mm (standard)",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, EDR","Yes, with A-GPS, GLONASS (Wi‑Fi + Cellular model only)",No,"2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",DCI-P3 wide color gamut True-tone,Up to 10 h (multimedia),"Space Gray, Silver, Gold",About 450 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600)","HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat16 1024/150 Mbps",Apple GPU (4-core graphics),HDR,Non-removable Li-Ion 5124 mAh battery (19.1 Wh),HDR,,,,,,,,"Scratch-resistant glass, oleophobic coating",,,,,,,,,,,,,,,,,,,
apple,Apple iPad Pro 12.9 (2018),https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2018.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, October","Available. Released 2018, November",280.6 x 214.9 x 5.9 mm (11.05 x 8.46 x 0.23 in),"631 g (Wi-Fi), 633 g (LTE) (1.39 lb)","Nano-SIM, Electronic SIM card (eSIM)",CDMA 800 / 1900,"IPS LCD capacitive touchscreen, 16M colors","12.9 inches, 515.3 cm2 (~85.4% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~265 ppi density)","iOS 12, upgradable to iOS 12.2",Apple A12X Bionic (7 nm),Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest),No,"1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM","12 MP, f/1.8, 29mm (standard), 1/3"", 1.22µm, PDAF","2160p@30/60fps, 1080p@30/60/120fps, 720p@240fps","7 MP, f/2.2, 32mm (standard)",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, GALILEO, QZSS (Wi‑Fi + Cellular model only)",No,"3.1, Type-C 1.0 reversible connector; magnetic connector","Face ID, accelerometer, gyro, proximity, barometer",CDMA2000 1xEV-DO,,"Silver, Space Gray",About 1100 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600)","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps",Apple GPU (7-core graphics),"Quad-LED dual-tone flash, HDR",Non-removable Li-Po 9720 mAh battery (36.71 Wh),"Face detection, HDR, panorama",,,,,,,,"Scratch-resistant glass, oleophobic coating",Power Bank/Reverse charging,,,,,,,,,,,,,,,,,,
apple,Apple iPad Pro 11,https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-11-2018.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, October","Available. Released 2018, November",247.6 x 178.5 x 5.9 mm (9.75 x 7.03 x 0.23 in),468 g (1.03 lb),"Nano-SIM, Electronic SIM card (eSIM)",CDMA 800 / 1900,"IPS LCD capacitive touchscreen, 16M colors","11.0 inches, 366.5 cm2 (~82.9% screen-to-body ratio)",1668 x 2388 pixels (~265 ppi density),"iOS 12, upgradable to iOS 12.2",Apple A12X Bionic (7 nm),Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest),No,"1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM","12 MP, f/1.8, 29mm (standard), 1/3"", 1.22µm, PDAF","2160p@30/60fps, 1080p@30/60/120fps, 720p@240fps","7 MP, f/2.2, 32mm (standard)",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, GALILEO, QZSS (Wi‑Fi + Cellular model only)",No,"3.1, Type-C 1.0 reversible connector; magnetic connector","Face ID, accelerometer, gyro, proximity, barometer",CDMA2000 1xEV-DO,,"Silver, Space Gray",About 880 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600)","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps",Apple GPU (7-core graphics),"Quad-LED dual-tone flash, HDR",Non-removable Li-Po 7812 mAh battery (29.45 Wh),"Face detection, HDR, panorama",,,,,,,,"Scratch-resistant glass, oleophobic coating",Power Bank/Reverse charging,,,,,,,,,,,,,,,,,,
apple,Apple iPhone XS Max,https://cdn2.gsmarena.com/vv/bigpic/apple-iphone-xs-max-new1.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,Yes,Yes,"2018, September","Available. Released 2018, September",157.5 x 77.4 x 7.7 mm (6.20 x 3.05 x 0.30 in),208 g (7.34 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - for China",CDMA 800 / 1900,"OLED capacitive touchscreen, 16M colors","6.5 inches, 102.9 cm2 (~84.4% screen-to-body ratio)","1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)","iOS 12, upgradable to iOS 12.2",Apple A12 Bionic (7 nm),Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),No,"64/256/512 GB, 4 GB RAM","7 MP, f/2.2, 32mm (standard)","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",,1080p@60fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, proprietary reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,Up to 25 h (3G),"Space Gray, Silver, Gold",About 1250 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100) - A2101","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps",Apple GPU (4-core graphics),"Quad-LED dual-tone flash, HDR (photo/panorama)",Non-removable Li-Ion 3174 mAh battery,HDR,,Basemark OS II 2.0: 4915,"Contrast ratio: Infinite (nominal), 4.516 (sunlight)",Photo / Video,Voice 70dB / Noise 74dB / Ring 84dB,Noise -93.7dB / Crosstalk -82.8dB,Endurance rating 79h,"Scratch-resistant glass, oleophobic coating",Fast battery charging 15W: 50% in 30 min USB Power Delivery 2.0 Qi wireless charging,Yes,,Up to 65 h,,,,"12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, OIS, PDAF  12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, OIS, PDAF, 2x optical zoom",,"Front/back glass, stainless steel frame",,,,,,,,,
apple,Apple iPhone XS,https://cdn2.gsmarena.com/vv/bigpic/apple-iphone-xs-new.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, September","Available. Released 2018, September",143.6 x 70.9 x 7.7 mm (5.65 x 2.79 x 0.30 in),177 g (6.24 oz),"Nano-SIM, Electronic SIM card (eSIM)",CDMA 800 / 1900,"OLED capacitive touchscreen, 16M colors","5.8 inches, 84.4 cm2 (~82.9% screen-to-body ratio)","1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)","iOS 12, upgradable to iOS 12.2",Apple A12 Bionic (7 nm),Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),No,"64/256/512 GB, 4 GB RAM","7 MP, f/2.2, 32mm (standard)","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",,1080p@60fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, proprietary reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,Up to 20 h (3G),"Space Gray, Silver, Gold",About 1150 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100) - A2097","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps",Apple GPU (4-core graphics),"Quad-LED dual-tone flash, HDR (photo/panorama)",Non-removable Li-Ion 2658 mAh battery (10.13 Wh),HDR,,Basemark OS II 2.0: 6060,"Contrast ratio: Infinite (nominal), 5.171 (sunlight)",Photo / Video,Voice 71dB / Noise 75dB / Ring 78dB,Noise -93.7dB / Crosstalk -82.8dB,Endurance rating 72h,"Scratch-resistant glass, oleophobic coating",Fast battery charging 15W: 50% in 30 min USB Power Delivery 2.0 Qi wireless charging,Yes,,Up to 60 h,,,,"12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, OIS, PDAF  12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, OIS, PDAF, 2x optical zoom",,"Front/back glass, stainless steel frame",,,,,,,,,
apple,Apple iPhone XR,https://cdn2.gsmarena.com/vv/bigpic/apple-iphone-xr-new.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, September","Available. Released 2018, October",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),194 g (6.84 oz),"Nano-SIM, Electronic SIM card (eSIM)",CDMA 800 / 1900,"IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 90.3 cm2 (~79.0% screen-to-body ratio)","828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)","iOS 12, upgradable to iOS 12.2",Apple A12 Bionic (7 nm),Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),No,"64/128/256 GB, 3 GB RAM","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, OIS, PDAF","2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","7 MP, f/2.2, 32mm (standard)",1080p@60fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, proprietary reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,Up to 25 h (3G),"Black, Red, Yellow, Blue, Coral, White",About 850 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100), 71(600)","HSPA 42.2/5.76 Mbps, LTE-A",Apple GPU (4-core graphics),"Quad-LED dual-tone flash, HDR (photo/panorama)",Non-removable Li-Ion 2942 mAh battery,HDR,,,,,,,Endurance rating 78h,"Scratch-resistant glass, oleophobic coating",Fast battery charging 15W: 50% in 30 min USB Power Delivery 2.0 Qi wireless charging,Yes,,Up to 65 h,,,,,,"Front/back glass, aluminum frame (7000 series)",,,,,,,,,
apple,Apple Watch Series 4,https://cdn2.gsmarena.com/vv/bigpic/apple-watch-series-4-steel.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, September","Available. Released 2018, September",44 x 38 x 10.7 mm (1.73 x 1.50 x 0.42 in),48 g (1.69 oz),Electronic SIM card (eSIM),"HSDPA 850 / 1700(AWS) / 1900 / 800 - USA, LATAM, Canada","LTPO OLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),"watchOS 5.0, upgradable to 5.1.3",Apple S4,Dual-core,No,16 GB,,,,,Yes,No,Wi-Fi 802.11 b/g/n,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,No,"Accelerometer, gyro, heart rate (2nd gen), barometer",HSDPA 2100 - China,,"Space Black, Silver, Gold",About 700 EUR,"HSDPA 850 / 900 / 2100 / 800 - Europe, Australia","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850) - Europe, Australia","HSPA, LTE",PowerVR,,Non-removable Li-Ion battery,,Up to 18 h (mixed usage),,,,,,,Sapphire crystal glass,,Yes,,,,,,,,Stainless Steel frame; all-ceramic/sapphire crystal back,,,,,,,,,
apple,Apple Watch Series 4 Aluminum,https://cdn2.gsmarena.com/vv/bigpic/apple-watch-series-4-aluminum.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, September","Available. Released 2018, September",44 x 38 x 10.7 mm (1.73 x 1.50 x 0.42 in),36.7 g (1.31 oz),Electronic SIM card (eSIM),"HSDPA 850 / 1700(AWS) / 1900 / 800 - USA, LATAM, Canada","LTPO OLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),"watchOS 5.0, upgradable to 5.1.3",Apple S4,Dual-core,No,16 GB,,,,,Yes,No,Wi-Fi 802.11 b/g/n,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,No,"Accelerometer, gyro, heart rate (2nd gen), barometer",HSDPA 2100 - China,,"Silver, Gold, Space Gray",About 430 EUR,"HSDPA 850 / 900 / 2100 / 800 - Europe, Australia","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850) - Europe, Australia","HSPA, LTE",PowerVR,,Non-removable Li-Ion battery,,Up to 18 h (mixed usage),,,,,,,Ion-X strengthened glass,,Yes,,,,,,,,Aluminum frame; all-ceramic/sapphire crystal back,,,,,,,,,
apple,Apple iPad 9.7 (2018),https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2018.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, March","Available. Released 2018, March",240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in),469 g (Wi-Fi) / 478 g (LTE) (1.05 lb),"Nano-SIM, Electronic SIM card (eSIM)",CDMA 800 / 1900,"IPS LCD capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","iOS 11.3, upgradable to iOS 12.2",Apple A10 Fusion (16 nm),Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),No,"32/128 GB, 2 GB RAM","8 MP, f/2.4, 31mm (standard), 1.12µm, AF","1080p@30fps, 720p@120fps, HDR, stereo sound rec.","1.2 MP, f/2.2, 31mm (standard)",720p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS (Wi‑Fi + Cellular model only)",No,"2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",CDMA2000 1xEV-DO,Up to 10 h (multimedia),"Silver, Gold, Space Gray",About 350 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps, EV-DO Rev.A 3.1 Mbps",PowerVR Series7XT Plus (six-core graphics),HDR,Non-removable Li-Ion battery (32.4 Wh),"Face detection, HDR, panorama",,,,,,,,"Scratch-resistant glass, oleophobic coating",,,,,,,,,,"Front glass, aluminum body",,,,,,,,,
