Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
archos,Archos Diamond,https://cdn2.gsmarena.com/vv/bigpic/archos-diamond-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, May",158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in),166 g (5.86 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~85.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie),Mediatek Helio P70 (12nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"microSD, up to 512 GB (uses SIM 2 slot)","128 GB, 4 GB RAM","Motorized pop-up 8 MP, f/2.0, 1/4"", 1.12µm",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3400 mAh battery,,Dark Blue,About 300 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800), 28(700)","HSPA, LTE-A",Mali-G72 MP3,"Dual-LED flash, HDR, panorama",,HDR,,,,,,,,,Fast battery charging 18W Wireless charging,Yes,,,,,,"16 MP, f/1.8, 1/2.8"", 1.12µm, PDAF 5 MP, f/2.2, depth sensor",,,,,,,,,,,
archos,Archos Oxygen 68XL,https://cdn2.gsmarena.com/vv/bigpic/archos-oxygen-68xl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, May",173.5 x 81.6 x 9 mm (6.83 x 3.21 x 0.35 in),214 g (7.55 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.85 inches, 117.1 cm2 (~82.7% screen-to-body ratio)","640 x 1352 pixels, 19:9 ratio (~218 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","32 GB, 3 GB RAM",5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Ion 5000 mAh battery,,Dark Blue,About 150 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA, LTE-A",PowerVR GE8320,LED flash,,,,,,,,,,,,,,,,,,"8 MP, AF 0.3 MP",,,,,,,,,,,
archos,Archos Oxygen 63,https://cdn2.gsmarena.com/vv/bigpic/archos-oxygen-63.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, May",159.2 x 75.8 x 9.3 mm (6.27 x 2.98 x 0.37 in),162 g (5.71 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~81.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie),Unisoc SC9863,Octa-core 1.6 GHz Cortex-A55,microSD,"64 GB, 4 GB RAM",5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Removable Li-Ion 3000 mAh battery,,Dark Blue,About 130 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA, LTE",,LED flash,,,,,,,,,,,,,,,,,,"8 MP, AF 0.3 MP",,,,,,,,,,,
archos,Archos Oxygen 57,https://cdn2.gsmarena.com/vv/bigpic/archos-oxygen-57.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, May",147.8 x 70.7 x 9.3 mm (5.82 x 2.78 x 0.37 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~77.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",Android 9.0 (Pie),Unisoc SC9863,Octa-core 1.6 GHz Cortex-A55,microSD,"32 GB, 3 GB RAM",5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Removable Li-Ion 2800 mAh battery,,Dark Violet,About 100 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA, LTE",,LED flash,,,,,,,,,,,,,,,,,,"8 MP, AF 0.3 MP",,,,,,,,,,,
archos,Archos Saphir 50X,https://cdn2.gsmarena.com/vv/bigpic/archos-saphir-50x.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, April","Available. Released 2018, April",146.6 x 76 x 13 mm (5.77 x 2.99 x 0.51 in),210 g (7.41 oz),"Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water proof (up to 1m for 30 mins),"S-IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~61.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6737VWT,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",Non-removable Li-Ion 4000 mAh battery,,Black,About 150 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,LED flash,,,,,,,,,,Corning Gorilla Glass 4,,,0.55 W/kg (head)     0.80 W/kg (body),,,,,,,,,,,,,,,,
archos,Archos Diamond Omega,https://cdn2.gsmarena.com/vv/bigpic/archos-diamond-omega.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, October","Available. Released 2017, November",147.5 x 72.7 x 8.5 mm (5.81 x 2.86 x 0.33 in),170 g (6.00 oz),"Dual SIM (Nano-SIM, dual stand-by)",DTS HD sound 32-bit/384kHz audio Active noise cancellation with dedicated mic,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.73 inches, 87.6 cm2 (~81.7% screen-to-body ratio)","1080 x 2040 pixels, 17:9 ratio (~403 ppi density)",Android 7.1 (Nougat); nubia UI 5,Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),No,"128 GB, 8 GB RAM","5 MP, f/2.2 5 MP","2160p@30fps, 1080p@30fps",,1080p@30fps,Yes,No,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3100 mAh battery,,Dark Blue,About 300 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps",Adreno 540,"Dual-LED dual-tone flash, HDR, panorama",,,,Basemark OS II: 4147 / Basemark OS II 2.0: 3214Basemark X: 36391,,Photo / Video,Voice 76dB / Noise 73dB / Ring 87dB,,Endurance rating 74h,Corning Gorilla Glass (unspecified version),Fast battery charging 18W (Quick Charge 3.0),Yes,,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF 23 MP, f/2.0, PDAF, 2x lossless zoom",,"Front/back glass, metal frame",,,,,,,,,
archos,Archos Diamond Alpha +,https://cdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, August","Available. Released 2017, October",146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),155 g (5.47 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),"microSD, up to 256 GB (uses SIM 2 slot)","128 GB, 6 GB RAM","13 MP, 1/2.9"", 1.25µm, AF 13 MP B/W","2160p@30fps, 1080p@30fps","16 MP, f/2.2","2160p@30fps, 1080p@30fps",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3000 mAh battery,,"Black, Gold",About 400 EUR,HSDPA 900 / 2100,LTE,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 510,"LED flash, HDR, panorama",,,,,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,,,,,,,,,,,,,
archos,Archos Diamond Tab,https://cdn2.gsmarena.com/vv/bigpic/archos-diamond-tab-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2017, August","Available. Released 2017, October",255 x 163 x 8 mm (10.04 x 6.42 x 0.31 in),510 g (1.12 lb),Micro-SIM,Non-removable Li-Po 6600 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.2% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~299 ppi density)",Android 7.0 (Nougat),Rockchip RK3399,Dual-core Cortex-A72 & quad-core Cortex-A53,"microSD, up to 128 GB","64 GB, 4 GB RAM","13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,,,Black,About 300 EUR,HSDPA 900 / 2100,LTE,"HSPA, LTE",Mali-T860MP4,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos Diamond Alpha,https://cdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, June","Available. Released 2017, July",146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),155 g (5.47 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),"microSD, up to 256 GB (uses SIM 2 slot)","64 GB, 4 GB RAM","13 MP, 1/2.9"", 1.25µm, AF 13 MP B/W","2160p@30fps, 1080p@30fps","16 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2950 mAh battery,Up to 11 h (3G),Black,About 350 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 510,"LED flash, HDR, panorama",,,Up to 320 h (3G),,,,,,,,,,1.02 W/kg (head)     0.76 W/kg (body),,,,,,,,,,,,,,,,
archos,Archos Sense 55s,https://cdn2.gsmarena.com/vv/bigpic/archos-sense-55s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, June","Available. Released 2017, July",142.5 x 74.2 x 8 mm (5.61 x 2.92 x 0.31 in),130 g (4.59 oz),Dual SIM,Yes,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 7.0 (Nougat),,,"microSD, up to 128 GB","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity",Active noise cancellation with dedicated mic,,Black,About 250 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Dual-LED dual-tone flash,Non-removable Li-Ion 3000 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
