Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
benq_siemens,BenQ-Siemens SF71,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-sf71.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Class 10,No,"2007, March",Discontinued,96 x 48 x 23 mm (3.78 x 1.89 x 0.91 in),118 g (4.16 oz),Mini-SIM,"Second external 65K colors display, OLED (96 x 64 pixels)","TFT, 256K colors","2.0 inches, 12.4 cm2 (~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,"microSD, up to 1 GB (dedicated slot)",45 MB,2 MP,Yes,VGA videocall camera,,No,No,No,"1.1, A2DP",No,No,1.1,,Video telephony MP3/AAC/AAC+/eAAC+ player Photo editor Predictive text input Voice dial Stopwatch Organizer,Up to 4 h 30 min,Black,,UMTS 2100,,"Yes, 384 kbps",,LED flash,Removable Li-Ion 920 mAh battery,,Up to 160 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML",,,,,"500 x 20 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email","5 - StarWars, SeaBattle, SuperBomber + downloadable","Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
benq_siemens,BenQ-Siemens E52,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-e52.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2007, June",Cancelled,102 x 45 x 14.9 mm (4.02 x 1.77 x 0.59 in),122 g (4.30 oz),Mini-SIM,No,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~22.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,microSD,20 MB,1.3 MP,Yes,,,Yes,No,No,1.2,No,FM radio,1.1,,AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer,Up to 4 h 10 min,TransSilver,,,,,,,Removable Li-Ion 920 mAh battery,,Up to 245 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"Yes, Photo call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
benq_siemens,BenQ-Siemens C32,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-c32.gif,GSM,GSM 900 / 1800,Class 12,No,"2007, July",Cancelled,101.6 x 47.3 x 16.6 mm (4.0 x 1.86 x 0.65 in),82 g (2.89 oz),Mini-SIM,No,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~26.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,microSD,,2 MP,Yes,,,Yes,No,No,"1.2, A2DP",No,No,1.1,,AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer,Up to 4 h,Liquid aura,,,,,,,Removable Li-Ion 720 mAh battery,,Up to 250 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"Yes, Photo call","20 dialed, 20 received, 20 missed calls","SMS, MMS, EMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
benq_siemens,BenQ-Siemens C31,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-c31.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2007, June",Cancelled,99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),86 g (3.03 oz),Mini-SIM,No,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,microSD,20 MB,1.3 MP,Yes,,,Yes,No,No,No,No,FM radio,1.1,,AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer,Up to 3 h 30 min,"SilverShine, GraphiteGloss",,,,,,,Removable Li-Ion 920 mAh battery,,Up to 170 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"Yes, Photo call","20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
benq_siemens,BenQ-Siemens SL80,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-sl80.gif,GSM,GSM 900 / 1800 / 1900,Class 10,Class 10,"2006, August",Cancelled,"92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",99 g (3.49 oz),Mini-SIM,No,"TFT, 256K colors","1.8 inches, 10.0 cm2 (~22.7% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,No,52 MB,1.3 MP,Yes,,,No,No,No,1.2,No,No,Proprietary,,MP3/AAC/MP4 player Predictive text input Organizer Voice memo,Up to 5 h,Mauve Sensation,,,,,,LED flash,Removable Li-Ion 750 mAh battery,,Up to 300 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"1000 x 23 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email","SeaBattle, Wappo 2, Golf + downloadable","Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,,,
benq_siemens,BenQ-Siemens AL26,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-al26.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2006, August",Cancelled,86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),80 g (2.82 oz),Mini-SIM,GSM 850 / 1800 / 1900 - US version,"TFT, 65K colors",,"130 x 130 pixels, 1:1 ratio",,,,No,1.5 MB,,,,,No,No,No,No,No,No,Proprietary,,Special Hello Kitty wallpapers and ringtones 4-way navigation key,Up to 5 h,Pink,,,,,,,Removable Li-Ion 600 mAh battery,,Up to 220 h,,,,,,,,,,,,,WAP 1.2.1,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 1.0",Vibration; Downloadable polyphonic ringtones,,,,,
benq_siemens,BenQ-Siemens A53,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg,GSM,GSM 900 / 1800 / 1900,Class 12,No,"2007, April",Discontinued,80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in),68 g (2.40 oz),Mini-SIM,"Second external 65K colors CSTN display, 120 x 160 pixels","TFT, 256K colors",,176 x 220 pixels,,,,microSD (dedicated slot),,1.3 MP,Yes,,,Yes,No,No,No,No,No,1.1,,No,Up to 3 h 20 min,"Black, Blue, Pink",,,,,,,Removable Li-Ion 600 mAh battery,,Up to 200 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,
benq_siemens,BenQ-Siemens SL91,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-sl91.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Class 10,No,"2006, July",Discontinued,89 x 47 x 23 mm (3.50 x 1.85 x 0.91 in),109 g (3.84 oz),Mini-SIM,Touch-sensitive navigation keys,"TFT, 16M colors","2.0 inches, 12.4 cm2 (~29.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,microSD (dedicated slot),64 MB,"3.15 MP, AF",Yes,VGA videocall camera,,No,No,No,Yes,No,"Stereo FM radio, RDS",2.0,,MP3/AAC/eAAC+/XMF player Predictive text input Reminder Organizer,Up to 3 h 15 min,Magic Black,,UMTS 2100,,"Yes, 384 kbps",,,Removable Li-Ion 950 mAh battery,,Up to 310 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"Yes, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
benq_siemens,BenQ-Siemens E81,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-e81.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Class 10,No,"2006, July",Discontinued,99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),90 g (3.17 oz),Mini-SIM,No,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,microSD (dedicated slot),16 MB,1.3 MP,QCIF,,,No,No,No,Yes,No,No,2.0,,MP3/AAC/eAAC+/XMF player Predictive text input Reminder Organizer,Up to 5 h,Lucent Black,,UMTS 2100,,"Yes, 384 kbps",,LED flash,Removable Li-Ion 900 mAh battery,,Up to 300 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"Yes, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
benq_siemens,BenQ-Siemens E71,https://cdn2.gsmarena.com/vv/bigpic/benqsiemens-e71.gif,GSM,GSM 900 / 1800 / 1900,Class 10,Class 10,"2006, July",Discontinued,104 x 46 x 15 mm (4.09 x 1.81 x 0.59 in),80 g (2.82 oz),Mini-SIM,GSM 850 / 1800 / 1900 - US version,"TFT, 256K colors","2.1 inches, 31 x 42 mm, 13.7 cm2 (~28.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,,microSD (dedicated slot),16 MB,1.3 MP,QCIF,,,Yes,No,No,Yes,No,FM radio,2.0,,No,Up to 6 h 20 min,"Dark Silver, Onyx Black",,,,,,,Removable Li-Ion 730 mAh battery,,Up to 390 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"1000 x 20 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
