Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
bird,Bird M32,https://cdn2.gsmarena.com/vv/bigpic/bird-m32.gif,GSM,GSM 900 / 1800,Class 10,No,2007,Cancelled,94 x 46 x 16.5 mm (3.70 x 1.81 x 0.65 in),84 g (2.96 oz),Mini-SIM,Second External LCD Neon Color,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~23.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,microSD,,VGA,No,,,Yes,No,No,No,No,FM radio (optional),Proprietary,,No,Up to 3 h 20 min,Light Blue,,,,,,,Removable Li-Ion 600 mAh battery,,Up to 150 h,,,,,,,,,,,,,WAP 2.0,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird D636,https://cdn2.gsmarena.com/vv/bigpic/bird-d636.gif,GSM,GSM 900 / 1800,Class 12,No,2007,Cancelled,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),98.4 g (3.46 oz),Mini-SIM,No,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,microSD,60 MB,1.3 MP,Yes,,,Yes,No,No,No,No,No,Proprietary,,"MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hindi FR,HR,EFR,AMR Voice Codecs",Up to 3 h 20 min,Black,,,,,,,Removable Li-Ion 600 mAh battery,,Up to 120 h,,,,,,,,,,,,,WAP 2.0,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird D706,https://cdn2.gsmarena.com/vv/bigpic/bird-d706.gif,GSM,GSM 900 / 1800,Class 12,No,2007,Cancelled,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),84 g (2.96 oz),Mini-SIM,No,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,microSD,60 MB,1.3 MP,Yes,,,Yes,No,No,No,No,No,Proprietary,,"MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hind FR,HR,EFR,AMR Voice Codecs",Up to 3 h 20 min,Golden Black,,,,,,,Removable Li-Ion 600 mAh battery,,Up to 120 h,,,,,,,,,,,,,WAP 2.0,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird D615,https://cdn2.gsmarena.com/vv/bigpic/bird-d615.gif,GSM,GSM 900 / 1800,Class 12,No,2007,Discontinued,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),82 g (2.89 oz),Mini-SIM,No,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,microSD (dedicated slot),60 MB,1.3 MP,Yes,,,Yes,No,No,Yes,No,FM radio,Proprietary,,"MP3 player, MP4 player Voice memo Data/Fax Modem",Up to 4 h,"Soft-touch Grey, Shining Blue",,,,,,,Removable Li-Ion 650 mAh battery,,Up to 140 h,,,,,,,,,,,,,WAP 2.0,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,"Chinese, English, French, Spanish, Portuguese, Hin",,
bird,Bird S768,https://cdn2.gsmarena.com/vv/bigpic/bird-s768.gif,GSM,GSM 900 / 1800,No,No,2007,Cancelled,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),75 g (2.65 oz),Mini-SIM,No,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,microSD,,,,,,Yes,No,No,No,No,FM radio,Proprietary,,MP3 player X-Slim design,Up to 4 h,"Pink, Blue",,,,,,,Removable Li-Ion 700 mAh battery,,Up to 150 h,,,,,,,,,,,,,No,,,,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird S758,https://cdn2.gsmarena.com/vv/bigpic/bird-s758.gif,GSM,GSM 900 / 1800,No,No,2007,Cancelled,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),73 g (2.57 oz),Mini-SIM,No,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,No,,,,,,Yes,No,No,No,No,FM radio (optional),No,,X-Slim design,Up to 4 h,"Pink, Black",,,,,,,Removable Li-Ion 700 mAh battery,,Up to 150 h,,,,,,,,,,,,,No,,,,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird S618,https://cdn2.gsmarena.com/vv/bigpic/bird-s618.gif,GSM,GSM 900 / 1800,No,No,2007,Cancelled,103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in),73 g (2.57 oz),Mini-SIM,No,Monochrome graphic,"1.7 inches, 9.1 cm2 (~19.2% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),,,,No,,,,,,Yes,No,No,No,No,FM radio (optional),No,,"FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese",Up to 4 h,Black,,,,,,,Removable Li-Ion 700 mAh battery,,Up to 150 h,,,,,,,,,,,,,No,,,,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird D736,https://cdn2.gsmarena.com/vv/bigpic/bird-d736.gif,GSM,GSM 900 / 1800,Class 12,No,2007,Discontinued,95 x 47 x 18.2 mm (3.74 x 1.85 x 0.72 in),96 g (3.39 oz),Mini-SIM,No,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~25.4% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,microSD (dedicated slot),60 MB,2 MP,Yes,,,Yes,No,No,No,No,FM radio,Proprietary,,"MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",Up to 3 h 30 min,"UV Black, Soft-touch Black",,,,,,,Removable Li-Ion 600 mAh battery,,Up to 120 h,,,,,,,,,,,,,WAP 2.0,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird D716,https://cdn2.gsmarena.com/vv/bigpic/bird-d716.gif,GSM,GSM 900 / 1800,Class 12,No,2007,Discontinued,105.8 x 46 x 12.8 mm (4.17 x 1.81 x 0.50 in),81 g (2.86 oz),Mini-SIM,No,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~23.3% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,microSD (dedicated slot),60 MB,"2 MP, AF",Yes,,,Yes,No,No,No,No,No,Proprietary,,"MP3/ MP4 player Audio Recorder Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",Up to 3.30 h,Mirror  Silver,,,,,,,Removable Li-Ion 600 mAh battery,,Up to 120 h,,,,,,,,,,,,,WAP 2.0,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
bird,Bird D720,https://cdn2.gsmarena.com/vv/bigpic/bird-d720.gif,GSM,GSM 900 / 1800,Class 12,No,2007,Discontinued,100 x 46 x 15.9 mm (3.94 x 1.81 x 0.63 in),93 g (3.28 oz),Mini-SIM,No,"TFT, 260K colors","1.9 inches, 11.4 cm2 (~24.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,miniSD,60 MB,2 MP,Yes,,,Yes,No,No,No,No,FM radio,Proprietary,,"MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",Up to 4 h,"Silver, Green, Blue",,,,,,,Removable Li-Ion 700 mAh battery,,Up to 120 h,,,,,,,,,,,,,WAP 2.0,,,,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
