Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
blu,BLU C5L,https://cdn2.gsmarena.com/vv/bigpic/blu-c5l.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Available. Released 2019, February",144.3 x 72.5 x 10.3 mm (5.68 x 2.85 x 0.41 in),153 g (5.40 oz),"Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 1900 / 2100 - C0050LL,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 8.1 Oreo (Go edition),,Quad-core 1.4 GHz Cortex-A53,"microSD, up to 64 GB","8 GB, 1 GB RAM","5 MP, AF",1080p@30fps,2 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 28(700) - C0050LL",Up to 18 h (2G) / Up to 14 h (3G),"Black, Blue",About 70 USD,HSDPA 850 / 1700(AWS) / 1900 - C0050UU,"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - C0050UU","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-400,LED flash,Li-Ion 2000 mAh battery,LED flash,Up to 500 h (2G) / Up to 450 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio X8 HD (2019),https://cdn2.gsmarena.com/vv/bigpic/blu-studio-x8-hd-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Available. Released 2019, February",145.5 x 74.5 x 9.8 mm (5.73 x 2.93 x 0.39 in),143 g (5.04 oz),"Dual SIM (Mini-SIM, dual stand-by)",HSDPA 850 / 1900 / 2100 - S532L,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB","8 GB, 1 GB RAM",8 MP,1080p@30fps,5 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,HSDPA 900 / 1900 / 2100 - S532V,Up to 15 h (3G),"Black, White",,HSDPA 850 / 1700(AWS) / 1900 - S532U,,"Yes, 384 kbps",Mali-400MP2,LED flash,Li-Ion 2000 mAh battery,,Up to 500 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU C6L,https://cdn2.gsmarena.com/vv/bigpic/blu-c6l.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Available. Released 2019, January",154.4 x 78.6 x 10.4 mm (6.08 x 3.09 x 0.41 in),203 g (7.16 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100 - C0030LL,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 8.1 Oreo (Go edition),,Quad-core 1.4 GHz Cortex-A53,"microSD, up to 64 GB","16 GB, 1 GB RAM","8 MP, AF",1080p@30fps,5 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 28(700) - C0030LL",Up to 21 h (2G) / Up to 16 h (3G),"Black, Gold, Blue",About 80 USD,HSDPA 850 / 1700(AWS) / 1900 / 2100 - C0030UU,"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - C0030UU","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-400,LED flash,Li-Ion 2500 mAh battery,LED flash,Up to 600 h (2G) / Up to 550 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Vivo One Plus (2019),https://cdn2.gsmarena.com/vv/bigpic/blu-vivo-one-plus-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Available. Released 2019, January",156.7 x 75.2 x 8.3 mm (6.17 x 2.96 x 0.33 in),178 g (6.28 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~82.1% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB","16 GB, 2 GB RAM","8 MP, f/2.2, 1/5""",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,Up to 21 h (2G) / Up to 16 h (3G),Silver,About 120 USD,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 28(700)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,LED flash,Up to 600 h (2G) / Up to 550 h (3G),,,,,,,,,,,,,,,"13 MP, f/2.2, 1/4"" 2 MP, depth sensor",,,,,,,,,,,,,
blu,BLU Vivo Go,https://cdn2.gsmarena.com/vv/bigpic/blu-vivo-go.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",156.7 x 75.2 x 8.4 mm (6.17 x 2.96 x 0.33 in),155 g (5.47 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 2600 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 9.0 Pie (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 64 GB","16 GB, 1 GB RAM",5 MP,1080p@30fps,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,Up to 21 h (2G) / Up to 16 h (3G),Black,About 80 USD,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 7(2600), 12(700), 17(700), 28(700)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,LED flash,Up to 600 h (2G) / Up to 550 h (3G),,,,,,,,,,,,,,,"8 MP, AF 0.3 MP, depth sensor",,,,,,,,,,,,,
blu,BLU Vivo XL4,https://cdn2.gsmarena.com/vv/bigpic/blu-vivo-xl4.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",157.2 x 76.2 x 8 mm (6.19 x 3.00 x 0.31 in),178 g (6.28 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Non-removable Li-Po 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~80.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 3 GB RAM","13 MP, f/2.2, 1/4""",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 а/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,Up to 30 h (2G) / Up to 24 h (3G),"Black, Gold",About 150 USD,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 28(700), 66(1700/2100)","HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",PowerVR GE8320,LED flash,,LED flash,Up to 750 h (2G) / Up to 650 h (3G),,,,,,,,,,,,,,,"13 MP, f/2.0, 1/3"", PDAF 2 MP, depth sensor",,,,,,,,,,,,,
blu,BLU Studio Mega (2018),https://cdn2.gsmarena.com/vv/bigpic/blu-studio-mega-2018-.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",156.7 x 75.2 x 8.4 mm (6.17 x 2.96 x 0.33 in),155 g (5.47 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 2600 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB","16 GB, 1 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 22 h (2G) / Up to 18 h (3G),"Black, Blue, Silver",About 100 USD,HSDPA 850 / 1700(AWS) / 1900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,LED flash,Up to 675 h (2G) / Up to 575 h (3G),,,,,,,,,,,,,,,"13 MP, AF 2 MP, depth sensor",,,,,,,,,,,,,
blu,BLU Grand M2 (2018),https://cdn2.gsmarena.com/vv/bigpic/blu-grand-m2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",144.9 x 72.1 x 9.4 mm (5.70 x 2.84 x 0.37 in),160 g (5.64 oz),"Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100 - G290EQ,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~71.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB","8/16 GB, 1 GB RAM",8 MP,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,Non-removable Li-Po 2600 mAh battery,Up to 22 h (2G) / Up to 16 h (3G),"Black, Blue, Gold",,HSDPA 850 / 1700(AWS) / 1900 / 2100 - G290Q,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,LED flash,Up to 725 h (2G) / Up to 625 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Advance L4,https://cdn2.gsmarena.com/vv/bigpic/blu-al4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, September","Available. Released 2018, September",124.3 x 65.2 x 10.4 mm (4.89 x 2.57 x 0.41 in),104 g (3.67 oz),"Dual SIM (Micro-SIM, dual stand-by)",HSDPA 850 / 2100 - A350I,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~56.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 8.1 Oreo (Go edition),,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB","8 GB, 512 MB RAM",5 MP,720@30fps,2 MP,480p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,HSDPA 900 / 2100 - A350B,Up to 18 h (2G) / Up to 13 h (3G),"Black, Cyan, White, Teal",About 50 USD,HSDPA 850 / 1900 - A350A,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,Removable Li-Po 1300 mAh battery,LED flash,Up to 400 h (2G) / Up to 450 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Vivo XI,https://cdn2.gsmarena.com/vv/bigpic/blu-vivo-xi.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, September","Available. Released 2018, September",149 x 72.9 x 7.9 mm (5.87 x 2.87 x 0.31 in),187 g (6.60 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",DTS Sound,"IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 86.9 cm2 (~80.0% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~285 ppi density)","Android 8.1 (Oreo), planned upgrade to Android 9.0 (Pie)",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 3 GB RAM","16 MP, 1/3"", 1.10µm",1080p@30fps,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3000 mAh battery,Up to 21 h (3G),"Black, Silver",About 200 USD,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 28(700), 66(1700/2100)","HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",PowerVR GE8320,"LED flash, HDR",,LED flash,Up to 625 h (3G),,,,,,,,,,,,,,,"16 MP, f/2.0, 1/3"", 1.10µm, PDAF 5 MP, 1/5"", 1.12µm, depth sensor",,,,,,,,,,,,,
