Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
bosch,Bosch 909 Dual S,https://cdn2.gsmarena.com/vv/bigpic/boc909sb.gif,GSM,GSM 900 / 1800,No,No,1999,Discontinued,122 x 50 x 17 mm (4.80 x 1.97 x 0.67 in),109 g (3.84 oz),Mini-SIM,Dynamic font size Soft keys Blue LCD,Monochrome graphic,,"96 x 32 pixels, 4 x 16 chars",,,,No,,,,,,No,No,No,No,No,No,,,No,5 h,3,,,,,,,Removable Li-Ion battery,,180 h,,,,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,Yes,Yes,,,
bosch,Bosch 909 Dual,https://cdn2.gsmarena.com/vv/bigpic/boc909b.gif,GSM,GSM 900 / 1800,No,No,1999,Discontinued,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),99 g (3.49 oz),Mini-SIM,Dynamic font size Soft keys,Monochrome graphic,,4 x 16 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,3 h,3,,,,,,,Removable Li-Ion 650 mAh battery,,70 h,,,,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,Yes,Yes,,,
bosch,Bosch Com 908,https://cdn2.gsmarena.com/vv/bigpic/boc908b.gif,GSM,GSM 900,No,No,1998,Discontinued,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),99 g (3.49 oz),Mini-SIM,Dynamic font size Soft keys,Monochrome graphic,,4 x 16 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,3 h,3,,,,,,,Removable Li-Ion 650 mAh battery,,70 h,,,,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,Yes,Yes,,,
bosch,Bosch Com 509,https://cdn2.gsmarena.com/vv/bigpic/boc509b.gif,GSM,GSM 900 / 1800,No,No,1999,Discontinued,134 x 53 x 23 mm (5.28 x 2.09 x 0.91 in),150 g (5.29 oz),Mini-SIM,Dynamic font size Soft keys,Monochrome graphic,,4 x 16 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,4 h,"Several, half transparent",,,,,,,Removable NiMH battery,,87 h,,,,,,,,,,,,,,,,,,SIM only,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,Yes,Yes,,,
bosch,Bosch World 718,https://cdn2.gsmarena.com/vv/bigpic/bow718b.gif,GSM,GSM 900 / 1900,No,No,1996,Discontinued,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),189 g (6.67 oz),Mini-SIM,Dynamic font size Soft keys,Monochrome graphic,,4 x 16 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,200 min,,,,,,,,Removable Li-Ion 650 mAh battery,,70 h,,,,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,Yes,Yes,,,
bosch,Bosch Com 738,https://cdn2.gsmarena.com/vv/bigpic/boc738b.gif,GSM,GSM 900 / 1800,No,No,1996,Discontinued,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),189 g (6.67 oz),Mini-SIM,Dynamic font size Soft keys,Monochrome graphic,,4 x 16 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,200 min,,,,,,,,Removable Li-Ion 650 mAh battery,,70 h,,,,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,Yes,Yes,,,
bosch,Bosch Com 906,https://cdn2.gsmarena.com/vv/bigpic/boc906b.gif,GSM,GSM 900,No,No,1996,Discontinued,144 x 57 x 19 mm (5.67 x 2.24 x 0.75 in),145 g (5.11 oz),Mini-SIM,Fixed icons,Monochrome graphic,,3 x 15 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,75 min,,,,,,,,Removable Li-Ion 500 mAh battery,,30 h,,,,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,No,No,,,
bosch,Bosch Com 608,https://cdn2.gsmarena.com/vv/bigpic/boc608b.gif,GSM,GSM 900,No,No,1999,Discontinued,134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in),169 g (5.96 oz),Mini-SIM,Dynamic font size Soft keys,Monochrome graphic,,4 x 16 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,130 min,,,,,,,,Removable NiMH 550 mAh battery,,50 h,,,,,,,,,,,,,,,,,,SIM only,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,No,No,,,
bosch,Bosch Com 607,https://cdn2.gsmarena.com/vv/bigpic/boc607b.gif,GSM,GSM 900,No,No,1997,Discontinued,134 x 53 x 17 mm (5.28 x 2.09 x 0.67 in),189 g (6.67 oz),Mini-SIM,Dynamic font size Soft keys,Monochrome graphic,,4 x 16 chars,,,,No,,,,,,No,No,No,No,No,No,,,No,3 h,,,,,,,,Removable NiMH 550 mAh battery,,80 h,,,,,,,,,,,,,,,,,,SIM only,"10 dialed, 10 received, 10 missed calls",SMS,No,No,Monophonic ringtones,No,No,,,
bosch,Bosch Com 207,https://cdn2.gsmarena.com/vv/bigpic/boc207b.gif,GSM,GSM 900,No,No,1997,Discontinued,147 x 56 x 23 mm (5.79 x 2.20 x 0.91 in),179 g (6.31 oz),Mini-SIM,No,Alphanumeric,,1 x 10 chars,,,,No,,,,,,No,No,No,No,No,No,,,Removable NiMH 600 mAh battery,2 h,,,,,,,,,,85 h,,,,,,,,,,,,,,,,,,SIM only,,SMS,No,No,Monophonic ringtones,No,No,,,
