Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
cat,Cat B35,https://cdn2.gsmarena.com/vv/bigpic/cat-b35.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, September","Available. Released 2018, October",138 x 60 x 14 mm (5.43 x 2.36 x 0.55 in),130 g (4.59 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 1.2m for 35 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m Flashlight,TFT,"2.4 inches, 17.8 cm2 (~21.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",KaiOS,Qualcomm MSM8905 Snapdragon 205 (28 nm),Dual-core (2x1.3 GHz Cortex-A7),"microSD, up to 128 GB (uses SIM 2 slot)","4 GB, 512 MB RAM",2 MP,480p@30fps,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,Accelerometer,No,Up to 12 h (3G),Black,About 110 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)","HSPA, LTE Cat4 150/50 Mbps",Adreno 304,LED flash,Non-removable Li-Ion 2300 mAh battery,,Up to 720 h (3G),,,,,,,Scratch-proof glass,,,,,,,,,,,,,,,,,,,,,
cat,Cat S41,https://cdn2.gsmarena.com/vv/bigpic/cat-s41.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, September","Available. Released 2017, September",152 x 75 x 12.9 mm (5.98 x 2.95 x 0.51 in),218 g (7.69 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - APAC/LATAM,TFT capacitive touchscreen,"5.0 inches, 68.9 cm2 (~60.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 7.0 (Nougat),Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),"microSD, up to 256 GB","32 GB, 3 GB RAM","13 MP, PDAF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS (market dependant)",FM radio,"microUSB 2.0, USB Host","Accelerometer, proximity, compass","LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 66(1700/2100) - Americas",Up to 38 h (3G),Black,About 450 EUR,HSDPA 850 / 900 / 1900 / 2100 - EU,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800) - EU","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Mali-T880MP2,LED flash,Non-removable Li-Ion 5000 mAh battery,,Up to 1056 h (3G),,,,,,,Corning Gorilla Glass 5,Fast battery charging 18W (Pump Express 2.0),,,,,,,,,,,,,,,,,,,,
cat,Cat S31,https://cdn2.gsmarena.com/vv/bigpic/cat-s31.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, September","Available. Released 2017, October",146 x 74.4 x 12.6 mm (5.75 x 2.93 x 0.50 in),200 g (7.05 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,TFT capacitive touchscreen,"4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 7.0 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)","16 GB, 2 GB RAM","8 MP, AF",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - USA",,Black,About 330 EUR,HSDPA 850 / 900 / 1900 / 2100 - EU,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800) - EU","HSPA, LTE Cat4 150/50 Mbps",Adreno 304,LED flash,Non-removable Li-Ion 4000 mAh battery,,,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,
cat,Cat S61,https://cdn2.gsmarena.com/vv/bigpic/cat-s61.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, February","Available. Released 2018, June",150 x 76 x 13 mm (5.91 x 2.99 x 0.51 in),250 g (8.82 oz),"Single SIM (Nano-SIM) - South Africa onlyHybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~65.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 8.0 (Oreo), planned upgrade to Android 9.0 (P)",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","64 GB, 4 GB RAM","16 MP, PDAF, FLIR thermal camera (Lepton module)","2160p@30fps, 1080p@30fps",8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS, SBAS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Accelerometer, gyro, proximity, compass, barometer, indoor air quality sensor","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 25(1900), 26(850), 28(700), 29(700), 66(1700/2100) - USA",Up to 35 h (3G),Black,About 900 EUR,HSDPA 850 / 900 / 1700 / 1900 / 2100 - EU/ROW,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 19(800), 20(800), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - EU/ROW","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps",Adreno 508,"Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama",Non-removable Li-Ion 4500 mAh battery,,Up to 888 h (3G),,,,,,,Corning Gorilla Glass 5,Fast battery charging 18W (Quick Charge 4),Yes,,,,,,,,Aluminum frame,,,,,,,,,,,
cat,Cat S60,https://cdn2.gsmarena.com/vv/bigpic/cat-s60-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, February","Available. Released 2016, June",147.9 x 73.4 x 12.7 mm (5.82 x 2.89 x 0.5 in),-,"Single SIM (Nano-SIM) - South Africa onlyDual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 1700(AWS) / 1900 - North America,"a-Si AHVA capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, AF, FLIR thermal camera (Lepton module)",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB Host","Accelerometer, proximity, compass","LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - North America",,Black,About 650 EUR,HSDPA 850 / 900 / 2100 - Global,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global","HSPA, LTE Cat4 150/50 Mbps",Adreno 405,"Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama",Non-removable Li-Ion 3800 mAh battery,,,,,,,,,Corning Gorilla Glass 4,Fast battery charging 18W (Quick Charge 2.0),Yes,,,,,,,,,,,,,,,,,,,
cat,Cat S30,https://cdn2.gsmarena.com/vv/bigpic/cat-s30.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, September","Available. Released 2015, September",141.9 x 72.7 x 13.3 mm (5.59 x 2.86 x 0.52 in),181 g (6.38 oz),Nano-SIM,HSDPA 850 / 1700(AWS) / 1900 - North America,TFT capacitive touchscreen,"4.5 inches, 55.8 cm2 (~54.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)","8 GB, 1 GB RAM","5 MP, AF",1080p@60fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB Host","Accelerometer, proximity, compass","LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700) - North America",Up to 18 h,Black,About 340 EUR,HSDPA 850 / 900 / 2100 - Global,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global","HSPA, LTE Cat4 150/50 Mbps",Adreno 304,LED flash,Non-removable Li-Ion 3000 mAh battery,,Up to 936 h,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,
cat,Cat S40,https://cdn2.gsmarena.com/vv/bigpic/cat-s40.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, July","Available. Released 2015, August",144.9 x 74.1 x 12.5 mm (5.70 x 2.92 x 0.49 in),185 g (6.53 oz),Nano-SIM,HSDPA 850 / 1700(AWS) / 1900 - North America,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~56.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)","16 GB, 1 GB RAM","8 MP, AF",1080p@60fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB Host","Accelerometer, proximity, compass","LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - North America",Up to 18 h,Black,About 440 EUR,HSDPA 850 / 900 / 2100 - Global,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global","HSPA, LTE Cat4 150/50 Mbps",Adreno 304,LED flash,Non-removable Li-Ion 3000 mAh battery,,Up to 936 h,,,,,,,Corning Gorilla Glass 4,,Yes,,,,,,,,,,,,,,,,,,,
cat,Cat B30,https://cdn2.gsmarena.com/vv/bigpic/cat-b30.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, June","Available. Released 2015, June",118 x 54 x 16 mm (4.65 x 2.13 x 0.63 in),101 g (3.56 oz),Dual SIM,IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m Flashlight,TFT,"2.0 inches, 12.6 cm2 (~19.8% screen-to-body ratio)",144 x 176 pixels (~114 ppi density),,Spreadtrum 7701,,"microSD, up to 16 GB",,2 MP,Yes,,,Yes,Yes,No,2.1,No,FM radio,microUSB 2.0,,No,Up to 6 h,Black,About 140 EUR,HSDPA 900 / 2100,,HSPA,,LED flash,Non-removable Li-Ion 1000 mAh battery,,Up to 240 h,,,,,,,Scratch-proof glass,,,,,,,,,,,Yes,Yes,SMS,No,,,,,,,
cat,Cat B15 Q,https://cdn2.gsmarena.com/vv/bigpic/cat-b15q.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, Q2","Available. Released 2014, June",125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in),170 g (6.00 oz),"Dual SIM (Mini-SIM, dual stand-by)",HSDPA 850 / 1700 / 1900 / 2100 - Latin America,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~52.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 1 GB RAM","5 MP, AF",1080p@30fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m,Up to 16 h,Black,About 320 EUR,"HSDPA 850 / 900 / 2100 - EU, EMEA",,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,Removable Li-Ion 2000 mAh battery,,Up to 504 h,,,,,,,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,
cat,Cat S50,https://cdn2.gsmarena.com/vv/bigpic/cat-s50.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, November",144.5 x 77 x 12.7 mm (5.69 x 3.03 x 0.5 in),185 g (6.53 oz),Micro-SIM,HSDPA 850 / 1700 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~54.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 4.4 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quadcore 1.2 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)","8 GB, 2 GB RAM","8 MP, AF",1080p@30fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB Host","Accelerometer, proximity, compass",IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.2m,Up to 16 h,"Forest, Slate",About 460 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA, LTE Cat4 150/50 Mbps",Adreno 305,LED flash,Non-removable Li-Ion 2630 mAh battery,,Up to 792 h,,,,,,,Corning Gorilla Glass 3,Qi wireless charging,Yes,,,,,,,,,,,,,,,,,,,
