Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
celkon,Celkon A403,https://cdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, August","Available. Released 2015, August",125 x 65 x 10.2 mm (4.92 x 2.56 x 0.40 in),113 g (3.99 oz),Dual SIM,Li-Ion 1400 mAh battery,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~56.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Spreadtrum SC7715,1.0 GHz,"microSD, up to 32 GB","4 GB, 512 MB RAM",3.15 MP,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,FM radio,microUSB 2.0,Accelerometer,,,"Black, Light Blue, Red, Yellow",,HSDPA 2100,,HSPA,,LED flash,,,,,,,,,,,,,0.38 W/kg (head)     0.68 W/kg (body),,,,,,,,,,,,,,,,,,
celkon,Celkon Campus Prime,https://cdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, August","Available. Released 2015, August",132 x 67 x 9.3 mm (5.20 x 2.64 x 0.37 in),119.2 g (4.20 oz),Dual SIM,Removable Li-Ion 1600 mAh battery,Capacitive touchscreen,"4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4.2 (KitKat),Spreadtrum SC7715,1.0 GHz,"microSD, up to 32 GB","4 GB, 512 MB RAM",3.15 MP,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,FM radio,microUSB 2.0,Accelerometer,,,"White, Black, Gold, Silver, Brown, Blue",,HSDPA 2100,,HSPA,,LED flash,,,,,,,,,,,,,0.35 W/kg (head)     0.85 W/kg (body),,,,,,,,,,,,,,,,,,
celkon,Celkon Millennia Everest,https://cdn2.gsmarena.com/vv/bigpic/celkon-millennia-everest.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, August","Available. Released 2015, August",157 x 78 x 9.1 mm (6.18 x 3.07 x 0.36 in),-,Dual SIM,Li-Ion 2500 mAh battery,Capacitive touchscreen,"5.5 inches, 83.4 cm2 (~68.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~178 ppi density)",Android 5.1 (Lollipop),Spreadtrum SC7731,Quad-core 1.2 GHz,"microSD, up to 32 GB","8 GB, 1 GB RAM",5 MP,Yes,3.2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Black, White, Blue",,HSDPA 2100,,HSPA,,LED flash,,,,,,,,,,,,,0.33 W/kg (head)     0.25 W/kg (body),,,,,,,,,,,,,,,,,,
celkon,Celkon Millennia Hero,https://cdn2.gsmarena.com/vv/bigpic/celkon-millennia-hero.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, August","Available. Released 2015, August",125 x 64 x 11 mm (4.92 x 2.52 x 0.43 in),113 g (3.99 oz),Dual SIM,Li-Ion 1700 mAh battery,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 5.1 (Lollipop),,Quad-core 1.2 GHz,"microSD, up to 32 GB","8 GB, 1 GB RAM",5 MP,Yes,3.2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS,FM radio,microUSB 2.0,Accelerometer,,,"Black, White/Gold, White/Silver, Black/Gold",,HSDPA 2100,,HSPA,,LED flash,,,,,,,,,,,,,0.34 W/kg (head)     0.76 W/kg (body),,,,,,,,,,,,,,,,,,
celkon,Celkon Millennia Xplore,https://cdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, July","Available. Released 2015, July",145.7 x 73.8 x 7.9 mm (5.74 x 2.91 x 0.31 in),150 g (5.29 oz),Dual SIM,Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),Mediatek MT6582M (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM",13 MP,Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",,,Black/White,,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celkon,Celkon Q455L,https://cdn2.gsmarena.com/vv/bigpic/celkon-q455.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, July","Available. Released 2015, July",136.5 x 68 x 7.9 mm (5.37 x 2.68 x 0.31 in),130 g (4.59 oz),Dual SIM,Li-Ion 1800 mAh battery,IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm2 (~60.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.0 (Lollipop),,Quad-core 1.2 GHz,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",Yes,3.15 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Black, Red, Yellow",,HSDPA 2100,,HSPA 21.1/5.76 Mbps,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celkon,Celkon 2GB Xpress,https://cdn2.gsmarena.com/vv/bigpic/celkon-2gb-xpress.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, July","Available. Released 2015, July",133.5 x 66.5 x 10.1 mm (5.26 x 2.62 x 0.40 in),134 g (4.73 oz),Dual SIM,Li-Ion 1500 mAh battery,IPS LCD capacitive touchscreen,"4.5 inches, 57.6 cm2 (~64.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)","Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Spreadtrum 7731,Quad-core 1.2 GHz,"microSD, up to 32 GB","16 GB, 2 GB RAM","5 MP, AF",Yes,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR",Yes,FM radio,microUSB 2.0,Accelerometer,,,Black,,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celkon,Celkon A35k Remote,https://cdn2.gsmarena.com/vv/bigpic/celkon-a35k-remote.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, June","Available. Released 2015, June",119 x 63 x 10.7 mm (4.69 x 2.48 x 0.42 in),102 g (3.60 oz),Dual SIM,Li-Ion 1400 mAh battery,Capacitive touchscreen,"3.5 inches, 36.5 cm2 (~48.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.4.2 (KitKat),,1.0 GHz,"microSD, up to 32 GB","512 MB, 256 MB RAM",3.15 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",,,"White, Black, Blue",,HSDPA 2100,,"Yes, 384 kbps",,LED flash,,,,,,,,,,,,,0.56 W/kg (head)     0.40 W/kg (body),,,,,,,,,,,,,,,,,,
celkon,Celkon Q3K Power,https://cdn2.gsmarena.com/vv/bigpic/celkon-q3k-power.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, July","Available. Released 2015, July",125.8 x 65 x 9.8 mm (4.95 x 2.56 x 0.39 in),128 g (4.52 oz),Dual SIM,Li-Ion 3000 mAh battery,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~55.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Spreadtrum 7731G,Quad-core 1.2 GHz,"microSD, up to 32 GB","8 GB, 512 MB RAM",3.15 MP,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,FM radio,microUSB 2.0,Accelerometer,,,"White, black, gold",,HSDPA 2100,,"Yes, 384 kbps",Mali-400,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celkon,Celkon Q5K Power,https://cdn2.gsmarena.com/vv/bigpic/celkon-q5k-power.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, June","Available. Released 2015, June",145 x 72 x 10 mm (5.71 x 2.83 x 0.39 in),169 g (5.96 oz),Dual SIM,Li-Ion 5000 mAh battery,Capacitive touchscreen,"5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, AF",Yes,3.15 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",,,"White, Blue, Silver, Black",,HSDPA 2100,,"Yes, 384 kbps",Mali-400,LED flash,,,,,,,,,,,,,0.31 W/kg (head)     0.46 W/kg (body),,,,,,,,,,,,,,,,,,
