Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
chea,Chea A90,https://cdn2.gsmarena.com/vv/bigpic/cha90.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q1",Discontinued,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),82.8 g (2.89 oz),Mini-SIM,Wallpapers Downloadable image,"CSTN, 4096 colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,,,,,,,,,Removable battery,,,,,,,,,,,,,,,WAP 1.2.1,,,,,500,,SMS,,No,Vibration; Downloadable polyphonic ringtones,,,"English,Spanish",,
chea,Chea JMS-110,https://cdn2.gsmarena.com/vv/bigpic/chjms110.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2004, Q1",Cancelled,50.3 x 94 x 24 mm (1.98 x 3.70 x 0.94 in),77 g (2.72 oz),Mini-SIM,Wallpapers,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,,,,,,,,,Removable Li-Ion 720 mAh battery,,Up to 240 h,,,,,,,,,,,,,WAP,,,,,300,,"SMS, EMS",,No,Vibration; Polyphonic(16) ringtones,,,,,
chea,Chea 328,https://cdn2.gsmarena.com/vv/bigpic/ch328.gif,GSM,GSM 900 / 1800,Yes,No,"2003, Q3",Cancelled,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),Mini-SIM,Screensavers,"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 5 h,,,,,,,,Removable Li-Ion battery,,Up to 150 h,,,,,,,,,,,,,WAP 1.2,,,,,150,,"SMS, MMS",3,Yes,"Vibration; Polyphonic ringtones, composer",,,English,,
chea,Chea 318,https://cdn2.gsmarena.com/vv/bigpic/ch318.gif,GSM,GSM 900 / 1800,Yes,No,"2003, Q3",Cancelled,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),Mini-SIM,Screensavers,"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 5 h,,,,,,,,Removable Li-Ion battery,,Up to 150 h,,,,,,,,,,,,,WAP 1.2,,,,,150,,"SMS, MMS",3,Yes,"Vibration; Polyphonic ringtones, composer",,,English,,
chea,Chea 308,https://cdn2.gsmarena.com/vv/bigpic/ch308.gif,GSM,GSM 900 / 1800,Yes,No,"2003, Q3",Cancelled,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),Mini-SIM,Screensavers,"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 5 h,,,,,,,,Removable Li-Ion battery,,Up to 150 h,,,,,,,,,,,,,WAP 1.2,,,,,150,,"SMS, MMS",3,Yes,"Vibration; Polyphonic ringtones, composer",,,English,,
chea,Chea 228,https://cdn2.gsmarena.com/vv/bigpic/ch228.gif,GSM,GSM 900 / 1800,Yes,No,"2003, Q3",Cancelled,85 x 45 x 20.5 mm (3.35 x 1.77 x 0.81 in),74 g (2.61 oz),Mini-SIM,Second external FSTN monochrome display (96 x 64 pixels) Screensavers,"TFT, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 2 h,,,,,,,,Removable Li-Ion battery,,Up to 200 h,,,,,,,,,,,,,WAP 1.2.1,,,,,150,,"SMS, MMS",4,Yes,"Vibration; Polyphonic ringtones, composer",,,English,,
chea,Chea 218,https://cdn2.gsmarena.com/vv/bigpic/ch218.gif,GSM,GSM 900 / 1800,Yes,No,"2003, Q3",Cancelled,85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),74 g (2.61 oz),Mini-SIM,Second external FSTN monochrome display (96 x 64 pixels) Screensavers,"TFT, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 2 h,,,,,,,,Removable Li-Ion battery,,Up to 200 h,,,,,,,,,,,,,WAP 1.2.1,,,,,150,,"SMS, MMS",4,Yes,"Vibration; Polyphonic ringtones, composer",,,English,,
chea,Chea 208,https://cdn2.gsmarena.com/vv/bigpic/ch208.gif,GSM,GSM 900 / 1800,Yes,No,"2003, Q3",Cancelled,85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),74 g (2.61 oz),Mini-SIM,Second external FSTN monochrome display (96 x 64 pixels) Screensavers,"TFT, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 2 h,,,,,,,,Removable Li-Ion battery,,Up to 200 h,,,,,,,,,,,,,WAP 1.2.1,,,,,150,,"SMS, MMS",4,Yes,"Vibration; Polyphonic ringtones, composer",Yes,Yes,English,,
chea,Chea 198,https://cdn2.gsmarena.com/vv/bigpic/ch198.gif,GSM,GSM 900 / 1800,No,No,"2003, Q2",Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Screensavers,"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,No,,,,,,Yes,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 650 mAh battery,,Up to 160 h,,,,,,,,,,,,,,,,,,100,,SMS,3,No,"Vibration; Polyphonic ringtones, composer",Yes,Yes,Major European languages,,
chea,Chea 188,https://cdn2.gsmarena.com/vv/bigpic/ch188.gif,GSM,GSM 900 / 1800,No,No,"2003, Q2",Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Screensavers,"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,No,,,,,,Yes,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 650 mAh battery,,Up to 160 h,,,,,,,,,,,,,,,,,,100,,SMS,3,No,"Vibration; Polyphonic ringtones, composer",Yes,Yes,Major European languages,,
chea,Chea 178,https://cdn2.gsmarena.com/vv/bigpic/ch178.gif,GSM,GSM 900 / 1800,No,No,"2003, Q2",Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Screensavers,"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,No,,,,,,Yes,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 650 mAh battery,,Up to 160 h,,,,,,,,,,,,,,,,,,100,,SMS,3,No,"Vibration; Polyphonic ringtones, composer",Yes,Yes,Major European languages,,
