Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
coolpad,Coolpad Cool Play 8,https://cdn2.gsmarena.com/vv/bigpic/coolpad-8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",155.5 x 74.8 x 8.5 mm (6.12 x 2.94 x 0.33 in),177 g (6.24 oz),Dual SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~83.3% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",Android 8 (Oreo); Cool UI 9,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB","64 GB, 4 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Ion 4000 mAh battery,,"Black, Red",About 150 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE",Mali-T860MP2,"LED flash, panorama, HDR",,,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,"16 MP, AF 2 MP, depth sensor",,,,,,,,,,,,,
coolpad,Coolpad Mega 5A,https://cdn2.gsmarena.com/vv/bigpic/coolpad-mega-5a-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, August","Available. Released 2018, August",-,-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 8.1 (Oreo),Spreadtrum SC9850K,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB (uses SIM 2 slot)","16 GB, 2 GB RAM",5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",Active noise cancellation with dedicated mic,,Gold,About 7000 INR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE",Mali-820MP1,"LED flash, panorama, HDR",Non-removable Li-Ion 2500 mAh battery,LED flash,,,,,,,,,,,,,,,,"8 MP, f/2.0, PDAF VGA, depth sensor",Yes,,,,,,,,,,,,
coolpad,Coolpad Note 6,https://cdn2.gsmarena.com/vv/bigpic/coolpad-note-6-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, May","Available. Released 2018, May",153.7 x 76.4 x 8.6 mm (6.05 x 3.01 x 0.34 in),170 g (6.00 oz),Dual SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 7.1 (Nougat),Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","13 MP, 2.2, AF",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity",Non-removable Li-Ion 4070 mAh battery,,Gold,About 9000 INR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE",Adreno 505,"LED flash, panorama, HDR",,,,,,,,,,,,,,,,,,"8 MP 5 MP, depth sensor",,,,,,,,,,,,,
coolpad,Coolpad Cool 2,https://cdn2.gsmarena.com/vv/bigpic/coolpad-cool-2.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, April","Available. Released 2018, June",154.7 x 73.3 x 9 mm (6.09 x 2.89 x 0.35 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~73.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB (uses SIM 2 slot)","64 GB, 4 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Splash resistant,,"Gold, Blue",,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE",Mali-T860MP2,"LED flash, panorama, HDR",Non-removable Li-Ion 3200 mAh battery,,,,,,,,,,,,,,,,,"13 MP, AF VGA, depth sensor",Yes,"Front glass, aluminum body",,,,,,,,,,,
coolpad,Coolpad Cool Play 6,https://cdn2.gsmarena.com/vv/bigpic/coolpad-cool-play-6-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, August","Available. Released 2017, September",152 x 75.2 x 8.5 mm (5.98 x 2.96 x 0.33 in),175 g (6.17 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 / 1900 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 7.1.1 (Nougat); Journey UI,Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A72),No,"64 GB, 6 GB RAM","13 MP, PDAF, f/2.0 13 MP","2160p@30fps, 1080p@30fps","8 MP, f/2.2, 1/3.2"", 1.4µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic,,"Gold, Black",About 15000 INR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE",Adreno 510,"Dual-LED dual-tone flash, panorama, HDR",Non-removable Li-Ion 4060 mAh battery,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
coolpad,Coolpad Cool M7,https://cdn2.gsmarena.com/vv/bigpic/coolpad-cool-m7.jpg,GSM / CDMA / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2017, August","Available. Released 2017, August",151.1 x 74.3 x 6.9 mm (5.95 x 2.93 x 0.27 in),152 g (5.36 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~74.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 7.1.1 (Nougat),Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,No,"64 GB, 4 GB RAM","12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF",1080p@30fps,"13 MP, f/2.2, 1/3"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic,,"Matte Black, Dark Blue",About 350 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE",Adreno 506,"LED flash, HDR, panorama",Non-removable Li-Ion 3200 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coolpad,Coolpad NX1,https://cdn2.gsmarena.com/vv/bigpic/coolpad-nx1-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, August","Available. Released 2017, August",-,-,Dual SIM,Non-removable Li-Po 2000 mAh battery,"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,"microSD, up to 64 GB","8 GB, 1 GB RAM","8 MP, AF, f/2.4",720p,"2 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Black, White",About 10300 INR,HSDPA,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,Dual-LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coolpad,Coolpad Defiant,https://cdn2.gsmarena.com/vv/bigpic/coolpad-defiant.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2017, June","Available. Released 2017, June",144.5 x 71.4 x 10.2 mm (5.69 x 2.81 x 0.40 in),184.3 g (6.49 oz),Micro-SIM,Li-Ion 2450 mAh battery,"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 7.0 (Nougat),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, AF",720p@24fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,,Up to 15 h (3G),Storm gray,About 100 USD,HSDPA 850 / 1700(AWS) / 1900,"LTE band 2(1900), 4(1700/2100), 12(700)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 306,LED flash,,,Up to 216 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
coolpad,Coolpad Note 5 Lite,https://cdn2.gsmarena.com/vv/bigpic/coolpad-note-5-lite.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, March","Available. Released 2017, March",145.3 x 72.3 x 8.7 mm (5.72 x 2.85 x 0.34 in),148 g (5.22 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6 (Marshmallow); Cool UI 8,Mediatek MT6735CP,Quad-core 1.0 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)","16 GB, 3 GB RAM","13 MP, AF, f/2.2",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Ion 2500 mAh battery,,"Gold, Gray",About 120 EUR,HSDPA 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300)","HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coolpad,Coolpad Cool1 dual,https://cdn2.gsmarena.com/vv/bigpic/leeco-cool1-dual.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, August","Available. Released 2016, August",152 x 74.8 x 8.2 mm (5.98 x 2.94 x 0.32 in),167 g (5.89 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 / 1900,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 6.0 (Marshmallow), eUI 5.6",Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A72),No,"64 GB, 4 GB RAM or 32 GB, 3/4 GB RAM","13 MP, PDAF, f/2.0 13 MP","2160p@30fps, 1080p@30fps, 720p@120fps","8 MP, f/2.2, 1/3.2"", 1.4µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,Type-C 1.0 reversible connector,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",TD-SCDMA,,"Gold, Silver, Rose Gold",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE",Adreno 510,"Dual-LED dual-tone flash, panorama, HDR",Non-removable Li-Ion 4060 mAh battery,,,,,,,,,,Fast battery charging 18W: 50% in 30 min (Quick Charge 2.0),,,,,,,,Yes,,,,,,,,,,,,
coolpad,Coolpad Conjr,https://cdn2.gsmarena.com/vv/bigpic/coolpad-conjr.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, January","Available. Released 2017, January",143 x 72 x 8.7 mm (5.63 x 2.83 x 0.34 in),148 g (5.22 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Ion 2500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6 (Marshmallow); Cool UI 8,Mediatek MT6735CP,Quad-core 1.0 GHz Cortex-A53,"microSD, up to 32 GB","16 GB, 3 GB RAM","13 MP, f/2.2, OIS, AF",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,Gray,About 210 EUR,HSDPA 850 / 1700(AWS) / 1900 / 2100,"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700)","HSPA, LTE Cat4 150/50 Mbps",Mali-T720MP2,"LED flash, HDR, panorama",,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coolpad,Coolpad Cool S1,https://cdn2.gsmarena.com/vv/bigpic/coolpad-cool-s1.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, December","Available. Released 2017, January",151.4 x 74.7 x 7.5 mm (5.96 x 2.94 x 0.30 in),168 g (5.93 oz),Dual SIM,Active noise cancellation with dedicated mic Harman Kardon sound enhancement,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0.1 (Marshmallow); eUI 5.8,Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),No,"128 GB, 6 GB RAM or 64 GB, 4 GB RAM","16 MP, PDAF, f/2.0",Yes,8 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,Type-C 1.0 reversible connector,"Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 4070 mAh battery,,Gold,About 420 EUR,HSDPA,LTE,"HSPA, LTE",Adreno 530,"Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,,Fast battery charging 18W (Quick Charge 3.0),,,,,,,,,,,,,,,,,,,,
coolpad,Coolpad Note 3s,https://cdn2.gsmarena.com/vv/bigpic/coolpad-note-3s.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, November","Available. Released 2016, December",154.5 x 77.4 x 8.3 mm (6.08 x 3.05 x 0.33 in),163 g (5.75 oz),Dual SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8929 Snapdragon 415 (28 nm),Octa-core (4x1.3 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 32 GB","32 GB, 3 GB RAM","13 MP, AF, f/2.2",1080p@30fps,"5 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",Stereo FM radio; recording,"microUSB 2.0, USB Host","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 2500 mAh battery,Up to 8 h (3G),"White, Gold",,HSDPA 900 / 2100,"LTE band 3(1800), 5(850), 40(2300)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 405,"LED flash, HDR, panorama",,,Up to 200 h (3G),,,,,,,Scratch-resistant glass,,,0.57 W/kg (head)     0.65 W/kg (body),,,,,,,,,,,,,,,,,,
coolpad,Coolpad Mega 3,https://cdn2.gsmarena.com/vv/bigpic/coolpad-mega3.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, December","Available. Released 2016, December",152 x 77 x 8.2 mm (5.98 x 3.03 x 0.32 in),170 g (6.00 oz),"Triple SIM (Nano-SIM, triple stand-by)",Non-removable Li-Po 3050 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow); Cool UI,Mediatek MT6737 (28 nm),Quad-core 1.2 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","8 MP, AF, f/2.2",720p@30fps,"8 MP, f/2.2",720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",Stereo FM radio; recording,"microUSB 2.0, USB Host","Accelerometer, proximity",,Up to 8 h (3G),"Champagne White, Moondust Grey, Gold White",About 110 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 20(800), 40(2300)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T860,"LED flash, HDR, panorama",,LED flash,Up to 200 h (3G),,,,,,,Scratch-resistant glass,,,0.68 W/kg (head)     0.66 W/kg (body),,,,,,,,,,,,,,,,,,
coolpad,Coolpad Note 5,https://cdn2.gsmarena.com/vv/bigpic/coolpad-note-5.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, September","Available. Released 2016, October",152 x 75.7 x 8.9 mm (5.98 x 2.98 x 0.35 in),173.4 g (6.10 oz),Hybrid Dual SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6 (Marshmallow); Cool UI 8,Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB (uses SIM 2 slot)","32/64 GB, 4 GB RAM","13 MP, AF, f/2.2",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 4010 mAh battery,,"Royal Gold, Space Gray",About 180 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 40(2300)","HSPA, LTE",Adreno 405,"LED flash, HDR, panorama",,LED flash,,,,,,,,Scratch-resistant glass,,,,,,,,,,,,,,,,,,,,,
