Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
dell,Dell Venue 10 7000,https://cdn2.gsmarena.com/vv/bigpic/dell-venue-10-7000.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, April","Available. Released 2015, May",243.4 x 195.4 x 6.2 mm (9.58 x 7.69 x 0.24 in),597 g (1.32 lb),Micro-SIM,Non-removable Li-Ion 7000 mAh battery,"OLED capacitive touchscreen, 16M colors","10.5 inches, 319.7 cm2 (~67.2% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~288 ppi density)",Android 5.0 (Lollipop),Intel Atom Z3580,Quad-core 2.3 GHz,"microSD, up to 512 GB (dedicated slot)","32 GB, 2 GB RAM","8 MP, AF",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,Up to 7 h (multimedia),Black,About 460 EUR,HSDPA,LTE,"HSPA, LTE",PowerVR G6430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell Venue 8 7000,https://cdn2.gsmarena.com/vv/bigpic/dell-venue-8-7000.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, October","Available. Released 2015, January",215.9 x 124.2 x 6.1 mm (8.5 x 4.89 x 0.24 in),305 g (10.76 oz),Micro-SIM,Non-removable Li-Ion 5900 mAh battery (21 Wh),"OLED capacitive touchscreen, 16M colors","8.4 inches, 204.6 cm2 (~76.3% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~359 ppi density)","Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop)",Intel Atom Z3580,Quad-core 2.3 GHz,"microSD, up to 512 GB (dedicated slot)","16/32 GB, 2 GB RAM","8 MP, AF, f/2.4",1080p@30fps,2 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,Black,About 250 EUR,HSDPA,LTE,"HSPA, LTE",PowerVR G6430,Depth & motion tracking sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell Venue 8,https://cdn2.gsmarena.com/vv/bigpic/dell-venue-8.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, October. Released 2013, October",Discontinued,212 x 130 x 9.8 mm (8.35 x 5.12 x 0.39 in),292 g (10.30 oz),Micro-SIM,Non-removable Li-Ion 4100 mAh battery (15.5 Wh),"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 4.2.2 (Jelly Bean),Intel Atom Z2580,Dual-core 2.0 GHz,"microSD, up to 32 GB (dedicated slot)","16/32 GB, 2 GB RAM",5 MP,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,Black,About 130 EUR,HSDPA 900 / 2100,,HSPA,PowerVR SGX544MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell Venue 7 8 GB,https://cdn2.gsmarena.com/vv/bigpic/dell-venue-7-8gb.jpg,No cellular connectivity,N/A,No,No,"2013, October. Released 2013, October",Discontinued,193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in),234 g (8.25 oz),No,Non-removable Li-Ion 4100 mAh battery (15.5 Wh),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Intel Atom Z2560,Dual-core 1.6 GHz,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM",3.15 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass",,,"Black, Red",,,,,PowerVR SGX544MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell Venue 7,https://cdn2.gsmarena.com/vv/bigpic/dell-venue-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, October. Released 2013, October",Discontinued,193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in),234 g (8.25 oz),Micro-SIM,Non-removable Li-Ion 4100 mAh battery (15.5 Wh),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Intel Atom Z2560,Dual-core 1.6 GHz,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM",3.15 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,"Black, Red",About 100 EUR,HSDPA 900 / 2100,,HSPA,PowerVR SGX544MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell XPS 10,https://cdn2.gsmarena.com/vv/bigpic/dell-xps-10.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900  (optional),No,No,"2012, Q4. Released 2012, December",Discontinued,274.7 x 177.3 x 9.2 mm (10.81 x 6.98 x 0.36 in),635 g (1.40 lb),Single SIM (Micro-SIM) - optional,Optional mobile dock with standard QWERTY keyboard and trackpad,"TFT capacitive touchscreen, 16M colors","10.1 inches, 281.1 cm2 (~57.7% screen-to-body ratio)","1366 x 768 pixels, 16:9 ratio (~155 ppi density)",Microsoft Windows RT,,Dual-core 1.5 GHz,"microSD, up to 64 GB (dedicated slot)",32/64 GB,"5 MP, AF",720p@30fps,2 MP,720p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP","Yes, with A-GPS (with LTE/HSPA+ configs)",No,microUSB 2.0,"Accelerometer, gyro, compass",MP4/H.264 player MP3/WAV/eAAC+ player Photo viewer/editor Document editor,,Black,About 380 EUR,HSDPA (optional),LTE (optional),HSPA/LTE (optional),,,Non-removable Li-Ion battery (28 Wh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,Dell Streak 10 Pro,https://cdn2.gsmarena.com/vv/bigpic/dell-streak-10-pro.jpg,No cellular connectivity,N/A,No,No,2011,Discontinued,262.3 x 178 x 13 mm (10.33 x 7.01 x 0.51 in),727 g (1.60 lb),No,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player Document viewer Photo viewer/editor Organizer Predictive text input,"TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 3.2 (Honeycomb),Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM","5 MP, AF",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","2.1, A2DP, EDR",Yes,No,2.0,"Accelerometer, gyro, proximity, compass",Non-removable Li-Ion battery,Up to 12 h,Black,About 280 EUR,,,,ULP GeForce,LED flash,,,,,,,,,,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,
dell,Dell Streak Pro D43,https://cdn2.gsmarena.com/vv/bigpic/dell-streak-pro-d43.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2011, December. Released 2012, Q3",Discontinued,124.9 x 64.5 x 10.3 mm (4.92 x 2.54 x 0.41 in),145 g (5.11 oz),Micro-SIM,Active noise cancellation with dedicated mic,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~63.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",,Qualcomm MSM8260 Snapdragon S3,Dual-core 1.5 GHz Scorpion,"microSD, up to 32 GB (dedicated slot)","8 GB ROM, 1 GB RAM","8 MP, AF",1080p@30fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",SNS integration MP4/WMV/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document editor Voice memo/dial/commands Predictive text input,Up to 13 h (2G) / Up to 9 h (3G),Black,About 450 EUR,HSDPA 900 / 1700 / 2100,,HSPA 14.4/5.76 Mbps,Adreno 220,LED flash,Removable Li-Ion 1520 mAh battery,,Up to 281 h (2G) / Up to 353 h (3G),,,,,,,Corning Gorilla Glass,,,,,,,,,,,"Practically unlimited entries and fields, Photocall",Practically unlimited,"SMS(threaded view), MMS, Email, IM",Yes + downloadable,"Yes, via Java MIDP emulator",,,,,,
dell,Dell Streak 7,https://cdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2011, February. Released 2011, March",Discontinued,200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in),453.6 g (1.00 lb),Mini-SIM,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Predictive text input,"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)","Android 2.2 (Froyo), 2.3 (Gingerbread), upgradable to 3.2 (Honeycomb)",Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",16 GB,"5 MP, AF",720p,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",No,2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2780 mAh battery,Up to 4 h,Gray,About 210 EUR,HSDPA 900 / 1900 / 2100  / 1700,,HSPA,ULP GeForce,LED flash,,,Up to 72 h,,,,,,,Corning Gorilla Glass,,,,,,"HTML, Adobe Flash",,,,,,,,,,,,,,,
dell,Dell Streak 7 Wi-Fi,https://cdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,No cellular connectivity,N/A,No,No,"2011, February. Released 2011, April",Discontinued,200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in),453.6 g (1.00 lb),No,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Predictive text input,"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",16 GB,"5 MP, AF",720p,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR",Yes,No,2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2780 mAh battery,Up to 4 h,Gray,About 140 EUR,,,,ULP GeForce,LED flash,,,Up to 72 h,,,,,,,Corning Gorilla Glass,,,,,,"HTML, Adobe Flash",,,,,,,,,,,,,,,
