Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
energizer,Energizer Power Max P8100S,https://cdn2.gsmarena.com/vv/bigpic/energizer-power-max-p8100s-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, November",-,-,"Dual SIM (Nano-SIM, dual stand-by)",(5G capable),"IPS LCD capacitive touchscreen, 16M colors","8.1 inches, 203.2 cm2","1536 x 2048 pixels, 4:3 ratio (~316 ppi density)",Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),"microSD, up to 256 GB","256 GB, 8 GB RAM",24 MP,2160p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,Type-C 1.0 reversible connector,"Accelerometer, gyro, proximity, compass","Cover display: 6 inches, 1080 x 2160 pixels",,Dark red,About 900 EUR,HSDPA 850 / 900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps",Adreno 640,"Dual-LED flash, HDR, panorama","Non-removable Li-Po 10,000 mAh battery",,,,,,,,,,Fast battery charging 18W,,,,,,,"48 MP, f/1.8, 1/2"", 0.8µm, PDAF 12 MP",,,,,,,,,,,,,
energizer,Energizer Power Max P18K Pop,https://cdn2.gsmarena.com/vv/bigpic/energizer-power-max-p18k-pop-100.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, June",⁓ 30-40 mm thickness,-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~83.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",Android 9.0 (Pie),Mediatek Helio P70 (12nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"microSD, up to 128 GB (uses SIM 2 slot)","128 GB, 6 GB RAM",,1080p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 18,000 mAh battery",,"Black, Blue",,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA, LTE-A",Mali-G72 MP3,"Dual-LED dual-tone flash, panorama, HDR",,,,,,,,,,,Fast battery charging 18W USB Power Delivery 2.0 Power Bank/Reverse charging,,,,,,,"16 MP 2 MP, depth sensor",,,,,,,,,,,,"12 MP, PDAF 5 MP 2 MP, depth sensor",
energizer,Energizer Ultimate U620S Pop,https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u620s-pop.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Coming soon. Exp. release 2019, July",153.2 x 74.9 x 10.3 mm (6.03 x 2.95 x 0.41 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~83.6% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",Android 9.0 (Pie),Mediatek Helio P70,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"microSD, up to 128 GB (uses SIM 2 slot)","128 GB, 6 GB RAM",,1080p@30fps,,1080p,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3200 mAh battery,,"Black, Red, Green",,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE-A",Mali-G72 MP3,"Dual-LED dual-tone flash, panorama, HDR",,,,,,,,,,,Fast battery charging 18W,,,,,,,"Motorized pop-up 16 MP Motorized pop-up 2 MP, depth sensor",,,,,,,,,,,,"12 MP, PDAF 5 MP 2 MP, depth sensor",
energizer,Energizer Ultimate U650S,https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u650s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Coming soon. Exp. release 2019, October",162.5 x 76.5 x 8.2 mm (6.40 x 3.01 x 0.32 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 107.2 cm2 (~86.3% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~253 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","128 GB, 4 GB RAM",16 MP,1080p@30fps,,1080p,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3500 mAh battery,,Yes,,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA, LTE-A",PowerVR GE8320,"Dual-LED dual-tone flash, panorama, HDR",,,,,,,,,,,Fast battery charging 10W,,,,,,,"16 MP, PDAF 2 MP, depth sensor",,,,,,,,,,,,,
energizer,Energizer Ultimate U630S Pop,https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u630s-pop.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Coming soon. Exp. release 2019, June",157.9 x 78.9 x 9.6 mm (6.22 x 3.11 x 0.38 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 100.7 cm2 (~80.9% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~261 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB (uses SIM 2 slot)","64 GB, 4 GB RAM",,1080p@30fps,,1080p,Yes,No,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3500 mAh battery,,Black,,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300), 41(2500)","HSPA, LTE-A",PowerVR GE8320,"LED flash, panorama, HDR",,,,,,,,,,,Fast battery charging 10W,,,,,,,"16 MP, PDAF 2 MP, depth sensor",,,,,,,,,,,,,"Motorized pop-up 16 MP Motorized pop-up 2 MP, depth sensor"
energizer,Energizer Ultimate U620S,https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u620s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Coming soon. Exp. release 2019, June",155.8 x 75.5 x 8.3 mm (6.13 x 2.97 x 0.33 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 97.6 cm2 (~82.9% screen-to-body ratio)","720 x 1520 pixels, 18.5:9 ratio (~265 ppi density)",Android 9.0 (Pie),Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"microSD, up to 128 GB (uses SIM 2 slot)","64 GB, 4 GB RAM",16 MP,1080p@30fps,,1080p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Removable Li-Po 4000 mAh battery,,"Aurora Red, Aurora Blue",,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA, LTE-A",PowerVR GE8320,"Dual-LED dual-tone flash, panorama, HDR",,,,,,,,,,,Fast battery charging 10W,,,,,,,,,,,,,,,,,,,"16 MP, PDAF 2 MP VGA, depth sensor",
energizer,Energizer Ultimate U570S,https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u570s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Coming soon. Exp. release 2019, April",148.8 x 70.5 x 8.6 mm (5.86 x 2.78 x 0.34 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 81.1 cm2 (~77.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB (uses SIM 2 slot)","32 GB, 4 GB RAM",16 MP,1080p@30fps,,1080p,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Removable Li-Ion 3000 mAh battery,,"Aurora Red, Blue, Yellow",,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA, LTE-A",PowerVR GE8320,"Dual-LED dual-tone flash, panorama, HDR",,,,,,,,,,,,,,,,,,"16 MP, PDAF 2 MP, depth sensor",,,,,,,,,,,,,
energizer,Energizer Hardcase H591S,https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h591s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q3",164.2 x 79.4 x 12.2 mm (6.46 x 3.13 x 0.48 in),260 g (9.17 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water proof (up to 1.5m for 30 mins),"TFT capacitive touchscreen, 16M colors","5.99 inches, 98.9 cm2 (~75.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",Android 8.1 (Oreo),Mediatek MT6763 Helio P23 (16 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 32 GB (uses SIM 2 slot)","64 GB, 6 GB RAM",,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 5800 mAh battery,,Black,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 19(800), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE-A",Mali-G71 MP2,Dual-LED flash,,LED flash,,,,,,,,Corning Gorilla Glass 3,Fast battery charging 10W,Yes,,,,,,"16 MP, AF VGA, depth sensor",,,,,,,,,,,,,"8 MP VGA, depth sensor"
energizer,Energizer Hardcase H570S,https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h570s-not-scan.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q2",142 x 64 x 16.5 mm (5.59 x 2.52 x 0.65 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water proof (up to 1.5m for 30 mins),"LTPS IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~92.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 9.0 (Pie),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 32 GB (uses SIM 2 slot)","16 GB, 2 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Ion 6500 mAh battery,,Black,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300), 41(2500)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,,,,,,,,,Corning Gorilla Glass 3,Fast battery charging 10W,,,,,,,"13 MP, AF VGA, depth sensor",,,,,,,,,,,,,
energizer,Energizer Hardcase H501S,https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h501s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q3",149.4 x 69.9 x 12 mm (5.88 x 2.75 x 0.47 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water proof (up to 1.5m for 30 mins),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 64.5 cm2 (~61.8% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",Android 9.0 (Pie),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)","16 GB, 2 GB RAM",5 MP,480p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Non-removable Li-Ion 2500 mAh battery,,Black,,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 7.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,,,,,,,,,Panda Glass,,,,,,,,"16 MP, AF 2 MP, depth sensor",,,,,,,,,,,,,
