Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
ericsson,Ericsson R600,https://cdn2.gsmarena.com/vv/bigpic/err600.gif,GSM,GSM 900 / 1800,Yes,No,"2001, Q4",Discontinued,105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in),82 g (2.89 oz),Mini-SIM,LCD illuminates in 3  colours Background pictures,Grayscale graphic,,5 lines,,,,No,,,,,,No,No,No,No,No,No,,,No,2 h - 4 h,"2 - Ice Blue, Luminous Champagne",,,,,,,Removable Li-Ion (BST-20),,90 h - 150 h,,,,,,,,,,0.89 W/kg (head),,,WAP 1.2.1,,,,,200,"10 received, dialed and missed calls","SMS, EMS","4 - Erix, Catcher, Pathy and Ripple",No,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,
ericsson,Ericsson T68,https://cdn2.gsmarena.com/vv/bigpic/ert68.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,"2001, Q4",Discontinued,101 x 48 x 19.5 mm (3.98 x 1.89 x 0.77 in),84 g (2.96 oz),Mini-SIM,Joystick navigation Image handling,"CSTN, 256 colors",,101 x 80 pixels,,,,No,,,,,,No,No,No,1.0b,No,No,,,100 sec voice memo 300 calendar events,up to 11 h,"2 - Zirocñan Gold, Lunar Grey",,,,,,,Removable Li-Ion battery (BST-14),,up to 300 h,,,,,,,,,,,,,WAP 1.2.1,,,Yes,,500 x 8 fields,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Email","6 - Erix, Ripple, Tetris, Game, Q, Solitaire",No,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,
ericsson,Ericsson T66,https://cdn2.gsmarena.com/vv/bigpic/ert66.gif,GSM,GSM 900 / 1800 / 1900,No,No,"2001, Q4",Discontinued,92 x 41 x 17.5 mm (3.62 x 1.61 x 0.69 in),59 g (2.08 oz),Mini-SIM,No,Monochrome graphic,,5 lines,,,,No,,,,,,No,No,No,No,No,No,,,SMS chat Predictive text input Organizer Profiles,2 h - 5 h,"2 - Purple Passion, Silver Supreme",,,,,,,Removable NiMH battery,,150 h,,,,,,,,,,,,,WAP 1.2.1,,,,,,"10 received, dialed and missed calls","SMS, EMS",,No,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,
ericsson,Ericsson T65,https://cdn2.gsmarena.com/vv/bigpic/ert65.gif,GSM,GSM 900 / 1800,Yes,No,"2001, Q4",Discontinued,105 x 49 x 21 mm (4.13 x 1.93 x 0.83 in),94 g (3.32 oz),Mini-SIM,Background pictures,Grayscale graphic,,"6 lines, 101 x 67 pixels",,,,No,,,,,,No,No,No,No,No,No,,,No,2.5 h - 11 h,"3 - Cosmic Blue, Stardust Yellow, Polar Blue",,,,,,,Removable Li-Ion battery,,160 h - 300 h,,,,,,,,,,,,,WAP 1.2.1,,,,,300 x 11 fields,"30 received, dialed and missed calls","SMS, Email, EMS",Yes,No,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,,,
ericsson,Ericsson T39,https://cdn2.gsmarena.com/vv/bigpic/ert39.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,2001,Discontinued,96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in),86 g (3.03 oz),Mini-SIM,No,Grayscale graphic,,"101 x 54 pixels, 4 lines, 17:9 ratio",,,,No,,,,,,No,No,No,1.0b,No,No,,,Predictive text input Organizer Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip,up to 11 h,"3 - Classic Blue, Icecap Blue, Rose White",,,,,,,Removable NiMH battery,,up to 300 h,,,,,,,,,,,,,WAP 1.2.1,,,Yes,,510,"10 received, dialed and missed calls","SMS, Email",Yes,No,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,37,,
ericsson,Ericsson A3618,https://cdn2.gsmarena.com/vv/bigpic/era3618.gif,GSM,GSM 900 / 1800,No,No,"2001, Q3",Discontinued,111 x 47 x 22 mm (4.37 x 1.85 x 0.87 in),86 g (3.03 oz),Mini-SIM,"4 background colors (red, green, blue and yellow) 2 screensavers Start-up/Shut-down shows",Monochrome graphic,,4 lines,,,,No,,,,,,No,No,No,No,No,No,,,10 SMS templates,2.5 - 4 h,"2 - Icy Silver, Graphite Silver",,,,,,,Removable NiMH battery,,90 - 155 h,,,,,,,,,,,,,,,,,,99,"20 received, dialed and missed calls",SMS,"3 - Tetris, Erix, Pulldown",No,"Vibration; Monophonic ringtones, composer",Yes,Yes,4,,
ericsson,Ericsson T29s,https://cdn2.gsmarena.com/vv/bigpic/ert29.gif,GSM,GSM 900 / 1800,No,No,"2001, February",Discontinued,101 x 49 x 20 mm (3.98 x 1.93 x 0.79 in),95 g (3.35 oz),Mini-SIM,No,Grayscale graphic,,"101 x 33 pixels, 3 x 12 chars",,,,No,,,,,,No,No,No,No,No,No,,,Predictive text input Voice dialing Voice answering Profiles] Helptexts and shortcuts Active flip,7 h,2 - Amethyst Purple and Sapphire Blue,,,,,,,Removable NiMH battery,,150 h,,,,,,,,,,,,,WAP 1.1,,,,,200,"10 received, dialed and missed calls","SMS, EMS",5,No,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,English + many Asian,,
ericsson,Ericsson R520m,https://cdn2.gsmarena.com/vv/bigpic/err520m.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,Q2 2001 ?,Discontinued,130 x 50 x 16 mm (5.12 x 1.97 x 0.63 in),105 g (3.70 oz),Mini-SIM,No,Monochrome graphic,,5 lines,,,,No,,,,,,No,No,No,1.0b,No,No,,,Predictive text input Code memo Voice dial Voice answer Voice memo Calculator Speaker with proximity switch,7 h 30 min,,,,,,,,Removable NiMH battery,,200 h,,,,,,,,,,,,,WAP 1.2,,,Yes,,500+,,"SMS, Email",,No,Vibration; Downloadable monophonic ringtones,Yes,Yes,,,
ericsson,Ericsson T20e,https://cdn2.gsmarena.com/vv/bigpic/ert20e.gif,GSM,GSM 900 / 1800,No,No,2001,Discontinued,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),128 g (4.52 oz),Mini-SIM,SMS Templates,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,No,,,,,,No,No,No,No,No,No,,,No,10 h,"5 - Purple Wild, Blue Whirl, Lime Twist, Silver Weave, Beige Harmony",,,,,,,Removable NiMH battery,,200 h,,,,,,,,,,,,,WAP with added security,,,,,,"10 received, dialed and missed calls",SMS,5,No,"Vibration; Downloadable monophonic ringtones, composer",Yes,Yes,24,,
ericsson,Ericsson A2628,https://cdn2.gsmarena.com/vv/bigpic/era2628.gif,GSM,GSM 900 / 1800,No,No,2001,Discontinued,131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in),140 g (4.94 oz),Mini-SIM,Start-up/Shut-down shows,Monochrome graphic,,4 lines,,,,No,,,,,,No,No,No,No,No,No,,,SMS templates,6 h,"4 - Astral Blue, Pistachio Yellow, Green Pepper, Celestial black",,,,,,,Removable NiMH battery,,125 h,,,,,,,,,,,,,WAP 1.1,,,,,99,"30 received, dialed and missed calls",SMS,"3 - Tetris, Erix, Labirinth",No,Monophonic ringtones,Yes,Yes,,,
ericsson,Ericsson T20s,https://cdn2.gsmarena.com/vv/bigpic/ert20s.gif,GSM,GSM 900 / 1800,No,No,2000,Discontinued,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),128 g (4.52 oz),Mini-SIM,SMS Templates,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,No,,,,,,No,No,No,No,No,No,,,No,10 h,"4 - Blue Whirl, Lime Twist, Silver Weave, Beige Harmony",,,,,,,Removable NiMH battery,,200 h,,,,,,,,,,,,,WAP,,,,,99,"10 received, dialed and missed calls",SMS,"4 - Tetris, Erix, E-maze, Ballpop",No,"Vibration; Monophonic ringtones, composer",Yes,Yes,24,,
ericsson,Ericsson T36,https://cdn2.gsmarena.com/vv/bigpic/ert36b.gif,GSM,GSM 900 / 1800 / 1900,No,No,2000,Cancelled,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),88 g (3.10 oz),Mini-SIM,No,Grayscale graphic,,4 lines,,,,No,,,,,,No,No,No,Yes,No,No,,,Predictive text input High speed data transfers Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip,7 h,,,,,,,,Removable Li-Po battery,,200 h,,,,,,,,,,,,,WAP 1.2,,,Yes,,1000,,SMS,Yes,No,"Vibration; Monophonic ringtones, composer",Yes,Yes,37,,
ericsson,Ericsson R380,https://cdn2.gsmarena.com/vv/bigpic/err380b.gif,GSM,GSM 900 / 1800,No,No,2000,Discontinued,130 x 50 x 26 mm (5.12 x 1.97 x 1.02 in),164 g (5.78 oz),Mini-SIM,Partly covered by the flip,Monochrome resistive touchscreen,,Big,,,,No,,,,,,No,No,No,No,No,No,,,No,4 h,,,,,,,,Removable NiMH battery,,150 h,,,,,,,,,,,,,WAP,,,Yes,,99,Advanced,"SMS, Email",Yes,No,Vibration; Monophonic ringtones,Yes,Yes,,,
