Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
gigabyte,Gigabyte GSmart Essence 4,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, October","Available. Released 2015, November",124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in),105 g (3.70 oz),"Dual SIM (Mini-SIM, dual stand-by)",Removable Li-Ion 1300 mAh battery,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~59.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",2 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 12 h,Black,About 60 EUR,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400,,,,Up to 300 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Classic Lite,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, October","Available. Released 2015, November",143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in),145 g (5.11 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",Removable Li-Ion 2100 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4 (KitKat),Spreadtrum SC7731,Quad-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)","8 GB, 512 MB RAM",5 MP,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 12 h,Black,About 80 EUR,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,Up to 250 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Essence,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, October","Available. Released 2015, October",134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in),125 g (4.41 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",Removable Li-Ion 1600 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4 (KitKat),Spreadtrum SC7731,Quad-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)","8 GB, 512 MB RAM",5 MP,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 12 h,"Black, White",About 70 EUR,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,Up to 240 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Classic,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, October","Available. Released 2015, October",145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),150 g (5.29 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Spreadtrum SC7731,Quad-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 10 h,"Black, Gray",About 100 EUR,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,Up to 230 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Guru GX,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, April",139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in),115 g (4.06 oz),Dual SIM (Nano-SIM/ Micro-SIM),Non-removable Li-Ion 2300 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 4.4 (KitKat),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 64 GB (dedicated slot)","32 GB, 2 GB RAM","13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,Up to 14 h,Black,,HSDPA 900 / 2100,"LTE band 3(1800), 7(2600), 20(800)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 405,LED flash,,,Up to 200 h,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Mika MX,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, February",143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in),165 g (5.82 oz),"Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Ion 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","5 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 20 h,Black,,HSDPA 900 / 2100,"LTE band 3(1800), 7(2600), 8(900)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 306,,,,Up to 320 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Roma RX,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, April",142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in),155 g (5.47 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",5 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 20 h,Black,,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,,,,Up to 400 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Akta A4,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, November","Available. Released 2014, November",147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in),158 g (5.57 oz),Dual SIM (Mini-SIM/ Micro-SIM),Removable Li-Ion 1800 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),Octa-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass",,Up to 6 h,Navy Blue,,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-450MP4,LED flash,,,Up to 250 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Mika M3,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, October","Available. Released 2014, November",144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in),146 g (5.15 oz),Dual SIM (Mini-SIM/ Micro-SIM),Removable Li-Ion 1900 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","13 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 4 h 30 min,Navy Blue,,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,Up to 150 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart GX2,https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, August","Available. Released 2014, September",146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in),135 g (4.76 oz),Dual SIM (Micro-SIM),Removable Li-Ion 2200 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8228 Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)","8 GB, 2 GB RAM","13 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Up to 12 h,Black,,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,Adreno 305,LED flash,,,Up to 350 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
