Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
gionee,Gionee F205,https://cdn2.gsmarena.com/vv/bigpic/gionee-f205.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, January","Available. Released 2018, January",148.4 x 70.7 x 8 mm (5.84 x 2.78 x 0.31 in),135.6 g (4.80 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~73.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 7.1 (Nougat); Amigo 5,Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB","16 GB, 2 GB RAM","8 MP, AF",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2670 mAh battery,,"Gold, Red, Blue",About 130 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE",PowerVR GE8100,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,,,"Front glass, aluminum body",,,,,,,,,,,
gionee,Gionee S11S,https://cdn2.gsmarena.com/vv/bigpic/gionee-s11s.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, November","Available. Released 2017, December",155.8 x 72.6 x 7 mm (6.13 x 2.86 x 0.28 in),177 g (6.24 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~82.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 7.1 (Nougat); Amigo 5,Mediatek Helio P30 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53),"microSD, up to 256 GB","64 GB, 6 GB RAM",,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3600 mAh battery,,"Silver, Gold",About 500 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE",Mali-G71 MP2,"LED flash, HDR, panorama",,,,,,,,,,,,Yes,,,,,,"16 MP, AF 8 MP",,Front/back glass & aluminum frame,,,,,,,,,,,20 MP 8 MP
gionee,Gionee S11,https://cdn2.gsmarena.com/vv/bigpic/gionee-s11.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, November","Available. Released 2017, December",159.5 x 77.7 x 7.8 mm (6.28 x 3.06 x 0.31 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~74.7% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",Android 7.1 (Nougat); Amigo 5,Mediatek MT6763T Helio P23 (16 nm),Octa-core 2.5 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","64 GB, 4 GB RAM",,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3410 mAh battery,,"Moonlight blue, space gold, cherry powder",About 320 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Mali-G71 MP2,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,"16 MP, AF 5 MP, depth sensor",,,,,,,,,,,,,16 MP 8 MP
gionee,Gionee S11 lite,https://cdn2.gsmarena.com/vv/bigpic/gionee-s11-mini-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, November","Available. Released 2018, February",153.8 x 72.6 x 7.9 mm (6.06 x 2.86 x 0.31 in),141 g (4.97 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.1 (Nougat); Amigo 5,Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","32 GB, 4 GB RAM","16 MP, f/2.0",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3030 mAh battery,,"Gold, Dark Blue, Black",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE",Adreno 505,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,"13 MP, f/2.2, AF 2 MP, depth sensor",,,,,,,,,,,,,
gionee,Gionee M7 Plus,https://cdn2.gsmarena.com/vv/bigpic/gionee-m7-plus.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, November","Available. Released 2018, July",166.5 x 81.6 x 8.7 mm (6.56 x 3.21 x 0.34 in),241 g (8.50 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"AMOLED capacitive touchscreen, 16M colors","6.43 inches, 106.7 cm2 (~78.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~376 ppi density)",Android 7.1 (Nougat); Amigo 5,Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 256 GB","128 GB, 6 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,,Blue,About 670 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 512,"LED flash, HDR, panorama",,,,,,,,,,,Fast battery charging 10W,Yes,,,,,,"16 MP, AF 8 MP",Yes,"Front glass, aluminum frame & back, leather cover",,,,,,,,,,,
gionee,Gionee M7 Power,https://cdn2.gsmarena.com/vv/bigpic/gionee-m7-power-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, October","Available. Released 2017, November",156.4 x 76.7 x 8.6 mm (6.16 x 3.02 x 0.34 in),199 g (7.02 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 5000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 7.1.1 (Nougat); Amigo 5,Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)","64 GB, 4 GB RAM","13 MP, AF, f/2.0",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,Up to 56 h (3G),"Dark blue, black, gold",About 260 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE Cat4 150/50 Mbps",Adreno 505,"LED flash, HDR, panorama",,,Up to 625 h (3G),,,,,,,Corning Gorilla Glass 3,,,,,,,,,,"Front glass, aluminum body",,,,,,,,,,,
gionee,Gionee M7,https://cdn2.gsmarena.com/vv/bigpic/gionee-m7.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, September","Available. Released 2017, September",157 x 76 x 7.2 mm (6.18 x 2.99 x 0.28 in),180 g (6.35 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~78.1% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 7.1 (Nougat); Amigo 5,Mediatek Helio P30 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53),"microSD, up to 256 GB","64 GB, 6 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS","FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,,"Sapphire Blue, Star Blue, Maple Red, Champagne Gold, Black",About 360 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE Cat4 150/50 Mbps",Mali-G71 MP2,"LED flash, HDR, panorama",,,,,,,,,,,Fast battery charging 10W,Yes,,,,,,"16 MP, AF 8 MP",Yes,"Front glass, aluminum body",,,,,,,,,,,
gionee,Gionee X1s,https://cdn2.gsmarena.com/vv/bigpic/gionee-x1s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, September","Available. Released 2017, September",150.4 x 73.5 x 8.8 mm (5.92 x 2.89 x 0.35 in),166 g (5.86 oz),Dual SIM,Non-removable Li-Ion 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 7 (Nougat); Amigo 4,Mediatek MT6737T (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","16 GB, 3 GB RAM","13 MP, AF",1080p@30fps,16 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Black, Gold",About 13000 INR,HSDPA,LTE,"HSPA, LTE Cat4 150/50 Mbps",Mali-T720,"Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,Corning Gorilla Glass 3,,,,,,,,,Yes,,,,,,,,,,,,
gionee,Gionee X1,https://cdn2.gsmarena.com/vv/bigpic/gionee-x1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, August","Available. Released 2017, August",144.3 x 72.2 x 8.8 mm (5.68 x 2.84 x 0.35 in),-,Dual SIM,Non-removable Li-Ion 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7 (Nougat); Amigo 5,Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,"8 MP, f/2.0, 1/4"", 1.12µm",720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Black, Gold",About 9000 INR,HSDPA,LTE,"HSPA, LTE Cat4 150/50 Mbps",Mali-T720,"Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gionee,Gionee P8 Max,https://cdn2.gsmarena.com/vv/bigpic/gionee-p8-max.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, June","Available. Released 2017, Q4",154.4 x 76.6 x 9.2 mm (6.08 x 3.02 x 0.36 in),-,Dual SIM,Non-removable Li-Ion 3150 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow); Amigo 3.2,Mediatek MT6737T (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 3 GB RAM","13 MP, AF, f/2.2",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,"Gold, Gray, White",,HSDPA,LTE,"HSPA, LTE Cat4 150/50 Mbps",Mali-T720,"LED flash, HDR, panorama",,,,,,,,,,Corning Gorilla Glass (unspecified version),Fast battery charging 5V/2A 10W,,,,,,,,Yes,,,,,,,,,,,,
