Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
honor,Honor Tab 5,https://cdn2.gsmarena.com/vv/bigpic/honor-tab-5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in),310 g (10.93 oz),"Dual SIM (Nano-SIM, dual stand-by)",Dolby Atmos sound,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~74.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",Android 9.0 (Pie); Magic 2,Hisilicon Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"microSD, up to 512 GB","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","8 MP, f/2.0, AF",1080p@30fps,"8 MP, f/2.0",,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS (LTE model), GLONASS, BDS",No,microUSB 2.0,Accelerometer,Non-removable Li-Po 5100 mAh battery,,"Silver, Blue",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Mali-G51 MP4,HDR,,,,,,,,,,Scratch-resistant glass,Fast battery charging 10W,,,,,,,,,,,,,,,,,,,,
honor,Honor View 20,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-view-20-ofic.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",156.9 x 75.4 x 8.1 mm (6.18 x 2.97 x 0.32 in),180 g (6.35 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm2 (~85.7% screen-to-body ratio)",1080 x 2310 pixels (~398 ppi density),Android 9.0 (Pie); Magic UI 2,HiSilicon Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),No,"256 GB, 8 GB RAM or 128 GB, 6/8 GB RAM","25 MP, f/2.0, 27mm","2160p@30fps, 1080p@30fps, 720p@960fps, (gyro-EIS)",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic,,"Saphire Blue, Phantom Blue, Phantom Red, Midnight Black",About 570 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 6(900), 8(900), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A",Mali-G76 MP10,"Panorama, HDR, LED flash",Non-removable Li-Po 4000 mAh battery,HDR,,Basemark OS II: 4363 / Basemark OS II 2.0: 4281Basemark X: 43637,"Contrast ratio: Infinite (1313), 3.597 (sunlight)",Photo / Video,Voice 68dB / Noise 74dB / Ring 82dB,Noise -93.1dB / Crosstalk -64.5dB,Endurance rating 96h,Yes,Fast battery charging 5V/4.5A 22.5W (55% in 30 min) - for Global market Fast battery charging 9V/2A 18W - India only,Yes,,,,,,"48 MP, f/1.8, 1/2"", 0.8µm, PDAF TOF 3D stereo camera",Yes,"Front glass, aluminum frame",,,,,,,,,,,
honor,Honor Magic 2 3D,https://cdn2.gsmarena.com/vv/bigpic/honor-magic-2-3d.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",157.3 x 75.1 x 8.3 mm (6.19 x 2.96 x 0.33 in),206 g (7.27 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~84.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie); EMUI 9 or Magic UI 2,HiSilicon Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),No,"128/256/512 GB, 8 GB RAM, 128 GB, 6 GB RAM",,"2160p@30fps, 1080p@30fps, 720p@480fps",,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Face ID, fingerprint (under display), accelerometer, gyro, proximity, compass",Graphene-based heatpipe,,"Gradient Black, Gradient Red, Gradient Blue",About 500 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 12(700), 17(700), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps",Mali-G76 MP10,"LED flash, panorama, HDR",Non-removable Li-Po 3500 mAh battery,HDR,,,,,,,,,Fast battery charging 10V/4A 40W: 50% in 15min; 85% in 30min,Yes,,,,,,"Mechanical pop-up 16 MP, f/2.0 Mechanical pop-up 3D TOF camera Mechanical pop-up 2 MP, f/2.4, depth sensor",,,,,,,,,,,,"16 MP, f/1.8, PDAF 16 MP, f/2.2 24 MP B/W, f/1.8",
honor,Honor Magic 2,https://cdn2.gsmarena.com/vv/bigpic/honor-magic-2-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, November",157.3 x 75.1 x 8.3 mm (6.19 x 2.96 x 0.33 in),206 g (7.27 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~84.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie); EMUI 9 or Magic UI 2,HiSilicon Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),No,"128/256 GB, 8 GB RAM, 128 GB, 6 GB RAM",,"2160p@30fps, 1080p@30fps, 720p@480fps",,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Face ID, fingerprint (under display), accelerometer, gyro, proximity, compass",100% DCI-P3,,"Gradient Black, Gradient Red, Gradient Blue",About 550 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 12(700), 17(700), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps",Mali-G76 MP10,"LED flash, panorama, HDR",Non-removable Li-Po 3500 mAh battery,HDR,,Basemark OS II: 4212 / Basemark OS II 2.0: 4106Basemark X: 43562,"Contrast ratio: Infinite (nominal), 4.010 (sunlight)",Photo / Video,Voice 72dB / Noise 73dB / Ring 85dB,Noise -93.4dB / Crosstalk -61.3dB,Endurance rating 89h,,Fast battery charging 10V/4A 40W: 50% in 15min; 85% in 30min,Yes,,,,,,"Mechanical pop-up 16 MP, f/2.0 Mechanical pop-up 2 MP, f/2.4, depth sensor Mechanical pop-up 2 MP, f/2.4, depth sensor",,,,,,,,,,,,"16 MP, f/1.8, PDAF 16 MP, f/2.2 24 MP B/W, f/1.8",
honor,Honor Play 8A,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-play-8a.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2019, January","Available. Released 2019, January",156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"LCD capacitive touchscreen, 16M colors","6.01 inches, 90.6 cm2 (~78.8% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~283 ppi density)",Android 9.0 (Pie); EMUI 9,Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"microSD, up to 512 GB (dedicated slot)","32/64 GB, 3 GB RAM","13 MP, f/1.8, PDAF",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Po 3020 mAh battery,,"Black, Blue, Gold, Red",About 100 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA, LTE-A",PowerVR GE8320,"LED flash, HDR, panorama",,HDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,Honor 10 Lite,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-10-lite.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),Yes,Yes,"2018, November","Available. Released 2018, November",154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),162 g (5.71 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)",Android 9.0 (Pie); EMUI 9,Hisilicon Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"microSD, up to 512 GB (uses SIM 2 slot)","64/128 GB, 6 GB RAM or 64 GB, 3/4 GB RAM or 32 GB, 3 GB RAM","24 MP, f/2.0, 26mm (wide), 0.9µm",1080p@30/60fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot - GlobalWi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot - China","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 3400 mAh battery,,"Midnight Black, Sky Blue, Sapphire Blue, White, Red",About 210 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-G51 MP4,"LED flash, HDR, panorama",,HDR,,,"Contrast ratio: 1282 (nominal), 2.497 (sunlight)",Photo / Video,Voice 70dB / Noise 73dB / Ring 87dB,Noise -90.2dB / Crosstalk -82.7dB,Endurance rating 89h,,Fast battery charging 5V/2A 10W,Yes (market dependent),,,,,,"13 MP, f/1.8, 26mm (wide), PDAF 2 MP, f/2.4, depth sensor",,,,,,,,,,,,,
honor,Honor 8C,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8c.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",157.2 x 76 x 0 mm (6.19 x 2.99 x 0.0 in),167 g (5.89 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~81.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 8.1 (Oreo); EMUI 8.2,Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),"microSD, up to 256 GB (dedicated slot)","32/64 GB, 4 GB RAM","8 MP, f/2.0",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",Active noise cancellation with dedicated mic,,"Midnight Black, Aurora Blue, Platinum Gold",About 170 EUR,HSDPA 850 / 900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 506,"LED flash, HDR, panorama",Non-removable Li-Po 4000 mAh battery,,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,"13 MP, f/1.8, PDAF 2 MP, f/2.4, depth sensor",,,,,,,,,,,,,
honor,Honor 8X,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8x.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, September","Available. Released 2018, September",160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in),175 g (6.17 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.2 cm2 (~84.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~397 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); EMUI 9.0",Hisilicon Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"microSD, up to 400 GB (dedicated slot)","64/128 GB, 6 GB RAM or 64/128 GB, 4 GB RAM","16 MP, f/2.0, 26 mm (wide)","1080p@30/60fps, 480fps, stereo sound rec.",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic,,"Black, Blue, Red, Pink",About 270 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE-A",Mali-G51 MP4,"LED flash, panorama, HDR",Non-removable Li-Po 3750 mAh battery,HDR,,Basemark OS II: 2493 / Basemark OS II 2.0: 2341Basemark X: 20416,"Contrast ratio: 1234:1 (nominal), 3.113 (sunlight)",Photo / Video,Voice 67dB / Noise 72dB / Ring 81dB,Noise -92.3dB / Crosstalk -80.7dB,Endurance rating 96h,Corning Gorilla Glass 3,Fast battery charging 5V/2A 10W,Yes (JSN-L21 only),0.72 W/kg (head),,,,,"20 MP, f/1.8, 27 mm (wide), PDAF 2 MP, depth sensor",,"Front/back glass, aluminum frame",,,,,,,,,,,
honor,Honor 8X Max,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8x-max.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, September","Available. Released 2018, September",177.6 x 86.3 x 8.1 mm (6.99 x 3.40 x 0.32 in),210 g (7.41 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","7.12 inches, 127.8 cm2 (~83.4% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~350 ppi density)",Android 8.1 (Oreo); EMUI 8.2,Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,"microSD, up to 256 GB (dedicated slot)","64/128 GB, 4 GB RAM or 64 GB, 6 GB RAM","8 MP, f/2.0",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic Dolby Atmos sound,,"Black, Blue, Red",About 250 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps",Adreno 509,"LED flash, panorama, HDR",Non-removable Li-Po 5000 mAh battery,HDR,,,,,,,,,Fast battery charging 9V/2A 18W,,,,,,,"16 MP, f/2.0, PDAF 2 MP, f/2.4, depth sensor",,,,,,,,,,,,,
honor,Honor Note 10,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-note10-cn.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, July","Available. Released 2018, August",177 x 85 x 7.7 mm (6.97 x 3.35 x 0.30 in),230 g (8.11 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800,"AMOLED capacitive touchscreen, 16M colors","6.95 inches, 122.6 cm2 (~81.5% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~355 ppi density)",Android 8.1 (Oreo); EMUI 8.2,Hisilicon Kirin 970 (10 nm),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"microSD, up to 256 GB (uses SIM 2 slot)","128 GB, 6/8 GB RAM or 64 GB, 6 GB RAM","13 MP, f/2.0","2160p@30fps, 1080p@30fps (gyro-EIS)",,1080p@30fps,"Yes, with dual speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",CDMA2000 1xEV-DO / TD-SCDMA,,"Midnight Black, Phantom Blue",About 400 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat16 1024/150 Mbps",Mali-G72 MP12,"LED flash, HDR, panorama",Non-removable Li-Po 5000 mAh battery,,,,,,,,,,Fast battery charging 4.5V/5A 22.5W,Yes,,,,,,"16 MP, f/1.8, PDAF 24 MP B/W, f/1.8, PDAF",,"Front/back glass, aluminum frame",,,,,,,,,,,
