Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
hp,HP Elite x3,https://cdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, February","Available. Released 2016, August",161.8 x 83.5 x 7.8 mm (6.37 x 3.29 x 0.31 in),195 g (6.88 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant,"Capacitive touchscreen, 16M colors","5.96 inches, 97.5 cm2 (~72.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~494 ppi density)",Microsoft Windows 10,Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"microSD, up to 512 GB (uses SIM 2 slot) - dual SIM model only","64 GB, 4 GB RAM","16 MP, AF, f/2.2",1080p@30fps,8 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"3.0, Type-C 1.0 reversible connector; magnetic connector","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Bang & Olufsen audio Active noise cancellation with dedicated mic,,Black,About 700 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 530,"LED flash, HDR, panorama",Non-removable Li-Po 4150 mAh battery,,,,,,,,,Corning Gorilla Glass 4,Qi/PMA wireless charging,Yes,,,,,,,,,,,,,,,,,,,
hp,HP Slate 17,https://cdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg,No cellular connectivity,N/A,No,No,"2014, September","Available. Released 2014, September",418.1 x 283.2 x 15.8 mm (16.46 x 11.15 x 0.62 in),2005 g (4.42 lb),No,Built-in 2 kickstands,"IPS LCD capacitive touchscreen, 16M colors","17.3 inches, 825.1 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~127 ppi density)",Android 4.4.2 (KitKat),Intel Celeron N2807,Dual-core 1.58 GHz,"microSD, up to 32 GB (dedicated slot); SD cards","32 GB, 2 GB RAM",0.9 MP,720p@30fps,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct","4.0, A2DP",No,No,USB 2.0,Accelerometer,No,Up to 7 h 45 min (multimedia),"Snow White, Sweet Yellow",About 370 EUR,,,,,,"Non-removable Li-Po battery (43 Wh, 3-cell)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp,HP Pro Slate 12,https://cdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, January. Released 2015, January",Discontinued,300.3 x 222 x 8 mm (11.82 x 8.74 x 0.31 in),850 g (1.87 lb),Nano-SIM,HP Duet Pen,"IPS LCD capacitive touchscreen, 16M colors","12.3 inches, 468.5 cm2 (~70.3% screen-to-body ratio)","1200 x 1600 pixels, 4:3 ratio (~163 ppi density)",Android 4.4.4 (KitKat),Qualcomm Snapdragon 800 (28 nm),Quad-core 2.3 GHz Krait 400,"microSD, up to 32 GB (dedicated slot)","32 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass, barometer",DTS Sound+,Up to 10 h (multimedia),Silver,About 490 EUR,HSDPA 2100,,HSPA,Adreno 330,HDR,Non-removable Li-Po battery (21 Wh),,,,,,,,,Corning Concore Glass,,Yes,,,,,,,,,,,,,,,,,,,
hp,HP Pro Slate 10 EE G1,https://cdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg,No cellular connectivity,N/A,No,No,"2015, January","Available. Released 2015, January",280 x 182 x 14.4 mm (11.02 x 7.17 x 0.57 in),855 g (1.88 lb),No,Optional mobile dock with standard QWERTY keyboard and trackpad,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~58.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 4.4.4 (KitKat),Intel Atom Z3735G,Quad-core 1.33 GHz,"microSD, up to 32 GB (dedicated slot)","16/32 GB, 1/2 GB RAM","5 MP, AF or 2 MP, AF",Yes,2 MP or 1.3 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",Yes,No,microUSB 2.0,"Accelerometer, compass",DTS Sound+,,Black,About 240 EUR,,,,,,Non-removable Li-Ion 8380 mAh battery (28.5 Wh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp,HP Pro Slate 8,https://cdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, January","Available. Released 2015, January",207 x 137 x 8 mm (8.15 x 5.39 x 0.31 in),350 g (12.35 oz),Nano-SIM,HP Duet Pen,"IPS LCD capacitive touchscreen, 16M colors","7.86 inches, 191.3 cm2 (~67.5% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~326 ppi density)",Android 4.4.4 (KitKat),Qualcomm Snapdragon 800 (28 nm),Quad-core 2.3 GHz Krait 400,"microSD, up to 32 GB (dedicated slot)","16/32 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass, barometer",DTS Sound+,,Gray,About 390 EUR,HSDPA 2100,,HSPA,Adreno 330,HDR,Non-removable Li-Po 5900 mAh battery (21 Wh),,,,,,,,,Corning Gorilla Glass 4,,Yes,,,,,,,,,,,,,,,,,,,
hp,HP Slate6 VoiceTab II,https://cdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, November","Available. Released 2014, November",165.1 x 83.2 x 9 mm (6.5 x 3.28 x 0.35 in),160 g (5.64 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",DTS: X Surround Sound,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~72.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.2 (KitKat),Marvell PXA1088,Quad-core 1.2 GHz,"microSD, up to 64 GB","16 GB, 1 GB RAM","8 MP, AF",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 3000 mAh battery,Up to 13 h 30 min (2G) / Up to 10 h 30 min (3G),Silver,About 200 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,,LED flash,,,Up to 750 h (2G) / Up to 750 h (3G),,,,,,,,,,0.54 W/kg (head)     0.28 W/kg (body),,0.15 W/kg (head)     0.53 W/kg (body),,,,,,,,,,,,,,,,
hp,HP 10 Plus,https://cdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg,No cellular connectivity,N/A,No,No,2014,Available. Released 2014,265 x 175 x 9.5 mm (10.43 x 6.89 x 0.37 in),660 g (1.46 lb),No,Non-removable Li-Po 7700 mAh battery (28 Wh),"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.8% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.4.2 (KitKat),,Quad-core 1.0 GHz,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","5 MP, AF",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,"microUSB 2.0, USB Host","Accelerometer, gyro",,Up to 6 h (multimedia),Black/Silver,,,,,,HDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp,HP 7 VoiceTab,https://cdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, October","Available. Released 2014, October",192.1 x 102.2 x 10.2 mm (7.56 x 4.02 x 0.40 in),305 g (10.76 oz),Micro-SIM,Non-removable Li-Ion 3000 mAh battery,"TFT capacitive touchscreen, 16M colors","6.95 inches, 135.9 cm2 (~69.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~171 ppi density)",Android 4.4.2 (KitKat),Mediatek MT8382 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM",5 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,Black/White,About 140 EUR,HSDPA,,HSPA,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp,HP 7 Plus,https://cdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg,No cellular connectivity,N/A,No,No,"2014, May","Available. Released 2014, May",192.5 x 121.9 x 8.1 mm (7.58 x 4.80 x 0.32 in),294.8 g (10.37 oz),No,Non-removable Li-Po 2800 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~58.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.2.2 (Jelly Bean),Allwinner A31,Quad-core 1.0 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM",2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,,No,No,microUSB 2.0,Accelerometer,,Up to 5 h 30 min (multimedia),Silver,About 70 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp,HP 8,https://cdn2.gsmarena.com/vv/bigpic/hp-8.jpg,No cellular connectivity,N/A,No,No,"2014, February","Available. Released 2014, March",200.3 x 136.3 x 8 mm (7.89 x 5.37 x 0.31 in),313 g (11.04 oz),No,Non-removable Li-Po 3800 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","7.85 inches, 190.8 cm2 (~69.9% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~163 ppi density)",Android 4.2.2 (Jelly Bean),Allwinner A31,Quad-core 1.0 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",2 MP,Yes,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0,"Accelerometer, gyro",,Up to 7 h (multimedia),Silver,About 120 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
