Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
htc,HTC Desire 12s,https://cdn2.gsmarena.com/vv/bigpic/htc-desire-12s-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~74.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.1 (Oreo),Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","13 MP, f/2.0, PDAF",1080p@30fps,"13 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",To be confirmed,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3075 mAh battery,,"Black, Silver, Red",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 505,"LED flash, HDR, panorama",,LED flash,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
htc,HTC Exodus 1,https://cdn2.gsmarena.com/vv/bigpic/htc-exodus-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, December",156.6 x 73.9 x 8.7 mm (6.17 x 2.91 x 0.34 in),-,"Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water proof (up to 1.5m for 30 mins),"Super LCD6 capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~80.3% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~537 ppi density)",Android 8.1 (Oreo),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),No,"128 GB, 6 GB RAM",,"2160p@60fps, 1080p@60/240fps, 1080p@30fps (gyro-EIS), HDR, 24-bit/96kHz stereo sound rec.",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",32-bit/384kHz audio Active noise cancellation with dedicated mic,,Black,About BTC 0.15/ETH 4.78(crypto curr),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 4(1700/2100), 12(700), 17(700), 28(700), 20(800), 5(850), 8(900), 3(1800), 1(2100), 7(2600), 32(1500), 2(1900), 13(700), 66(1700/2100), 39(1900), 40(2300), 38(2600), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps",Adreno 630,"Dual-LED dual-tone flash, HDR",Non-removable Li-Ion 3500 mAh battery,"HDR, panorama",,,,,,,,,Fast battery charging 18W: 50% in 35 min (Quick Charge 3.0),,,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, OIS, dual pixel PDAF & laser AF, OIS 16 MP (12 MP effective), f/2.6, 1.0µm, 2x optical zoom, AF",,,,,,,,,,,,,"8 MP, f/2.0, 1/4"", 1.12µm 8 MP, f/2.0, 1/4"", 1.12µm"
htc,HTC U12 life,https://cdn2.gsmarena.com/vv/bigpic/htc-u12-life.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),Yes,Yes,"2018, August","Available. Released 2018, September",158.5 x 75.4 x 8.3 mm (6.24 x 2.97 x 0.33 in),175 g (6.17 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"Capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~77.7% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.1 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,"microSD, up to 512 GB (uses SIM 2 slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","13 MP, f/2.0","2160p@30fps, 1080p@30fps",,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3600 mAh battery,,"Moonlight Blue, Twilight Purple",About 300 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 32(1500), 38(2600), 40(2300), 66(1700/2100)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps",Adreno 509,"Dual-LED flash, HDR, panorama",,"LED flash, HDR, panorama",,,,,,,,,Fast battery charging 5V/2A 10W,Yes,,,,,,"16 MP, f/2.0, PDAF 5 MP, depth sensor",,Plastic body,,,,,,,,,,,
htc,HTC U12+,https://cdn2.gsmarena.com/vv/bigpic/htc-u12-plus-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, May","Available. Released 2018, June",156.6 x 73.9 x 8.7 mm (6.17 x 2.91 x 0.34 in),188 g (6.63 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water proof (up to 1.5m for 30 mins) Pressure-sensitive buttons,"Super LCD6 capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~80.3% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~537 ppi density)","Android 8.0 (Oreo), planned upgrade to Android 9.0 (Pie); Sense UI",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"microSD, up to 512 GB (uses SIM 2 slot)","64/128 GB, 6 GB RAM",,"2160p@60fps, 1080p@60/240fps, 1080p@30fps (gyro-EIS), HDR, 24-bit/96kHz stereo sound rec.",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",DCI-P3 HDR10,Up to 24 h (3G),"Translucent Blue, Ceramic Black, Flame Red",About 650 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 28(700), 32(1500), 38(2600), 39(1900), 49, 41(2500), 66(1700/2100)","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps",Adreno 630,"Dual-LED dual-tone flash, HDR",Non-removable Li-Ion 3500 mAh battery,"HDR, panorama",,Basemark OS II: 4844 / Basemark OS II 2.0: 4300Basemark X: 44390,"Contrast ratio: 1818:1 (nominal), 3.085 (sunlight)",Photo / Video,Voice 77dB / Noise 73dB / Ring 99dB,Noise -93.7dB / Crosstalk -52.7dB,Endurance rating 64h,Corning Gorilla Glass 3,Fast battery charging 18W: 50% in 35 min (Quick Charge 3.0),Yes,,,,,,"12 MP, f/1.8, 1/2.55"", 1.4µm, OIS, dual pixel PDAF & laser AF, OIS 16 MP (12 MP effective), f/2.6, 1.0µm, 2x optical zoom, AF",,Front/back glass & aluminum frame,,,,,,,,,,,"8 MP, f/2.0, 1/4"", 1.12µm 8 MP, f/2.0, 1/4"", 1.12µm"
htc,HTC Desire 12+,https://cdn2.gsmarena.com/vv/bigpic/htc-desire-12-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, March","Available. Released 2018, May",158.2 x 76.6 x 8.4 mm (6.23 x 3.02 x 0.33 in),157.5 g (5.57 oz),"Dual SIM (Nano-SIM, dual stand-by)","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~76.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.0 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,"microSD, up to 512 GB (uses SIM 2 slot)","32 GB, 3 GB RAM","8 MP, f/2.0",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",To be confirmed,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Active noise cancellation with dedicated mic,Up to 26 h (3G),"Black, Silver, Gold",About 250 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 506,"LED flash, HDR, panorama",Non-removable Li-Ion 2965 mAh battery,,Up to 522 h (3G),,,,,,,,,,,,,,,"13 MP, f/2.2, PDAF 2 MP, depth sensor",,,,,,,,,,,,,
htc,HTC Desire 12,https://cdn2.gsmarena.com/vv/bigpic/htc-desire-12.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, March","Available. Released 2018, May",148.5 x 70.8 x 8.2 mm (5.85 x 2.79 x 0.32 in),137 g (4.83 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 28(700) - USA","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~74.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 7.x (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot)","32 GB, 3 RAM or 16 GB, 2 GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.4, 1/5"" 1.12µm",720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",To be confirmed,microUSB 2.0,"Accelerometer, proximity, compass",Active noise cancellation with dedicated mic,,"Cool Black, Warm Silver",About 130 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - Global","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,"LED flash, HDR, panorama",Non-removable Li-Ion 2730 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htc,HTC U11 Eyes,https://cdn2.gsmarena.com/vv/bigpic/htc-u11-eyes-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, January","Available. Released 2018, January",157.9 x 75 x 8.5 mm (6.22 x 2.95 x 0.33 in),185 g (6.53 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP67 dust/water resistant (up to 1m for 30 mins),"Super LCD3 capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.0 (Oreo); Sense UI,Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core,"microSD, up to 512 GB (uses SIM 2 slot)","64 GB, 4 GB RAM","12 MP, f/1.7, 1.4 μm, OIS, PDAF","2160p@30fps, 1080p@120fps",,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, DLNA, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",24-bit/192kHz audio Active noise cancellation with dedicated mic,,"Black, Red, Blue",About 400 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 32(1500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 510,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3930 mAh battery,,,,,,,,,Corning Gorilla Glass 3,Fast battery charging 18W (Quick Charge 3.0),Yes,,,,,,"5 MP, f/2.2 5 MP",,,,,,,,,,,,,
htc,HTC U11+,https://cdn2.gsmarena.com/vv/bigpic/htc-u11-plus-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, November","Available. Released 2017, December",158.5 x 74.9 x 8.5 mm (6.24 x 2.95 x 0.33 in),188 g (6.63 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water proof (up to 1.5m for 30 mins),"Super LCD6 capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.3% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~537 ppi density)",Android 8.0 (Oreo); Sense UI,Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),"microSD, up to 512 GB (uses SIM 2 slot) - dual SIM model only","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","12 MP, f/1.7, 1/2.55"", 1.4µm, OIS, dual pixel PDAF","2160p@30fps, 1080p@30/60/120fps, HDR, 24-bit/192kHz stereo sound rec.","8 MP, f/2.0",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, BDS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",24-bit/192kHz audio Active noise cancellation with dedicated mic,Up to 25 h (3G),"Translucent Black, Ceramic Black, Amazing Silver",About 660 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat15 800/150 Mbps",Adreno 540,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3930 mAh battery,"HDR, panorama",,Basemark OS II: 3954 / Basemark OS II 2.0: 3257Basemark X: 38315,"Contrast ratio: 1626:1 (nominal), 2.556 (sunlight)",Photo / Video,Voice 91dB / Noise 75dB / Ring 90dB,Noise -93.9dB / Crosstalk -94.0dB,Endurance rating 73h,Corning Gorilla Glass 5,Fast battery charging 18W (Quick Charge 3.0),Yes,,,,,,,,Front/back glass & aluminum frame,,,,,,,,,,,
htc,HTC U11 Life,https://cdn2.gsmarena.com/vv/bigpic/htc-u11-life-r1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, November","Available. Released 2017, December",149.1 x 72.9 x 8.1 mm (5.87 x 2.87 x 0.32 in),142 g (5.01 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP67 dust/water resistant (up to 1m for 30 mins),"Super LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); Android One",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot) - single-SIM modelmicroSD, up to 512 GB (uses SIM 2 slot) - dual-SIM model","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","16 MP, PDAF, f/2.0","2160p@30fps, 1080p@30fps","16 MP, f/2.0",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",24-bit/192kHz audio Active noise cancellation with dedicated mic,Up to 17 h (3G),"Brilliant Black, Sapphire Blue, Ice White",About 210 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 20(800), 28(700), 66(1700/2100)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps",Adreno 508,"LED flash, HDR, panorama",Non-removable Li-Ion 2600 mAh battery,"HDR, panorama",Up to 670 h (3G),Basemark OS II: 1461 / Basemark OS II 2.0: 1342Basemark X: 14286,"Contrast ratio: 1529:1 (nominal), 3.108 (sunlight)",Photo / Video,Voice 70dB / Noise 75dB / Ring 88dB,,Endurance rating 73h,Corning Gorilla Glass 3,,Yes,,,,,,,,Plastic body,,,,,,,,,,,
htc,HTC U11,https://cdn2.gsmarena.com/vv/bigpic/htc-u11.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, May","Available. Released 2017, June",153.9 x 75.9 x 7.9 mm (6.06 x 2.99 x 0.31 in),169 g (5.96 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP67 dust/water resistant (up to 1m for 30 mins),"Super LCD5 capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","Android 7.1 (Nougat), upgradable to Android 8.0 (Oreo); Sense UI",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),"microSD, up to 512 GB (uses SIM 2 slot) - dual SIM model only","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","12 MP, f/1.7, 1/2.55"", 1.4µm, dual pixel PDAF, 5-axis OIS","2160p@30fps, 1080p@30/60/120fps, HDR, 24-bit/192kHz stereo sound rec.","16 MP, f/2.0",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.2, A2DP, LE (5.0 after SW update)","Yes, with A-GPS, GLONASS, BDS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",24-bit/192kHz audio Active noise cancellation with dedicated mic,Up to 24 h 30 min (3G),"Amazing Silver, Sapphire Blue, Brilliant Black, Ice White, Solar Red",About 370 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/75 Mbps",Adreno 540,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3000 mAh battery,,Up to 336 h (3G),Basemark OS II: 3877 / Basemark OS II 2.0: 2970Basemark X: 38399,,Photo / Video,Voice 68dB / Noise 73dB / Ring 79dB,Noise -94.1 / Crosstalk -94.5,Endurance rating 73h,Corning Gorilla Glass 5,Fast battery charging 18W (Quick Charge 3.0),Yes,,,,,,,,"Front/back glass, aluminum frame",,,,,,,,,,,
