Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
huawei,Huawei P30 Pro,https://cdn2.gsmarena.com/vv/bigpic/huawei-p30-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2019, March","Available. Released 2019, March",158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in),192 g (6.77 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"OLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm2 (~88.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",Android 9.0 (Pie); EMUI 9.1,HiSilicon Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"NM (Nano Memory), up to 256GB (uses SIM 2)","128/256/512 GB, 8 GB RAM or 128 GB, 6 GB RAM","32 MP, f/2.0, (wide)","2160p@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps",,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, color spectrum","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 66(1700/2100)",,"Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White",About 880 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps",Mali-G76 MP10,"Leica optics, dual-LED dual-tone flash, panorama, HDR",Non-removable Li-Po 4200 mAh battery,HDR,,Basemark OS II: 4654 / Basemark OS II 2.0: 4675Basemark X: 45889,"Contrast ratio: Infinite (nominal), 5.119 (sunlight)",Photo / Video,Voice 70dB / Noise 73dB / Ring 90dB,Noise -90.5dB / Crosstalk -93.0dB,Endurance rating 100h,,Fast battery charging 40W (70% in 30 min) Fast wireless charging 15W Power bank/Reverse wireless charging,Yes,,,,,,,Yes,"Front/back glass, aluminum frame",,,,,,,,,,,,"40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS 20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF Periscope 8 MP, f/3.4, 125mm (telephoto), 1/4"", 5x optical zoom, OIS, PDAF TOF 3D camera"
huawei,Huawei P30,https://cdn2.gsmarena.com/vv/bigpic/huawei-p30.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2019, March","Available. Released 2019, March",149.1 x 71.4 x 7.6 mm (5.87 x 2.81 x 0.30 in),165 g (5.82 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP53 dust and splash protection,"OLED capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm2 (~85.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)",Android 9.0 (Pie); EMUI 9.1,HiSilicon Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"NM (Nano Memory), up to 256GB (uses SIM 2)","64/128/256 GB, 8 GB RAM or 128 GB, 6 GB RAM","32 MP, f/2.0, (wide)","2160p@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, color spectrum",HDR10 DCI-P3,,"Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White",About 680 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps",Mali-G76 MP10,"Leica optics, dual-LED dual-tone flash, panorama, HDR",Non-removable Li-Po 3650 mAh battery,HDR,,,,,,,,,Fast battery charging 22.5W,Yes,,,,,,,,,,,,,,,,,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF/Laser AF 16 MP, f/2.2, 17mm (ultrawide), PDAF/Laser AF 8 MP, f/2.4, 80mm (telephoto), 1/4"", 3x optical zoom, PDAF/Laser AF, OIS",,
huawei,Huawei P30 lite,https://cdn2.gsmarena.com/vv/bigpic/huawei-p30-lite-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2019, March","Coming soon. Exp. release 2019, April 4",152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),159 g (5.61 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Canada,"IPS LCD capacitive touchscreen, 16M colors","6.15 inches, 93.6 cm2 (~84.2% screen-to-body ratio)",1080 x 2312 pixels (~415 ppi density),"Android 9.0 (Pie), EMUI 9.0",Hisilicon Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"microSD, up to 512 GB (uses SIM 2 slot)","128 GB, 6 GB RAM","32 MP, f/2.0",1080p@30fps (gyro-EIS),,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 28(700), 66(1700/2100) - Canada",,"Peacock Blue, Midnight Black, Pearl White",About 290 EUR,HSDPA 850 / 900 / 1900 / 2100 - Global,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - Global","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps",Mali-G51 MP4,"LED flash, HDR, panorama",Non-removable Li-Po 3340 mAh battery,HDR,,,,,,,,,Fast battery charging 18W,Yes (market/region dependent) - Canada,,,,,,,,,,,,,,,,,,"24 MP, f/1.8, (wide), PDAF 8 MP, 13mm (ultrawide) 2 MP, f/2.4, depth sensor",,
huawei,Huawei nova 4e,https://cdn2.gsmarena.com/vv/bigpic/huawei-nova-4e-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),159 g (5.61 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.15 inches, 93.6 cm2 (~84.2% screen-to-body ratio)",1080 x 2312 pixels (~415 ppi density),"Android 9.0 (Pie), EMUI 9.0",Hisilicon Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"microSD, up to 512 GB (uses SIM 2 slot)","128 GB, 4/6 GB RAM","32 MP, f/2.0",1080p@30fps (gyro-EIS),,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS",,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3340 mAh battery,,"Peacock Blue, Midnight Black, Pearl White",About 270 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps",Mali-G51 MP4,"LED flash, HDR, panorama",,HDR,,,,,,,,,Fast battery charging 18W,,,,,,,,,,,,,,,,,,,"24 MP, f/1.8, (wide), PDAF 8 MP, 13mm (ultrawide) 2 MP, f/2.4, depth sensor",,
huawei,Huawei Enjoy 9e,https://cdn2.gsmarena.com/vv/bigpic/huawei-y6-2019-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Coming soon. Exp. release 2019, April 8",156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 90.4 cm2 (~78.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~283 ppi density)",Android 9.0 (Pie); EMUI 9,Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"microSD, up to 512 GB (dedicated slot)","32/64 GB, 3 GB RAM","13 MP, f/1.8, PDAF",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM Radio, built-in antenna",microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Active noise cancellation with dedicated mic,,"Midnight Black, Sapphire Blue, Gold",About 120 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",PowerVR GE8320,"LED flash, HDR, panorama",Non-removable Li-Po 3020 mAh battery,LED flash,,,,,,,,,,,,,,,,,,"Front glass, plastic body",,,,,,,,,,,,
huawei,Huawei Enjoy 9s,https://cdn2.gsmarena.com/vv/bigpic/huawei-p-smart-plus-2019-starlight-blue.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)",Android 9.0 (Pie); EMUI 9,Hisilicon Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"microSD, up to 512 GB (uses SIM 2 slot)","64/128 GB, 4 GB RAM",8 MP,1080p@30/60fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic,,"Starlight Blue, Midnight Black, Red",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps",Mali-G51 MP4,"LED flash, HDR, panorama",Non-removable Li-Po 3400 mAh battery,HDR,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,,,,,,,,,,,,,"24 MP, PDAF 16 MP, (ultrawide) 2 MP, depth sensor",,
huawei,Huawei Y Max,https://cdn2.gsmarena.com/vv/bigpic/huawei-y-max-ars-l22.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, November","Available. Released 2018, December",177.6 x 86.2 x 8.5 mm (6.99 x 3.39 x 0.33 in),210 g (7.41 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic Dolby Atmos sound,"IPS LCD capacitive touchscreen, 16M colors","7.12 inches, 127.8 cm2 (~83.5% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~350 ppi density)",Android 8.1 (Oreo); EMUI 8.2,Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 256 GB (dedicated slot)","128 GB, 4 GB RAM","8 MP, f/2.0",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,,"Midnight Black, White, Amber Brown",About 280 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 512,"LED flash, HDR, panorama",,HDR,,,,,,,,,,,,,,,,"16 MP, f/2.0, PDAF 2 MP, f/2.4, depth sensor",,,,,,,,,,,,,,
huawei,Huawei Mate X,https://cdn2.gsmarena.com/vv/bigpic/huawei-mate-x-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q2",Unfolded: 161.3 x 146.2 x 5.4 mmFolded: 161.3 x 78.3 x 11 mm,295 g (10.41 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",(5G capable),"OLED capacitive touchscreen, 16M colors","8.0 inches, 205.0 cm2 (~86.9% screen-to-body ratio)",2200 x 2480 pixels (~414 ppi density),Android 9.0 (Pie); EMUI 9.1,HiSilicon Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"NM (Nano Memory), up to 256GB (uses SIM 2)","512 GB, 8 GB RAM",,"2160p@30fps, 1080p@30fps",,,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Folded cover display: 6.6"", AMOLED, 1148 x 2480 pixels (19.5:9)",,Interstellar Blue,About 2300 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps, 5G",Mali-G76 MP10,"Leica optics, dual-LED dual-tone flash, panorama, HDR",Non-removable Li-Po 4500 mAh battery,,,,,,,,,,Fast battery charging 55W Huawei SuperCharge (85% in 30 min),Yes,,,,,,,Yes,,,,,,,,,,,,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF 16 MP, f/2.2, 17mm (ultrawide) 8 MP, f/2.4, 52mm (telephoto) TOF camera"
huawei,Huawei Y6 Pro (2019),https://cdn2.gsmarena.com/vv/bigpic/huawei-y6-pro-2019-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Available. Released Exp. release 2019, February",156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",Android 9.0 (Pie); EMUI 9,Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, f/1.8, PDAF",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 3020 mAh battery,,"Midnight Black, Sapphire Blue",About 120 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",PowerVR GE8320,"LED flash, HDR, panorama",,LED flash,,,,,,,,,,,,,,,,,,"Front glass, plastic body",,,,,,,,,,,,
huawei,Huawei Y6 (2019),https://cdn2.gsmarena.com/vv/bigpic/huawei-y6-2019-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",Android 9.0 (Pie); EMUI 9,Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot)","32 GB, 2 GB RAM","13 MP, f/1.8, PDAF",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM Radio, built-in antenna",microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Ion 3020 mAh battery,,"Midnight Black, Sapphire Blue, Amber Brown",About 150 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",PowerVR GE8320,"LED flash, HDR, panorama",,LED flash,,,,,,,,,,,,,,,,,,"Front glass, plastic body",,,,,,,,,,,,
