Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
i_mate,i-mate 810-F,https://cdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 12,Class 12,"2009, February. Released 2009",Discontinued,111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in),150 g (5.29 oz),Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.46 inches, 18.7 cm2 (~25.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~163 ppi density)",Microsoft Windows Mobile 6.1 Professional,,624 MHz Marvell PXA310,No,"2 GB, 128 MB RAM, 256 MB ROM",2 MP,Yes,Yes,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP",Yes,No,Proprietary,"Accelerometer, compass",Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager,Up to 3 h 30 min,Blue,About 550 EUR,HSDPA 850 / 1900 / 2100,,HSPA 7.2/0.384 Mbps,,,Removable Li-Po 1200 mAh battery,,Up to 200 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (Internet Explorer Mobile 6)",QWERTY,,,,,,,,,,,,,,,
i_mate,i-mate Ultimate 9502,https://cdn2.gsmarena.com/vv/bigpic/ultimate-9502.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 12,Class 12,"2007, October. Released 2008, March",Discontinued,116 x 60 x 17.8 mm (4.57 x 2.36 x 0.70 in),200 g (7.05 oz),Mini-SIM,2.5 mm audio jack,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~34.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",Microsoft Windows Mobile 6.0 Professional,Qualcomm MSM7200,400 MHz ARM 11,microSD (dedicated slot),"128 MB RAM, 256 MB ROM","3.15 MP, AF",Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP",Yes,No,Proprietary,,"Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager TV-out i-mate GPRS Configurator(WAP, MMS)",Up to 4 h 20 min,Black,About 410 EUR,HSDPA 850 / 1900 / 2100,,HSPA,Adreno 130,LED flash,Removable Li-Po 1620 mAh battery,,Up to 180 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate Ultimate 8502,https://cdn2.gsmarena.com/vv/bigpic/ultimate-8502.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2007, October. Released 2008, September",Discontinued,116 x 55 x 15 mm (4.57 x 2.17 x 0.59 in),140 g (4.94 oz),Mini-SIM,No,"TFT resistive touchscreen, 256K colors (65K effective)","2.6 inches, 20.9 cm2 (~32.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~154 ppi density)",Microsoft Windows Mobile 6.0 Professional,Qualcomm MSM7200,400 MHz ARM 11,microSD (dedicated slot),"128 MB RAM, 256 MB ROM",2 MP,Yes,,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP",Yes,No,Proprietary,,2.5 mm audio jack,Up to 4 h 30 min,Black,About 200 EUR,HSDPA 850 / 1900 / 2100,,HSPA,Adreno 130,LED flash,Removable Li-Ion 1530 mAh battery,,Up to 180 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate JAMA 201,https://cdn2.gsmarena.com/vv/bigpic/imate-jama201.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2007, October. Released 2008, October",Discontinued,113 x 63 x 14 mm (4.45 x 2.48 x 0.55 in),152 g (5.36 oz),Mini-SIM,No,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~25.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Microsoft Windows Mobile 6.0 Professional,,SAMSUNG SC3 2442X 300MHz,microSD (dedicated slot),"64 MB RAM, 128 MB ROM","2 MP, AF",Yes,,,Yes,No,No,1.1,No,No,miniUSB 1.1,,Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager,Up to 4 h,Black,About 250 EUR,,,,,LED flash,Removable Li-Ion 1050 mAh battery,,Up to 150 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate JAMA 101,https://cdn2.gsmarena.com/vv/bigpic/imate-jama101.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2007, October",Cancelled,105 x 52.5 x 15.5 mm (4.13 x 2.07 x 0.61 in),110 g (3.63 oz),Mini-SIM,Handwriting recognition 4-way navigation pad,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Microsoft Windows Mobile 6.0 Professional,,SAMSUNG SC3 2442X 300MHz,microSD,"64 MB RAM, 128 MB ROM",2 MP,Yes,,,Yes,No,No,1.2,No,No,miniUSB 1.1,,No,Up to 4 h,Black,About 250 EUR,,,,,,Removable Li-Ion 1020 mAh battery,,Up to 150 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate JAMA,https://cdn2.gsmarena.com/vv/bigpic/imate-jama.gif,GSM,GSM 900 / 1800,Class 10,No,"2007, June",Discontinued,106 x 52.5 x 15.6 mm (4.17 x 2.07 x 0.61 in),110 g (3.88 oz),Mini-SIM,Handwriting recognition 4-way navigation pad,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~32.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,,Samsung SC3 2442X 300MHz,microSD (dedicated slot),"64 MB RAM, 128 MB ROM",2 MP,Yes,,,Yes,No,No,1.2,No,No,miniUSB 1.1,,No,Up to 4 h,Silver,About 200 EUR,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 150 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate Ultimate 9150,https://cdn2.gsmarena.com/vv/bigpic/imate-ultim9150.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2007, February",Cancelled,98 x 50 x 19 mm (3.86 x 1.97 x 0.75 in),,Mini-SIM,"Second OLED, 1.2 inches display Handwriting recognition","TFT resistive touchscreen, 256K colors (65K effective)","2.6 inches, 20.9 cm2 (~42.7% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~308 ppi density)",Microsoft Windows Mobile 6.0 Professional,,Intel Bulverde 520 MHz,microSD,"128 MB RAM, 256 MB ROM",2 MP,Yes,Yes,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,,Silver,About 410 EUR,HSDPA 850 / 1900 / 2100,,HSPA,,,Removable Li-Ion 1400 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate Ultimate 8150,https://cdn2.gsmarena.com/vv/bigpic/imate-ultim8150.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2007, February",Discontinued,118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),152 g (5.36 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 65K colors","2.6 inches, 20.9 cm2 (~29.2% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~308 ppi density)",Microsoft Windows Mobile 6.0 Professional,,Intel XScale PXA270 520 MHz,microSD (dedicated slot),"128 MB RAM, 256 MB ROM","2 MP, AF",Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,,Silver,About 260 EUR,HSDPA 850 / 1900 / 2100,,HSPA,,,Removable Li-Ion 1530 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate Ultimate 7150,https://cdn2.gsmarena.com/vv/bigpic/imate-ultim7150.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2007, February",Cancelled,110 x 74 x 18 mm (4.33 x 2.91 x 0.71 in),180 g (6.35 oz),Mini-SIM,"Second OLED, 2.2 inches display (128 x 128 pixels) Handwriting recognition","TFT resistive touchscreen, 256K colors (65K effective)","3.8 inches, 44.7 cm2 (~54.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~211 ppi density)",Microsoft Windows Mobile 6.0 Professional,,Intel Bulverde 520 MHz,microSD,"128 MB RAM, 256 MB ROM",2 MP,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,,Silver,About 300 EUR,HSDPA 850 / 1900 / 2100,,HSPA,,,Removable Li-Ion 1400 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate Ultimate 6150,https://cdn2.gsmarena.com/vv/bigpic/imate-ultim6150.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2007, February. Released 2008, January",Discontinued,118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),152 g (5.36 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~33.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",Microsoft Windows Mobile 6.0 Professional,,Intel Bulverde 520 MHz,microSD (dedicated slot),"128 MB RAM, 256 MB ROM",2 MP,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,,Silver,About 260 EUR,HSDPA 850 / 1900 / 2100,,HSPA,,,Removable Li-Ion 1530 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate Ultimate 5150,https://cdn2.gsmarena.com/vv/bigpic/imate-ultim5150.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2007, February",Cancelled,117 x 60.5 x 19.5 mm (4.61 x 2.38 x 0.77 in),,Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~34.3% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",Microsoft Windows Mobile 6.0 Professional,,Intel Bulverde 520 MHz,microSD,"128 MB RAM, 256 MB ROM",2 MP,Yes,Yes,,Yes,No,Wi-Fi 802.11 b/g/e/i,"2.0, A2DP",No,Stereo FM radio,miniUSB,,Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out,,Silver,About 300 EUR,HSDPA 850 / 1900 / 2100,,HSPA,,,Removable Li-Ion 1400 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
