Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
i_mobile,i-mobile i858,https://cdn2.gsmarena.com/vv/bigpic/i858.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,2010. Released 2010,Discontinued,120 x 67 x 12.8 mm (4.72 x 2.64 x 0.50 in),-,Mini-SIM,3D Widget UI,"TFT capacitive touchscreen, 256K colors","4.3 inches, 52.6 cm2 (~65.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Android 2.0 (Donut),,,"microSD, up to 16 GB (dedicated slot)",,"5 MP, AF",Yes,,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS",Stereo FM radio,Proprietary,Accelerometer,No,Up to 4 h 30 min,"Black, White",,HSDPA 2100,,HSPA,,,Removable Li-Ion 1500 mAh battery,,Up to 250 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,,,,,,,,,,,,
i_mobile,i-mobile 8500,https://cdn2.gsmarena.com/vv/bigpic/8500.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,2010. Released 2010,Discontinued,112 x 56.5 x 14.9 mm (4.41 x 2.22 x 0.59 in),-,Mini-SIM,Trackball,"TFT capacitive touchscreen, 256K colors","3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Android OS,,,"microSD, up to 16 GB (dedicated slot)","256 MB, 128 MB RAM",5 MP,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS",Stereo FM radio,Proprietary,Accelerometer,No,Up to 8 h,Silver,,HSDPA 2100,,HSPA,,,Removable Li-Ion 1500 mAh battery,,Up to 250 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,,,,,,,,,,,,
i_mobile,i-mobile 5230,https://cdn2.gsmarena.com/vv/bigpic/5230.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1,Class 12,Class 12,2010. Released 2010,Discontinued,116 x 58 x 14.4 mm (4.57 x 2.28 x 0.57 in),-,Dual SIM (Mini-SIM),GSM 900 / 1800 / 1900 - SIM 2,"TFT resistive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,,microSD (dedicated slot),48 MB,"5 MP, AF",176x144@15fps,,,Yes,Yes,No,"2.0, A2DP",No,Stereo FM radio,miniUSB 2.0,Accelerometer,No,Up to 7 h 30 min,Silver,,,,,,LED flash,Removable Li-Ion 1200 mAh battery,,Up to 400 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML",QWERTY,,,,"1000 entries, Photocall",Yes,"SMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,
i_mobile,i-mobile Hitz 2206,https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg,GSM,GSM 900 / 1800 - SIM 1,Class 10,No,2010. Released 2010,Discontinued,110 x 59.4 x 13.4 mm (4.33 x 2.34 x 0.53 in),-,Dual SIM (Mini-SIM),GSM 900 / 1800 - SIM 2,"TFT, 65K colors",,220 x 176 pixels,,,,microSD (dedicated slot),,Yes,No,,,Yes,No,No,No,No,Stereo FM radio,No,,Flashlight,Up to 4 h,Silver,,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 667 h,,,,,,,,,,,,,No,QWERTY,,,,"Yes, Photocall",Yes,"SMS, MMS",Yes,No,,,,,,,
i_mobile,i-mobile 5220,https://cdn2.gsmarena.com/vv/bigpic/5220.jpg,GSM,GSM 900 / 1800 / 1900,Class 10,Class 10,2010. Released 2010,Discontinued,116.5 x 52.5 x 13 mm (4.59 x 2.07 x 0.51 in),-,Mini-SIM,No,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~29.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,microSD (dedicated slot),,"5 MP, AF",Yes,,,Yes,No,No,"2.0, A2DP",No,Stereo FM radio,miniUSB,,TV tuner/recorder MP3/AAC player H.263 player Organizer Voice memo Predictive text input,Up to 8 h,"Black, White, Red",,,,,,LED flash,Removable Li-Ion 1100 mAh battery,,Up to 420 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"1000 entries, Photocall",Yes,"SMS, MMS, EMS",Yes,"Yes, MIDP 2.1",,,,,,,
i_mobile,i-mobile TV658 Touch&Move,https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz658.jpg,GSM,GSM 900 / 1800 / 1900,Class 10,Class 10,"2009, October. Released 2009, October",Discontinued,111 x 56 x 13 mm (4.37 x 2.20 x 0.51 in),,Dual SIM (Mini-SIM),No,"TFT touchscreen, 256K colors","3.0 inches, 25.6 cm2 (~41.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",,,,microSD (dedicated slot),,"8 MP, AF",Yes,,,Yes,No,No,"1.2, A2DP",No,"FM radio, built-in antenna",miniUSB,Accelerometer,TV tuner MP3 player MP4/3GP player Organizer Voice memo Predictive text input,Up to 4 h,Black,,,,,,flash,Removable Li-Ion 1050 mAh battery,,Up to 300 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"1000 entries, Photocall",Yes,"SMS, MMS, Email, Push Email",Yes,Yes,,,,,,,
i_mobile,i-mobile Hitz 212,https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz212.jpg,GSM,GSM 900 / 1800,No,No,"2009, October. Released 2009, October",Discontinued,105 x 46 x 13.3 mm (4.13 x 1.81 x 0.52 in),80 g (2.82 oz),Dual SIM (Mini-SIM),No,"TFT, 65K colors","1.77 inches, 9.9 cm2 (~20.4% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,,,"microSD, up to 1 GB (dedicated slot)",,CIF,No,,,Yes,No,No,Yes,No,FM radio,Proprietary,,MP3 player Organizer Voice memo Predictive text input,Up to 3 h,"Black-Green, Silver-Blue, Silver-Orange, Pink",,,,,,,Removable Li-Ion 750 mAh battery,,Up to 240 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"300 entries, Photocall",Yes,"SMS, EMS",Yes,,,,,,,,
i_mobile,i-mobile Hitz 210,https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz210.jpg,GSM,GSM 900 / 1800 / 1900,No,No,"2009, October. Released 2009, October",Discontinued,112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in),,Dual SIM (Mini-SIM),No,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,"microSD, up to 1 GB (dedicated slot)",,CIF,No,,,Yes,No,No,No,No,FM radio,Proprietary,,MP3 player Organizer Predictive text input,Up to 2 h 30 min,Black,,,,,,,Removable Li-Ion 700 mAh battery,,Up to 150 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"300 entries, Photocall",Yes,"SMS, EMS, MMS",Yes,,,,,,,,
i_mobile,i-mobile TV650 Touch,https://cdn2.gsmarena.com/vv/bigpic/i-mobile-tv650-touch.jpg,GSM,GSM 900 / 1800 / 1900,Class 10,Class 10,"2009, July. Released 2009, Q4",Discontinued,110 x 55 x 13.4 mm (4.33 x 2.17 x 0.53 in),,Dual SIM (Mini-SIM),No,"TFT touchscreen, 256K colors","3.0 inches, 27.9 cm2 (~46.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~133 ppi density)",,,,"microSD, up to 8 GB (dedicated slot)",,3.15 MP,Yes,,,Yes,No,No,"1.2, A2DP",No,FM radio,miniUSB,Accelerometer,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Up to 2 h 30 min,Black,,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 200 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,Yes,,,,,,,
i_mobile,i-mobile TV550 Touch,https://cdn2.gsmarena.com/vv/bigpic/i-mobile-tv550-touch.jpg,GSM,GSM 900 / 1800 / 1900,Class 10,Class 10,"2009, July. Released 2009, Q4",Discontinued,108 x 52 x 14 mm (4.25 x 2.05 x 0.55 in),,Dual SIM (Mini-SIM),No,"TFT touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~43.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,,"microSD, up to 8 GB (dedicated slot)",,VGA,Yes,,,Yes,No,No,"1.2, A2DP",No,FM radio,miniUSB,Accelerometer,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Up to 2 h 30 min,Black,,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 200 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,Yes,,,,,,,
