Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
icemobile,Icemobile G8 LTE,https://cdn2.gsmarena.com/vv/bigpic/icemobile-g8-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2017, July","Available. Released 2017, July",188 x 108 x 10 mm (7.40 x 4.25 x 0.39 in),320 g (11.29 oz),Micro-SIM,Non-removable Li-Ion 2800 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~67.9% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 5.1 (Lollipop),Mediatek MT8735,Quad-core 1.3 GHz Cortex-A53,microSD,,"5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Black, Silver, Gold",,HSDPA 850 / 1700(AWS) / 1900 / 900,"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700)","HSPA, LTE",Mali-T720MP2,LED flash,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
icemobile,Icemobile Mash,https://cdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,"2016, March","Available. Released 2016, March",110 x 64 x 13.5 mm (4.33 x 2.52 x 0.53 in),-,Dual SIM,No,TFT,"2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",,Spreadtrum 6531DA,,"microSD, up to 16 GB (dedicated slot)","32 MB, 32 MB RAM",VGA,No,,,Yes,Yes,No,2.0,No,FM radio,microUSB,,MP4/H.263 player MP3 player,Up to 3 h,"White, Black, Red, Gold",,,,,,,Removable Li-Ion 800 mAh battery,,Up to 150 h,,,,,,,,,,,,,,QWERTY,,,,300 entries,20 entries,SMS,No,No,,,,,,,
icemobile,Icemobile G8,https://cdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, September","Available. Released 2015, September",190 x 110 x 13 mm (7.48 x 4.33 x 0.51 in),320 g (11.29 oz),Micro-SIM,Non-removable Li-Ion 2600 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~66.0% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,microSD (dedicated slot),,"5 MP, AF",Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR","Yes, with A-GPS",FM radio,2.0,Accelerometer,,Up to 10 h,"White, Black, Blue",,HSDPA 850 / 1900 / 2100,,HSPA,Mali-400,LED flash,,,Up to 280 h,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
icemobile,Icemobile Prime 5.0 Plus,https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, February",-,-,Dual SIM,Flashlight,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2000 mAh battery,,"Black, Blue",,HSDPA 850 / 1700 / 1900,,HSPA,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icemobile,Icemobile Prime 5.0,https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, February",142 x 72.3 x 8.7 mm (5.59 x 2.85 x 0.34 in),-,Dual SIM,Flashlight,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572A,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 512 MB RAM",5 MP,Yes,1.3 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1600 mAh battery,Up to 3 h,"Black, White",,HSDPA 850 / 1900,,HSPA,Mali-400,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icemobile,Icemobile Prime 4.0 Plus,https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, February",125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),-,Dual SIM,Flashlight,IPS LCD capacitive touchscreen,", -","480 x 800 pixels, 5:3 ratio",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 512 MB RAM",2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1400 mAh battery,,"Black, Blue",,HSDPA 850 / 1700 / 1900,,HSPA,Mali-400,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icemobile,Icemobile Gravity 4.0,https://cdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2014,"Available. Released 2014, November",140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in),316 g (11.15 oz),Micro-SIM,IP68 dust/water proof (up to 1.5m for 30 mins),IPS LCD capacitive touchscreen,"4.02 inches, 44.5 cm2 (~41.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~244 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",Yes,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Yes,FM radio,microUSB 2.0,,Active noise cancellation with dedicated mic,Up to 12 h (2G) / Up to 7 h 30 min (3G),"Black, White, Orange, Yellow, Green",,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,Removable Li-Ion 2800 mAh battery,,Up to 300 h (2G) / Up to 300 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icemobile,Icemobile Rock 2.4,https://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,2014,Available. Released 2014,120 x 50 x 13.8 mm (4.72 x 1.97 x 0.54 in),60 g (2.12 oz),Dual SIM (Mini-SIM),No,TFT,"2.4 inches, 18.1 cm2 (~30.2% screen-to-body ratio)",176 x 220 pixels (~117 ppi density),,,,"microSD, up to 8 GB",32 MB + 32 MB,VGA,Yes,,,Yes,No,No,2.0,No,FM radio,microUSB,,MP3/MP4/WAV player Calendar Predictive text input,Up to 9 h,"Black, White, Red, Pink, Green, White&blue",,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 100 h,,,,,,,,,,,,,,,,,,500 contacts,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,,,,,,,
icemobile,Icemobile Prime 5.5,https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, August. Released 2014, August",Discontinued,152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in),-,Dual SIM,Removable Li-Ion 2250 mAh battery,IPS LCD capacitive touchscreen,"5.46 inches, 82.2 cm2 (~70.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~269 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582A/W,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB","16 GB, 1 GB RAM",8 MP,Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,,FM radio,Proprietary,,,,White,,HSDPA 850 / 1900,,HSPA,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icemobile,Icemobile Prime 3.5,https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 12,"2014, July","Available. Released 2014, July",119.5 x 63.5 x 10.9 mm (4.70 x 2.5 x 0.43 in),-,Dual SIM,Removable Li-Ion 1200 mAh battery,TFT capacitive touchscreen,"3.5 inches, 36.5 cm2 (~48.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6572M (28 nm),Dual-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 512 MB RAM",2 MP,480p@30fps,VGA,,Yes,Yes,Wi-Fi 802.11 b/g,2.1,Yes,No,microUSB 2.0,Accelerometer,,,"White, Black",,HSDPA 850 / 1900,,HSPA 7.2/5.76 Mbps,Mali-400,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
