Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
infinix,Infinix Smart 2 HD,https://cdn2.gsmarena.com/vv/bigpic/infinix-smart2-hd-n.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",156.9 x 76.5 x 8.2 mm (6.18 x 3.01 x 0.32 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Ion 3500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.1 (Oreo),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB","16 GB, 1 GB RAM","8 MP, AF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass, fingerprint (except Thailand, Colombia)",,,"Sandstone Black, Bordeaux Red, Serene Gold",,HSDPA 850 / 900 / 2100,,HSPA 21.1/5.76 Mbps,,"LED flash, panorama, HDR",,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinix,Infinix Hot 6X,https://cdn2.gsmarena.com/vv/bigpic/infinix-hot6x-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,157 x 75 x 8 mm (6.18 x 2.95 x 0.31 in),-,"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~82.2% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 3 RAM or 16 GB, 2 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"Midnight Black, Champagne Gold, Kent Blue, Bordeaux Red",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 10(1700/2100), 20(800), 28(700), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 308,"Dual-LED flash, panorama, HDR",,LED flash,,,,,,,,,,,,,,,,"13 MP, PDAF 2 MP, depth sensor",,,,,,,,,,,,,,
infinix,Infinix Note 5 Stylus,https://cdn2.gsmarena.com/vv/bigpic/infinix-note5-stylus-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,158 x 75 x 8.4 mm (6.22 x 2.95 x 0.33 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Stylus,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.4 cm2 (~78.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",Android 8.1 (Oreo); Android One,Mediatek MT6763T Helio P23 (16 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB (uses SIM 2 slot)","32/64 GB, 4 GB RAM","16 MP (wide), f/1.8, 1.12µm, PDAF","2160p@30fps, 1080p@30fps (gyro-EIS), 720p@120fps","16 MP, f/2.0, 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,,"Bordeaux Red, Charcoal Blue, Champagne Gold",,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-G71 MP2,"Dual-LED dual-tone flash, panorama, HDR",,,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,,,"Front glass, aluminum body",,,,,,,,,,,,
infinix,Infinix S3X,https://cdn2.gsmarena.com/vv/bigpic/infinix-s3x-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,156.7 x 75.3 x 8 mm (6.17 x 2.96 x 0.31 in),-,"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~82.0% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","16 MP, 1.4µm",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Ice Blue, Sandstone Black, Tradewinds Grey",,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 505,"Dual-LED flash, panorama, HDR",,,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,"13 MP, PDAF 2 MP, depth sensor",,,,,,,,,,,,,,
infinix,Infinix Hot 6,https://cdn2.gsmarena.com/vv/bigpic/infinix-hot6-n.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,157.7 x 75.4 x 8 mm (6.21 x 2.97 x 0.31 in),-,"Dual SIM (Micro-SIM, dual stand-by)",Non-removable Li-Po 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.1 (Oreo) - 2 GB modelAndroid 8.1 Oreo (Go edition) - 1 GB model,,Quad-core 1.3 GHz,"microSD, up to 128 GB","16 GB, 1/2 GB RAM","13 MP, f/2.0, AF",1080p@30fps,8 MP,,"Yes, with dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"Bordeaux Red, Magic Gold, Sandstone Black, City Blue",,HSDPA 850 / 1700(AWS) / 1900 / 2100,,HSPA 42.2/5.76 Mbps,,"Dual-LED flash, panorama, HDR",,LED flash,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,,,,,,,,,,,,,,,
infinix,Infinix Note 5,https://cdn2.gsmarena.com/vv/bigpic/infinix-note5-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,158 x 75 x 8.4 mm (6.22 x 2.95 x 0.33 in),173 g (6.10 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 4500 mAh battery,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~78.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.1 (Oreo); Android One,Mediatek MT6763 Helio P23 (16 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/2.0, 1/2.8"", 1.25µm, PDAF",1080p@30fps,"16 MP, f/2.0, 1.0µm",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Berlin Gray, Ice Blue, Milan Black",,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-G71 MP2,"Dual-LED dual-tone flash, panorama, HDR",,LED flash,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,,,,,,,,,,,,,,,
infinix,Infinix Smart 2 Pro,https://cdn2.gsmarena.com/vv/bigpic/infinix-smart2-pro-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,147.5 x 71 x 8.3 mm (5.81 x 2.80 x 0.33 in),-,"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Ion 3050 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~74.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 8.1 (Oreo),,Quad-core 1.5 GHz Cortex-A53,"microSD, up to 128 GB","16 GB, 2 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Sandstone Black, Bordeaux Red, Serene Gold",,HSDPA 850 / 900 / 2100,LTE,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,"Dual-LED flash, panorama, HDR",,LED flash,,,,,,,,,,,,,,,,"13 MP, PDAF 2 MP, depth sensor",,,,,,,,,,,,,,
infinix,Infinix Smart 2,https://cdn2.gsmarena.com/vv/bigpic/infinix-smart2-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,148 x 71 x 8.4 mm (5.83 x 2.80 x 0.33 in),-,"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Ion 3050 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~74.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 8.1 (Oreo) or Android 8.1 Oreo (Go edition),,Quad-core 1.5 GHz Cortex-A53 or Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 3 GB RAM or 16 GB, 1/2 GB RAM","13 MP, PDAF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity; Fingerprint (16GB/1GB only)",,,"Sandstone Black, Bordeaux Red, Serene Gold, City Blue",,HSDPA 850 / 900 / 2100,LTE,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,"Dual-LED flash, panorama, HDR",,Dual-LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinix,Infinix Hot 6 Pro,https://cdn2.gsmarena.com/vv/bigpic/infinix-hot6-pro-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,160.4 x 76.2 x 8.3 mm (6.31 x 3.00 x 0.33 in),158 g (5.57 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~76.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.0 (Oreo),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","32 GB, 3 GB RAM or 16 GB, 2 GB RAM","5 MP, f/2.0",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"Bordeaux Red, Magic Gold, Sandstone Black, Blue",,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 308,"LED flash, panorama, HDR",,LED flash,,,,,,,,,,,,,,,,"13 MP, f/2.0, PDAF 2 MP, depth sensor",,,,,,,,,,,,,,
infinix,Infinix Hot S3,https://cdn2.gsmarena.com/vv/bigpic/infinix-hot-s3-n.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2018,Available. Released 2018,153 x 72.9 x 8.4 mm (6.02 x 2.87 x 0.33 in),-,"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 4000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.1 (Oreo),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, PDAF",1080p@30fps,20 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"Blush Gold, Sandstone Black, Topaz Blue, Bordeaux Red, Brush Gold",,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 505,"Dual-LED flash, panorama, HDR",,Dual-LED flash,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,,,,,,,,,,,,,,,
