Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
innostream,Innostream INNO A20,https://cdn2.gsmarena.com/vv/bigpic/innostream-a20.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, July",Discontinued,93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in),105 g (3.70 oz),Mini-SIM,"Second external display TFT, 256K colors (96 x 96 pixels)","TFT, 256K colors",,176 x 220 pixels,,,,MMC,64 MB (128 MB optional),2 MP,Yes,,,No,No,No,No,No,No,Proprietary,,,,,,,,,,LED flash,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 2.0/xHTML,,,Yes,,"1000 entries, Photo call","20 received, dialed and missed calls","SMS, MMS, EMail",Yes+ downloadable,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
innostream,Innostream INNO P10,https://cdn2.gsmarena.com/vv/bigpic/innostream-p10.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, June",Discontinued,91.9 x 44 x 23.8 mm (3.62 x 1.73 x 0.94 in),94 g (3.32 oz),Mini-SIM,4-way navi key,"TFT, 256K colors",,128 x 160 pixels,,,,RS-MMC,,1.3 MP,Yes,,,"Yes, with stereo speakers",No,No,No,No,No,,,No,Up to 6 h,"Black, Silver, Red",,,,,,LED flash,Removable Li-Ion 830 mAh battery,,Up to 200 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,Yes,,"1000 entries, Photo call","20 received, dialed and missed calls","SMS, MMS, EMail",3 + downloadable,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic ringtones, composer",,,,,,
innostream,Innostream INNO A10,https://cdn2.gsmarena.com/vv/bigpic/ina10.gif,GSM,GSM 900 / 1800,Class 10,No,"2004, Q4",Discontinued,90 x 43 x 24 mm (3.54 x 1.69 x 0.94 in),86 g (3.03 oz),Mini-SIM,GSM 850 / 1900 - US version,"TFT, 256K colors",,128 x 160 pixels,,,,No,128 MB,1.3 MP,Yes,,,Yes,No,No,No,No,No,Proprietary,,Second external 65K colors CSTN display (96 x 64 pixels) 4-way navi key,Up to 4 h,"Silver, Blue",,,,,,LED flash,Removable Li-Ion battery,,Up to 160 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,Yes,,"800 entries, Photo call","20 received, dialed and missed calls","SMS, MMS, EMail",Yes + downloadable,"Yes, MIDP 2.0","Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,,,,
innostream,Innostream INNO 75,https://cdn2.gsmarena.com/vv/bigpic/ininno75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q2. Released 2004",Discontinued,82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in),80 g (2.82 oz),Mini-SIM,No,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,miniSD,,VGA,Yes,,,No,No,No,No,No,FM radio,,,MP3/MP4 player Predictive text input Organizer Voice memo Remote control for IR,,,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 2.0/xHTML,,,Yes,,Yes,"20 received, dialed and missed calls","SMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",Vibration; Downloadable polyphonic ringtones,,,,,,
innostream,Innostream INNO 50,https://cdn2.gsmarena.com/vv/bigpic/ininno50.gif,GSM,GSM 900 / 1800,Class 10,No,"2004, Q1",Discontinued,88.6 x 44.5 x 22.5 mm (3.49 x 1.75 x 0.89 in),90 g (3.17 oz),Mini-SIM,"Second external display, STN, 65K colors (96 x 96 pixels) 180 deg swivel Downloadable logos","TFT, 256K colors",,"176 x 220 pixels, 11 lines",,,,No,12 MB,1.3 MP,Yes,,,"Yes, with stereo speakers",No,No,No,No,No,,,No,Up to 3 h,Silver,,,,,,LED flash,Removable Li-Ion battery,,Up to 100 h,,,,,,,,,,,,,WAP 1.2.1,,,Yes,,250,"20 received, dialed and missed calls","SMS, MMS",Yes + downloadable,"Yes, MIDP 2.0",Vibration; Downloadable polyphonic ringtones,,,,,,
innostream,Innostream INNO 36,https://cdn2.gsmarena.com/vv/bigpic/innostream-36.gif,GSM,GSM 900 / 1800,Yes,No,"2005, Q2",Cancelled,80 x 43 x 23.8 mm (3.15 x 1.69 x 0.94 in),76 g (2.68 oz),Mini-SIM,"Second external STN display, 65K colors (96 x 64 pixels) Screensavers and wallpapers Downloadable pictures","TFT, 256K colors",,128 x 143 pixels,,,,No,,VGA,Yes,,,No,No,No,No,No,No,,,No,,"Silver, Red",,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 1.2.1,,,Yes,,"Yes, Photo call","20 received, dialed and missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",Vibration; Downloadable polyphonic ringtones,,,,,,
innostream,Innostream INNO 79,https://cdn2.gsmarena.com/vv/bigpic/ininno79.gif,GSM,GSM 900 / 1800,Yes,No,"2004, Q1",Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),Mini-SIM,"Second external display, OLED, 256 colors Screensavers and wallpapers Downloadable pictures","TFT, 256K colors",,"128 x 160 pixels, 11 lines",,,,No,,VGA,Yes,,,No,No,No,No,No,No,,,No,,,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP,,,,,"250 entries, Photo call","20 received, dialed and missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",Vibration; Downloadable polyphonic ringtones,,,,,,
innostream,Innostream INNO 78,https://cdn2.gsmarena.com/vv/bigpic/ininno78.gif,GSM,GSM 900 / 1800,Yes,No,"2004, Q1",Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),Mini-SIM,"Second external display, OLED, 65K colors Screensavers and wallpapers Downloadable pictures","TFT, 256K colors",,"128 x 160 pixels, 11 lines",,,,No,,VGA,Yes,,,No,No,No,No,No,No,,,No,,,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP,,,,,"250 entries, Photo call","20 received, dialed and missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",Vibration; Downloadable polyphonic ringtones,,,,,,
innostream,Innostream INNO 30,https://cdn2.gsmarena.com/vv/bigpic/ininno30.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,"2004, Q1",Discontinued,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),76 g (2.68 oz),Mini-SIM,"Second external CSTN display (96 x 64 pixels), 65K colors Screensavers and wallpapers Downloadable images","TFT, 256K colors",,"128 x 160 pixels, 11 lines",,,,No,,VGA,Yes,,,No,No,No,No,No,No,,,No,Up to 3 h - 5 h,,,,,,,,Removable Li-Ion 650 mAh battery,,Up to 150 h,,,,,,,,,,,,,WAP,,,,,800,"20 received, dialed and missed calls","SMS, MMS, Email",Yes,Yes,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,,,,
innostream,Innostream INNO 55,https://cdn2.gsmarena.com/vv/bigpic/ininno55.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q2",Discontinued,85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in),88 g (3.10 oz),Mini-SIM,5-way navi key,"TFT, 256K colors",,"128 x 160 pixels, 11 lines",,,,No,,VGA,Yes,,,"Yes, with stereo speakers",No,No,No,No,No,,,No,Up to 6 h,,,,,,,,Removable Li-Ion 830 mAh battery,,Up to 200 h,,,,,,,,,,,,,WAP 2.0/xHTML,,,Yes,,800,"20 received, dialed and missed calls","SMS, MMS. EMail",Yes,No,"Vibration; Downloadable polyphonic ringtones, composer",,,,,,
