Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
intex,Intex Aqua Craze,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, January","Available. Released 2016, January",143.5 x 71.4 x 9 mm (5.65 x 2.81 x 0.35 in),165 g (5.82 oz),Dual SIM,Removable Li-Ion 2500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Gray, White, Gold",,HSDPA 900 / 2100,"LTE band 3(1800), 5(850), 40(2300)","HSPA, LTE",Mali-T720MP2,"LED flash, panorama, HDR",,,,,,,,,,,,,0.73 W/kg (head),,,,,,,,,,,,,,,,,,,
intex,Intex Aqua GenX,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, August","Available. Released 2015, August",152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in),175 g (6.17 oz),Dual SIM,Non-removable Li-Ion 2850 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,White,,HSDPA 900 / 2100,"LTE band 3(1800), 40(2300)","HSPA, LTE",Mali-T720MP3,"LED flash, panorama, HDR",,,,,,,,,,Asahi Dragontrail Glass,,,0.72 W/kg (head),,,,,,,,,,,,,,,,,,,
intex,Intex Aqua Ace,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, October","Available. Released 2015, October",145 x 71.5 x 6.7 mm (5.71 x 2.81 x 0.26 in),121.5 g (4.30 oz),Dual SIM,Non-removable Li-Po 2300 mAh battery,"Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","16 GB, 3 GB RAM","13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 10 h,"Black, White",,HSDPA 900 / 2100,"LTE band 3(1800), 5(850), 40(2300)","HSPA, LTE",Mali-T720MP2,"LED flash, panorama, HDR",,,Up to 250 h,,,,,,,Corning Gorilla Glass,,,,,,,,,,"Front/back glass (Gorilla Glass), aluminum frame",,,,,,,,,,,,
intex,Intex Aqua Trend,https://cdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, September",144.5 x 72.5 x 8.9 mm (5.69 x 2.85 x 0.35 in),158.5 g (5.61 oz),Dual SIM,Removable Li-Ion 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB","16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 7 h,"Champagne, silver, gray, black",,HSDPA 2100,"LTE band 3(1800), 40(2300)","HSPA, LTE",Mali-T720MP2,"LED flash, panorama",,,Up to 250 h,,,,,,,,,,,,1.44 W/kg (head),,,,,,,,,,,,,,,,,
intex,Intex IRist Smartwatch,https://cdn2.gsmarena.com/vv/bigpic/intex-watch.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, July","Available. Released 2015, August",44 x 44 x 14 mm (1.73 x 1.73 x 0.55 in),83 g (3.03 oz),Micro-SIM,No,OLED capacitive touchscreen,"1.56 inches, 7.9 cm2 (~40.5% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~218 ppi density)",Android OS compatible,Mediatek MT6572 (28 nm),Dual-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",5 MP,Yes,,,Yes,No,Wi-Fi 802.11 b/g/n,2.0,Yes,No,microUSB 2.0,"Accelerometer, gyro, compass",Video player Photo viewer,,"Orange, pink, black",About 160 EUR,HSDPA 1900 / 2100,,HSPA,Mali-400,,Non-removable Li-Ion 600 mAh battery,,Up to 200 h (mixed usage),,,,,,,,,,,,0.98 W/kg (head),,,,,,,,,,,,,,,,,
intex,Intex Aqua 4G+,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, June","Available. Released 2015, June",140 x 71 x 9.5 mm (5.51 x 2.80 x 0.37 in),136.5 g (4.83 oz),Dual SIM,Non-removable Li-Ion 2300 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB","16 GB, 2 GB RAM","13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 8 h,"White, Black",,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 40(2300), 41(2500)","HSPA, LTE",Mali-T720MP2,"LED flash, panorama",,,Up to 210 h,,,,,,,,,,0.26 W/kg (head),,,,,,,,,,,,,,,,,,,
intex,Intex Aqua Xtreme II,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, June","Available. Released 2015, June",140 x 71.9 x 7.9 mm (5.51 x 2.83 x 0.31 in),132 g (4.66 oz),Dual SIM,Non-removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6592M (28 nm),Octa-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB","16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,Up to 8 h,"White, Black, Champagne, Silver",,HSDPA 2100,,HSPA,Mali-450MP4,"LED flash, panorama, HDR",,,Up to 300 h,,,,,,,,,,0.26 W/kg (head),,,,,,,,,,,,,,,,,,,
intex,Intex Aqua Y2 Remote,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, February",125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),110 g (3.88 oz),Dual SIM,Removable Li-Ion 1500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 512 MB RAM",5 MP,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 8 h,"Blue, White, Gray",,HSDPA 2100,,HSPA,Mali-400,"LED flash, panorama",,,Up to 180 h,,,,,,,,,,,,0.78 W/kg (head),,,,,,,,,,,,,,,,,
intex,Intex Aqua Xtreme,https://cdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2014, December","Available. Released 2014, December",144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),119.5 g (4.23 oz),Dual SIM,Non-removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,"microSD, up to 32 GB","32 GB, 2 GB RAM","13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 7 h,"Black, Gray, Red",,HSDPA 2100,,HSPA,Mali-450MP4,"LED flash, panorama, HDR",,,Up to 180 h,,,,,,,Asahi Dragontrail Glass,,,,,0.62 W/kg (head),,,,,,,,,,,,,,,,,
intex,Intex Aqua Star L,https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, January",141 x 72.9 x 8 mm (5.55 x 2.87 x 0.31 in),130 g (4.59 oz),Dual SIM,Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 5.0 (Lollipop),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 5 h,"White, black",,HSDPA 2100,,HSPA,Mali-400MP2,"LED flash, panorama",,,Up to 220 h,,,,,,,,,,,,0.72 W/kg (head),,,,,,,,,,,,,,,,,
