Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
karbonn,Karbonn Titanium Mach Two S360,https://cdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, March","Available. Released 2015, March",138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in),112 g (3.95 oz),Dual SIM,Non-removable Li-Ion 1900 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",,Octa-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Deep Blue,About 140 EUR,HSDPA 2100,,HSPA,,"LED flash, HDR",,,,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,"Front/back glass (Gorilla Glass 3), aluminum frame",,,,,,,,,,,,
karbonn,Karbonn Titanium Wind W4,https://cdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, September","Available. Released 2014, September",125.1 x 64.3 x 11 mm (4.93 x 2.53 x 0.43 in),-,Dual SIM,Removable Li-Ion 1950 mAh battery,"Capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~56.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Microsoft Windows Phone 8.1,,Quad-core 1.2 GHz,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,Yes,,Up to 8 h,"Black,White, Red",,HSDPA 2100,,HSPA,,LED flash,,,Up to 240 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium S99,https://cdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, June","Available. Released 2014, June",133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in),-,Dual SIM,Li-Ion 1400 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~51.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4 (KitKat),,Quad-core 1.3 GHz,"microSD, up to 32 GB","4 GB, 512 MB RAM",5 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,Yes,,Up to 5 h,"Black,White",,HSDPA 2100,,HSPA,,LED flash,,,Up to 168 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Sparkle V,https://cdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, September","Available. Released 2014, September",132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),138 g (4.87 oz),Dual SIM,Removable Li-Ion 1700 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow); Android One",Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 1 GB RAM","5 MP, AF",720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 8 h,Red,About 80 EUR,HSDPA 850 / 2100,,HSPA,Mali-400MP2,LED flash,,,Up to 160 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium S19,https://cdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2014, August","Available. Released 2014, August",-,-,Dual SIM,Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),,Quad-core 1.3 GHz,"microSD, up to 32 GB","8 GB, 1 GB RAM","13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Black, White",About 110 EUR,HSDPA 2100,,HSPA,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Smart A12 Star,https://cdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2014, July","Available. Released 2014, July",124.2 x 64.2 x 10.1 mm (4.89 x 2.53 x 0.40 in),130 g (4.59 oz),"Dual SIM (Micro-SIM, dual stand-by)",Li-Ion 1400 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),,Dual-core 1.2 GHz,"microSD, up to 32 GB","4 GB, 512 MB RAM",5 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Black,About 50 EUR,HSDPA 2100,,HSPA,,LED flash,,,Up to 300 h,,,,,,,,,,0.79 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium S1 Plus,https://cdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2014, May","Available. Released 2014, May",124 x 64 x 10.3 mm (4.88 x 2.52 x 0.41 in),129 g (4.55 oz),Dual SIM,Li-Ion 1500 mAh battery,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.3 (Jelly Bean),,Quad-core 1.2 GHz,"microSD, up to 32 GB","4 GB, 1 GB RAM","5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,White,About 80 EUR,HSDPA 2100,,HSPA,Adreno 302,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium Hexa,https://cdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, March","Available. Released 2014, April",154 x 76.8 x 6.9 mm (6.06 x 3.02 x 0.27 in),-,Dual SIM,Active noise cancellation with dedicated mic,"Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6591,Hexa-core 1.5 GHz Cortex-A7,"microSD, up to 32 GB","16 GB, 2 GB RAM","13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,"microUSB 2.0, USB Host","Accelerometer, proximity",Li-Po 2050 mAh battery,,"Black, White",About 200 EUR,HSDPA,,HSPA 42.2/5.76 Mbps,Mali-450MP4,"LED flash, panorama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium Octane Plus,https://cdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, March","Available. Released 2014, April",147.3 x 72.6 x 7.6 mm (5.80 x 2.86 x 0.30 in),-,Dual SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,"microSD, up to 32 GB","16 GB, 2 GB RAM","16 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2000 mAh battery,,"Black, White",About 220 EUR,HSDPA,,HSPA 42.2/5.76 Mbps,Mali-450MP4,"LED flash, panorama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium Octane,https://cdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, March","Available. Released 2014, April",145.7 x 71.2 x 7.9 mm (5.74 x 2.80 x 0.31 in),-,Dual SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,"microSD, up to 32 GB","16 GB, 1 GB RAM","13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2000 mAh battery,,"Black, White",About 170 EUR,HSDPA,,HSPA 42.2/5.76 Mbps,Mali-450MP4,"LED flash, panorama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
