Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
kyocera,Kyocera DuraForce Pro 2,https://cdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, November","Available. Released 2018, November",150.2 x 73.4 x 13.5 mm (5.91 x 2.89 x 0.53 in),243 g (8.25 oz),Nano-SIM,IP68 dust/water proof (up to 2m for 30 mins) MIL-STD-810G compliant Push-to-talk button,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~62.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 8.0 (Oreo),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,"microSD, up to 512 GB","64 GB, 4 GB RAM","13 MP, AF 8 MP (ultra wide; dedicated video camera)","2160p@30fps, 1080p@30fps",5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, WiFi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Active noise cancellation with dedicated mic,Up to 21 h (3G),Black,About 444 USD,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 13(700), 66(1700/2100)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps",Adreno 508,"LED flash, HDR, panorama",Non-removable Li-Ion 3240 mAh battery,,Up to 312 h (3G),,,,,,,Sapphire crystal glass,Qi wireless charging Fast battery charging 10W,Yes,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera DuraForce Pro,https://cdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, August","Available. Released 2016, October",148.4 x 73.4 x 12.9 mm (5.84 x 2.89 x 0.51 in),230 g (8.11 oz),Nano-SIM,IP68 dust/water proof (up to 1.5m for 30 mins) MIL-STD-810G compliant Push-to-talk button,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"microSD, up to 256 GB","32 GB, 3 GB RAM","13 MP, AF 2 MP",1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Active noise cancellation with dedicated mic,Up to 19 h (3G),Black,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 25(1900), 26(850), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 405,"LED flash, HDR, panorama",Non-removable Li-Ion 3240 mAh battery,,Up to 480 h (3G),,,,,,,Yes,Fast battery charging 18W (Quick Charge 2.0),Yes,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera DuraForce XD,https://cdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-xd.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, October","Available. Released 2015, November",166.8 x 86.4 x 13.9 mm (6.57 x 3.40 x 0.55 in),307 g (10.83 oz),Nano-SIM,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 20(800), 29(700) - T-Mobile","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~62.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8928 Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,"microSD, up to 64 GB","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac//r/k, dual-band, WiFi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass, barometer",IP68 dust/water proof (up to 1.5m for 30 mins) MIL-STD-810G compliant,Up to 23 h (3G),Black,,"HSDPA 850 / 900 / 1900 / 2100 - AT&T, T-Mobile","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 17(700), 20(800), 29(700) - AT&T","HSPA, LTE",Adreno 305,"LED flash, HDR, panorama",Removable Li-Ion 3700 mAh battery,,Up to 816 h (3G),,,,,,,Yes,Fast battery charging 10W,Yes,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera DuraForce,https://cdn2.gsmarena.com/vv/bigpic/Kyocera-DuraForce2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, November","Available. Released 2014, November",136.9 x 70.6 x 14 mm (5.39 x 2.78 x 0.55 in),200 g (7.05 oz),Nano-SIM,IP68 dust/water proof (up to 1.5m for 30 mins) MIL-STD-810G compliant,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~57.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8928 Snapdragon 400 (28 nm),Quad-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass, barometer",Smart Sonic Receiver Active noise cancellation with dedicated mic,Up to 17 h,Black,About 320 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 305,"LED flash, HDR, panorama",Non-removable Li-Ion 3100 mAh battery,,Up to 504 h,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera Hydro Life,https://cdn2.gsmarena.com/vv/bigpic/kyocera-hydro-life.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 12,Class 12,"2014, August","Available. Released 2014, August",131.8 x 65.4 x 10.9 mm (5.19 x 2.57 x 0.43 in),136 g (4.80 oz),Micro-SIM,"IP57 dust and water resistant Water resistant up to 1 meter and 30 minutes MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~64.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.3 (Jelly Bean),Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1.5 GB RAM",5 MP,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",Smart Sonic Receiver,Up to 13 h 30 min,Black,,HSDPA 850 / 1700 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,Adreno 302,"LED flash, HDR, panorama",Removable Li-Ion 2000 mAh battery,,Up to 418 h,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera Brigadier,https://cdn2.gsmarena.com/vv/bigpic/Kyocera-Brigadier.jpg,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, July","Available. Released 2014, July",136.4 x 68.3 x 13.2 mm (5.37 x 2.69 x 0.52 in),187.1 g (6.60 oz),Nano-SIM,HSDPA 850 / 900 / 1900 / 2100,"Capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~59.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Android 4.4.2 (KitKat),Qualcomm Snapdragon 400 (28 nm),Quad-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass, barometer",IP68 dust/water proof (up to 1.5m for 30 mins) MIL-STD-810G compliant Flashlight,Up to 26 h,Black,About 300 EUR,CDMA2000 1xEV-DO,"LTE band 4(1700/2100), 13(700)","HSPA, LTE, EV-DO Rev.A 3.1 Mbps",Adreno 305,"LED flash, panorama",Non-removable Li-Ion 3100 mAh battery,,Up to 370 h,,,,,,,Sapphire crystal glass,Qi wireless charging,Yes,,,0.79 W/kg (head)     0.72 W/kg (body),,,,,,,,,,,,,,,,,
kyocera,Kyocera Hydro Elite,https://cdn2.gsmarena.com/vv/bigpic/kyocera-hydro-elite.jpg,GSM / CDMA / EVDO / LTE,CDMA 800 / 1900,Yes,Yes,"2013, Q3. Released 2013, Q3",Discontinued,122.4 x 60.4 x 10.8 mm (4.82 x 2.38 x 0.43 in),128 g (4.52 oz),Yes,GSM 850 / 900 / 1800 / 1900,"Capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~342 ppi density)",Android 4.1.2 (Jelly Bean),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,"microSD, up to 32 GB (dedicated slot)","16 GB, 1.5 GB RAM","8 MP, AF",1080p@30fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA","4.0, A2DP, EDR, LE","Yes, with A-GPS",No,microUSB 2.0 (MHL TV-out),"Accelerometer, proximity, compass",HSDPA,Up to 13 h,Black,,CDMA2000 1xEV-DO,LTE,"HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",Adreno 225,"LED flash, HDR, panorama",Removable Li-Ion 2100 mAh battery,,Up to 236 h,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera Hydro Xtrm,https://cdn2.gsmarena.com/vv/bigpic/kyocera-hydro-xtrm.jpg,CDMA / EVDO / LTE,CDMA 800 / 1900,No,No,"2013, May. Released 2013, June",Discontinued,124 x 64 x 10.7 mm (4.88 x 2.52 x 0.42 in),139 g (4.90 oz),"Yes, preinstalled","IP57 dust and water resistant Water resistant up to 1 meter and 30 minutes MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant.",IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.1.2 (Jelly Bean),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.2 GHz Krait,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","5 MP, AF",Yes,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",Active noise cancellation with dedicated mic,Up to 12 h 30 min,Black,,CDMA2000 1xEV-DO,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700)","LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",Adreno 225,LED flash,Removable Li-Ion 2000 mAh battery,,Up to 408 h,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera Torque E6710,https://cdn2.gsmarena.com/vv/bigpic/kyocera-torque-e6710.jpg,CDMA / EVDO / LTE,CDMA 800 / 1900,No,No,"2013, January. Released 2013, March",Discontinued,128.5 x 68.4 x 12.9 mm (5.06 x 2.69 x 0.51 in),168.5 g (5.93 oz),Non-removable,"IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant IPX5, IPX7 certified Flashlight",IPS LCD capacitive touchscreen. 16M colors,"4.0 inches, 45.5 cm2 (~51.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.0.4 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.2 GHz Krait,"microSD, up to 32 GB (dedicated slot)","4 GB (1 GB user available), 1 GB RAM","5 MP, AF",1080p@30fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",Active noise cancellation with dedicated mic,Up to 19 h,Black,About 270 EUR,CDMA2000 1xEV-DO,LTE band 25(1900),"LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",Adreno 225,"LED flash, HDR",Removable Li-Ion 2500 mAh battery,,,,,,,,,- Corning Gorilla Glass 2,,Yes,,,,,,,,,,,,,,,,,,,,
kyocera,Kyocera Hydro C5170,https://cdn2.gsmarena.com/vv/bigpic/huawei-hydro-c5170.jpg,CDMA / EVDO,CDMA 800 / 1900,No,No,"2012, May. Released 2012, Q3",Discontinued,115 x 62 x 12.8 mm (4.53 x 2.44 x 0.50 in),120 g (4.23 oz),Mini-SIM,"IP67 dust/water resistant (up to 1m for 30 mins) IPX5, IPX7 certified",IPS LCD capacitive touchscreen,"3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8655 Snapdragon S2,1.0 GHz,"microSD, up to 32 GB (dedicated slot), 2 GB included","2 GB, 512 MB RAM","3.15 MP, AF",Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",No,Up to 8 h 20 min,Black,,CDMA2000 1xEV-DO,,EV-DO Rev.A 3.1 Mbps,Adreno 205,,Removable Li-Ion 1500 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
