Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
lava,Lava Z40,https://cdn2.gsmarena.com/vv/bigpic/lava-z40.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",125.5 x 63.9 x 11.7 mm (4.94 x 2.52 x 0.46 in),120 g (4.23 oz),"Dual SIM (Nano-SIM, dual stand-by)",Removable Li-Ion 2250 mAh battery,"TN TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~56.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 8.1 Oreo (Go edition),Unisoc SC9832E,Quad-core 1.4 GHz,"microSD, up to 64 GB","8 GB, 1 GB RAM",2 MP,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,Accelerometer,,,"Gold, Glossy Black",About 3500 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali,"LED flash, HDR",,LED flash,,,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z92,https://cdn2.gsmarena.com/vv/bigpic/lava-z92-.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Available. Released 2019, January",156.9 x 75.8 x 8 mm (6.18 x 2.98 x 0.31 in),-,"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 3260 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, f/2.0, 1.12µm, AF",1080p@30fps,"8 MP, f/2.0, 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,Green,,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8320,"Dual-LED flash, panorama, HDR",,LED flash,,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z81,https://cdn2.gsmarena.com/vv/bigpic/lava-z81.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",152.2 x 73 x 7.9 mm (5.99 x 2.87 x 0.31 in),141 g (4.97 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.1 (Oreo),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","32 GB, 3 GB RAM or 16 GB, 2 GB RAM","13 MP, f/2.2",1080p@30fps,"13 MP, f/2.0",,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Black/Blue, Gold/Black",,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8320,"LED flash, HDR, panorama",,LED flash,,,,,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z60s,https://cdn2.gsmarena.com/vv/bigpic/lava-z60s.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2018, August","Available. Released 2018, August",144.3 x 71.4 x 8.5 mm (5.68 x 2.81 x 0.33 in),136 g (4.80 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Non-removable Li-Po 2500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6739WW (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 64 GB","16 GB, 1 GB RAM","5 MP, f/2.0, AF",1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Gold, Black",About 4950 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z61,https://cdn2.gsmarena.com/vv/bigpic/lava-z61.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2018, July","Available. Released 2018, July",146.5 x 70.2 x 8.7 mm (5.77 x 2.76 x 0.34 in),139 g (4.90 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Removable Li-Po 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~74.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 8.0 Oreo (Go edition) - 1 GB RAM modelAndroid 8.1 (Oreo) - 2 GB RAM model,Mediatek MT6739WW (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 32 GB","16 GB, 1/2 GB RAM","8 MP, f/2.0, 1.12µm, AF",1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Gold, Black",About 5700 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,LED flash,,,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z91 (2GB),https://cdn2.gsmarena.com/vv/bigpic/lava-z91.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2018, July","Available. Released 2018, July",152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),147 g (5.19 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.1 (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, f/2.0, 1.12µm, AF",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,Blue,About 9000 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z91,https://cdn2.gsmarena.com/vv/bigpic/lava-z91.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2018, March","Available. Released 2018, March",152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),147 g (5.19 oz),"Dual SIM (Nano-SIM, dual stand-by)",Non-removable Li-Po 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.1 (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, f/2.0, 1.12µm, AF",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,Blue,About 10000 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z50,https://cdn2.gsmarena.com/vv/bigpic/lava-z50.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2018, March","Available. Released 2018, March",135 x 66.6 x 9.7 mm (5.31 x 2.62 x 0.38 in),140 g (4.94 oz),"Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Po 2000 mAh battery,"TN TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~62.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android Oreo (Go edition),Mediatek MT6737M (28 nm),Quad-core 1.1 GHz Cortex-A53,"microSD, up to 64 GB","8 GB, 1 GB RAM","5 MP, AF",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Gold, Black",About 4400 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"LED flash, HDR",,LED flash,,,,,,,,Corning Gorilla Glass 1,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Z90,https://cdn2.gsmarena.com/vv/bigpic/lava-z90.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2017, September","Available. Released 2017, September",148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),159 g (5.61 oz),"Dual SIM (Micro-SIM, dual stand-by)",Non-removable Li-Ion 2750 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)","32 GB, 3 GB RAM","8 MP, f/2.0",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Blue, Gold",About 10750 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,LED flash,,LED flash,,,,,,,,Corning Gorilla Glass 3,,,,,,,,"8 MP, f/2.0, AF 2 MP, depth sensor",,,,,,,,,,,,,,
lava,Lava Z80,https://cdn2.gsmarena.com/vv/bigpic/lava-z80.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2017, September","Available. Released 2017, September",148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),136.8 g (4.83 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Removable Li-Po 2500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)","16 GB, 3 GB RAM","8 MP, f/2.0",720p@30fps,"5 MP, f/2.0, 1/4"", 1.4µm",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,Black,About 9000 INR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,LED flash,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
